ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,que és la gestació subrogada,que es la gestación subrogada,that is the surrogacy
2,INTRO,,FAVOUR,1,RA,,,forma de reproducció assistida en què mitjançant un contracte  comercial una dona accedeix a oferir un servei de gestació d'un nadó  que haurà d'entregar als pares contractants els quals seran legalment reconeguts,forma de reproducción asistida en qué intermediando un contrato comercial una mujer accede a ofrecer un servicio de gestación de un bebé que tendrá que entregar a los padres contratantes los cuales serán legalmente reconocidos,form of reproduction assisted at what mediating a trading agreement a wife accesses at offering a kick of gestation of a baby that will have to hand at the contracting parents which will be legally renowned
3,INTRO,,FAVOUR,2,RA,,,matisar el concepte de servei,matizar el concepto de servicio,matisar the concept of kick
4,INTRO,,FAVOUR,3,RA,,,perquè considerem la gestació subrogada  com un treball més,porque consideramos la gestación subrogada como un trabajo más,so that we consider the surrogacy how a work more
5,INTRO,,FAVOUR,4,RA,,,que ha de ser remunerat,que tiene que ser remunerado,that has to be remunerat
6,INTRO,,FAVOUR,5,RA,,,que si no fóra de d'aquesta manera seria explotació,que si no fuera de de este modo sería explotación,that if it was not of in this way would be exploitation
7,INTRO,,FAVOUR,,,,,l'estat de benestar,el estado de bienestar,the state of welfare
8,INTRO,,FAVOUR,2;7,RA,,,que és el  que ha de garantir aquesta legalització,que es el que tiene que garantizar esta legalización,that it is what has to guarantee this legalisation
9,INTRO,,FAVOUR,7,RA,,,ha de ser  garant de certes necessitats de la societat que considerem bàsiques,tiene que ser garante de ciertas necesidades de la sociedad que consideramos básicas,has to be garant of some necessities of the society that consider basic
10,INTRO,,FAVOUR,2;7;8,RA,,,així com regular activitats tant dels individus com de les empreses,así como regular actividades tanto de los individuos como de las empresas,as well as regulate activities so much of the individuals how of the companies
11,INTRO,,FAVOUR,10,RA,,,per a garantir la igualtat i seguretat de tota la ciutadania,para garantizar la igualdad y seguridad de toda la ciudadanía,to guarantee the equality and security of all the citizenry
12,INTRO,,FAVOUR,7;8;9,RA,,,la legalització com  garantix el benestar,la legalización como garantiza el bienestar,the legalisation how guarantees the welfare
13,INTRO,,FAVOUR,12,RA,,,perquè el benestar està basat en la igualtat  i en la seguretat,porque el bienestar está basado en la igualdad y en la seguridad,so that the welfare is based at the equality and at the security
14,INTRO,,FAVOUR,13,RA,,,un primer argument de apoderament,un primer argumento de apoderamiento,a first argument of empowerment
15,INTRO,,FAVOUR,13,RA,,,i un segon argument  de garanties,y un segundo argumento de garantías,and a second argument of guarantees
16,INTRO,,FAVOUR,4;14,RA,,,la gestació subrogada és un treball més,la gestación subrogada es un trabajo más,the surrogacy is a work more
17,INTRO,,FAVOUR,14,RA,,,és un dret per a la dona decidir sobre el seu cos,es un derecho para la mujer decidir sobre su cuerpo,is a law for the wife decide on his body
18,INTRO,,FAVOUR,14,RA,,,i és una  manera de discriminació positiva ,y es una manera de discriminación positiva,and is a mode of positive discrimination
19,INTRO,,FAVOUR,15,RA,,,una realitat existent amb una mala  praxi,una realidad existente con una mala praxis,an existent reality with a bad praxi
20,INTRO,,FAVOUR,16,RA,,,i existeix una necessitat de regulació per  a dur a terme un procés d'una manera més segura,y existe una necesidad de regulación para llevar a cabo un proceso de una manera más segura,and exists a necessity of regulation to carry out a process of a more certain mode
21,INTRO,,FAVOUR,,,,,una proposta  on mostrarem qui ha de garantir aquesta legalització,una propuesta donde mostraremos quién tiene que garantizar esta legalización,a proposal where will show who has to guarantee this legalisation
22,INTRO,,FAVOUR,13;21,RA,,,ha  de fer-la l'estat del benestar,tiene que hacerla el estado del bienestar,has to make it the state of the welfare
23,INTRO,,FAVOUR,22,RA,,,és per això que parlarem de seguretat social,es por eso que hablaremos de seguridad social,that is why we will talk of social security
24,INTRO,,FAVOUR,23,RA,,,i d'una lluita contra les activitats individuals  i privades d'aquesta pràctica,y de una lucha contra las actividades individuales y privadas de esta práctica,and of a fight against the individual and private activities of this practice
25,INTRO,,FAVOUR,21,RA,,,a quí ha de ser oferida aquesta pràctica,a quí tiene que ser ofrecida esta práctica,at quí has to be offered this practice
