ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,,,homo homini lupus est,homo homini lupus este,homo homini east lupus
2,INTRO,,AGAINST,1,MA,,,,,l'home és un llop per l'home,el hombre es un lobo por el hombre,the man is a wolf for the man
3,INTRO,,AGAINST,1,RA,,,,,aquesta locució llatina ens mostra una de les cares de la nostra societat,esta locución latina nos muestra una de las caras de nuestra sociedad,this locució Latin shows us one of the faces of our society
4,INTRO,,AGAINST,1;2,RA,,,,,no cal tenir depredadors externs,no hay que tener depredadores externos,does not be necessary to have external predators
5,INTRO,,AGAINST,,,,,,,amb nosaltres mateixos ja  en tenim prou,con nosotros mismos ya tenemos suficiente,with us same already have  enough
6,INTRO,,AGAINST,1,RA,,,,,partint de les societats primitives on el comandament d'aquesta  s'imposava per part dels més forts  podríem patir la falsa impressió que això ha canviat amb  el decurs dels temps,partiendo de las sociedades primitivas donde el mando de esta se imponía por parte de los más fuertes podríamos sufrir la falsa impresión que esto ha cambiado con el decurso de los tiempos,splitting of the primitive societies where the command of this imposed  for part of the strongest could suffer the dud print that this has capsized with the decurs of the times
7,INTRO,,AGAINST,6,RA,,,,,ara bé al final després de tants mil·lennis  qui mana continua sent qui té més força,ahora bien al final después de tantos milenios quienes manda continúa siendo quién tiene más bastantes,now well at the end after so many millenniums who commands continues being who has more quite
8,INTRO,,AGAINST,7,RA,,,,,i els mitjans canvien,y los medios cambian,and the modes capsize
9,INTRO,,AGAINST,,,,,,,però el resultat és el mateix,pero el resultado es el mismo,but the result is the same
10,INTRO,,AGAINST,11,RA,,,,,un sistema democràtic  discrimina de manera continuada dues majories  ,un sistema democrático discrimina de manera continuada dos mayorías,a democratic system discriminates of mode continued two majorities
11,INTRO,,AGAINST,,,,,,, les dones i els nens,las mujeres y los niños,the wives and the boys
12,INTRO,,AGAINST,,,,,,,són molts els exemples,son muchos los ejemplos,are many the examples
13,INTRO,,AGAINST,12,RA,,,,,però d'entre tots aquests  n'hi ha un que ens colpeix especialment,pero de entre todos estos hay un que nos golpea especialmente,but of among all these there is one that body colpeix especially
14,INTRO,,AGAINST,13,RA,,,,,és el fet de poder transformar les dones en bestiar reproductiu,es el hecho de poder transformar las mujeres en ganado reproductivo,is the fact to be able to transform the wives at reproductive livestock
15,INTRO,,AGAINST,6;14,RA,,,,,una idea que semblava eradicada de les nostres ments,una idea que parecía erradicada de nuestras mentes,an idea that seemed eradicated of our minds
16,INTRO,,AGAINST,,,,,,,però que el neoliberalisme  el liberalisme de darrera fornada ara despullat dels seus valors tradicionals  posa a la taula de debat,pero que el neoliberalismo el liberalismo de última hornada ahora desnudado de sus valores tradicionales pose a la tabla de debate,but that the neoliberalism the liberalism of behind fornada now undressed of his traditional values pose at the table of debate
17,INTRO,,AGAINST,,,,,,,permeteu-me presentar-vos el cas d'una jove estatunidenca  cristiana que es dedicava a fer de ventre de lloguer convençuda  que estava ajudant famílies que no podien tenir fills  el darrer cop que va oferir-se aquesta pràctica  es va trobar amb una parella estrangera una mica excèntrica  li van implantar dos embrions  tot va anar bé fins a la primera ecografia  una primera ecografia que va demostrar que els dos embrions  eren fill i fill aquesta no era la seva voluntat ells volien  un fill i una filla  què van fer doncs el que poden fer  el que els hi és permès van fugir del país van deixar de  pagar el que havien acordat per contracte  i la dona es va quedar amb els seus dos fills perquè ella no volia avortar,permitidme presentaros el caso de una joven estadounidense cristiana que se dedicaba a hacer de vientre de alquiler convencida que estaba ayudando familias que no podían tener hijos la última vez que se ofreció esta práctica se encontró con una pareja extranjera un poco excéntrica le implantaron dos embriones todo va ir bien hasta la primera ecografía una primera ecografía que demostró que los dos embriones eran hijo e hijo esta no era su voluntad ellos querían un hijo y una hija qué hicieron pues el que pueden hacer el que se los es permitido huyeron del país dejaron de pagar el que habían acordado por contrato y la mujer se quedó con sus dos hijos porque ella no quería abortar,permit me present you the case of a youngster estatunidenca Christian that devoted  at making of belly for hire convinced that it was aiding families that could not have children the last bump that offered  this practice found  with a foreign couple a bit eccentric implanted him two embryos everything went well until the first echography a first echography that evidenced that the two embryos were son and son this was not his will they wanted to a son and a daughter what made then what can make what is the ones to him permitted fled of the country ceased to pay what had agreed for agreement and the wife met  his two children so that she did not want to abort
18,INTRO,,AGAINST,17;21,RA,,,,,aquest exemple n'és l'altra cara de la medalla que ens volen imposar  avui,este ejemplo es la otra cara de la medalla que nos quieren imponer hoy,this example is  the other face of the medal that want to impose us today
19,INTRO,,AGAINST,,,,,,,s'hauria de legalitzar la gestació subrogada  qüestió a la que ens oposem,se tendría que legalizar la gestación subrogada cuestión a la que nos oponemos,would have to legalise  the surrogacy question at what body oposem
20,INTRO,,AGAINST,19,MA,,,,,la posició que la gestació subrogada no s'hauria de legalitzar,la posición que la gestación subrogada no se tendría que legalizar,the position that the surrogacy would not have to  legalise
21,INTRO,,AGAINST,,,,,,,el model de gestació  subrogada que voldrien imposar,el modelo de gestación subrogada que querrían imponer,the model of surrogacy that they would want to impose
22,INTRO,,AGAINST,,,,,,,hem d'anar a les arrels,tenemos que ir a las raíces,have to go at the stems
23,INTRO,,AGAINST,19;20,RA,,,,,és èticament raonable legalitzar aquesta pràctica,es éticamente razonable legalizar esta práctica,is ethically reasonable to legalise this practice
24,INTRO,,AGAINST,17;19;20;23,RA,,,,,és aquest el món i el sistema en el que volem viure,es este el mundo y el sistema en el que queremos vivir,is this the world and the system at what want to live
25,INTRO,,FAVOUR,,,,,,,gestació subrogada tècnica per la qual una dona  consenteix quedar-se embarassada  posteriorment parir i lliurar aquest nadó  a una família a un tercer,gestación subrogada técnica por la cual una mujer consenteix quedarse embarazada posteriormente parir y librar este bebé en una familia a un tercer,surrogacy technical for which a wife consenteix stay pregnant later bear and hand this baby at a family at a third
26,INTRO,,FAVOUR,25,RA,,,,,aquesta és la definició,esta es la definición,this is the definition
27,INTRO,,FAVOUR,25,RA,,,,,és el punt de partida,es el punto de partida,is the point of game
28,INTRO,,FAVOUR,25;27,RA,,,,,se'n deriven molts models diferents ,se derivan muchos modelos diferentes,derive  a lot of distinct models
29,INTRO,,FAVOUR,28,RA,,,,,models que tenen una incidència transcendental tant per la dona gestant  com per els nounats com per la família comitent,modelos que tienen una incidencia trascendental tanto por la mujer gestante como por los neonatos como por la familia comitente,models that have a transcendental incidence so much for the wife gestant how for the nounats how for the family comitent
30,INTRO,,FAVOUR,25,RA,,,,,sí  a la legalització de la gestació subrogada,sí a la legalización de la gestación subrogada,aye at the legalisation of the surrogacy
31,INTRO,,FAVOUR,32;33;34,RA,,,,,és més important el com,es más importante lo como,is more important the how
32,INTRO,,FAVOUR,,,,,,,sí raonable,sí razonable,aye reasonable
33,INTRO,,FAVOUR,,,,,,,sí sostenible èticament,sí sostenible éticamente,aye sustainable ethically
34,INTRO,1;2,FAVOUR,,,,,,,sí altruista protector i garant amb totes les parts involucrades,sí altruista protector y garante con todas las partes involucradas,aye protective altruist and garant with all the parts involved
35,INTRO,1,FAVOUR,34,MA,,,,,un model altruista sense retribucions,un modelo altruista sin retribuciones,an altruistic model without rewards
36,INTRO,1,FAVOUR,,,,,,,el que no vol dir  que la dona pugui rebre una compensació econòmica  pels danys soferts durant  l'embaraç,el que no quiere decir que la mujer pueda recibir una compensación económica por los daños sufridos durante el embaraç,what does not mean that the wife can get an economic compensation for the harms suffered during the embaraç
37,INTRO,1,FAVOUR,36,RA,,,,,l'embaraç és un procés molt complicat,la embaraç es un proceso muy complicado,the embaraç is a very complicated process
38,INTRO,1,FAVOUR,34,RA,,,,,amb el model altruista el que intentem és desactivar  l'utilització i l'explotació de la dona,con el modelo altruista el que intentamos es desactivar la utilización y la explotación de la mujer,with the altruistic model what attempt is to deactivate the utilisation and the exploitation of the wife
