ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,fa molts anys vivia un emperador que estava obsedit per demostrar el seu poder a través del luxe i de l'aparença per això va encarregar dos sastres a confeccionar el vestit amb la tela més suau i delicada que poguessin imaginar els dos sastres el van enganyar dient-li que el vestit estava fet d'una tela màgica una tela que era invisible per als ximples quan l'emperador es va emprovar aquest inexistent vestit no es va atrevir a dir res per por ser jutjat com  un simple com un ximple de la mateixa manera van actuar tant el ministre com la resta de la població per evitar ésser jutjats per la resta de conciutadans tots alabaven frenèticament el vestit fins que un nen va exclamar que l'emperador anava despullat,hace muchos años vivía un emperador que estaba obsedit para demostrar su poder a través del lujo y de la apariencia por eso encargó dos sastres a confeccionar el traje con la tela más suave y delicada que pudieran imaginar los dos sastres lo engañaron diciéndole que el traje estaba hecho de una tela mágica una tela que era invisible para los tontos cuando el emperador se va emprovar este inexistente traje no se atrevió a decir nada por miedo ser juzgado como un simple como un tonto del mismo modo actuaron tanto el ministro como la resta de la población para evitar ser juzgados por el resto de conciudadanos todos alababan frenéticamente el traje hasta que un niño exclamó que el emperador iba desnudado,makes a lot of years lived an emperor that was obsedit to evidence his power through the luxury and of the appearance therefore it commissioned two tailors at crafting the dress with the softest cloth and delicate that could imagine the two tailors duped it saying him that the dress was made of a magic cloth a cloth that was invisible for the silly when the emperor goes  emprovar this nonexistent dress does not go  atrevir at saying nothing for fear be judged how a simple how a silly in the same way acted so much the minister how the rest of the populace to eschew being judged by the rest of conciutadans all alabaven frenetically the dress until a boy exclaimed that the emperor went undressed
2,INTRO,,FAVOUR,,,,,és necessària la legalització de la maternitat subrogada,es necesaria la legalización de la maternidad subrogada,is necessary the legalisation of the surrogacy
3,INTRO,,FAVOUR,2,RA,,,per tal d'evitar la complicitat del nostre país en pràctiques que són moralment reprovables,para evitar la complicidad de nuestro país en prácticas que son moralmente reprobables,for such to eschew the complicity of our country at practices that are morally reprovables
4,INTRO,,FAVOUR,2,RA,,,què significa legalitzar,que significa legalizar,what means to legalise
5,INTRO,,FAVOUR,3,RA,,,segons el diccionari de cambridge legalitzar significa permetre una pràctica que havia estat anteriorment prohibida,según el diccionario de cambridge legalizar significa permitir una práctica que había sido anteriormente prohibida,according to the dictionary of cambridge legalise means to permit a practice that had been anteriorly prohibited
6,INTRO,,FAVOUR,4,RA,,, una pràctica que en el marc d'aquest debat és la maternitat subrogada,una práctica que en el marco de este debate es la maternidad subrogada,a practice that at the frame of this debate is the surrogacy
7,INTRO,,FAVOUR,2,RA,,,perquè és una realitat permesa de facto en el nostre país,porque es una realidad permitida de facto en nuestro país,so that it is a reality permitted of facto at our country
8,INTRO,,FAVOUR,2,RA,,,per poder entendre si seria o no positiu legalitzar la maternitat subrogada hem d'entendre quina situació ens trobem avui,para poder entender si seria o no positivo legalizar la maternidad subrogada tenemos que entender qué situación nos encontramos hoy,to be able to understand if it would be or no positive legalise the surrogacy have to understand which situation find us today
9,INTRO,,FAVOUR,3,RA,,,segueix en vigor la llei de tècniques de reproducció humana assistida del dos mil sis en la qual en el seu article desè es prohibeix la maternitat subrogada,sigue en vigor la ley de técnicas de reproducción humana asistida del dos mil seis en la cual en su artículo décimo se prohíbe la maternidad subrogada,tracks in force the law of technicians of human reproduction assisted of the two thousand six at which at his tenth article prohibits  the surrogacy
10,INTRO,,FAVOUR,4,RA,,,el que sí que permet al nostre sistema és la inscripció en el registre civil d'aquells nascuts a l'estranger en països en els quals aquesta pràctica sí que estigui permesa,el que sí que permite a nuestro sistema es la inscripción en el registro civil de aquellos nacidos al extranjero en países en los cuales esta práctica sí que esté permitida,what aye that it permits at our system is the inscription at the civil registry of those born abroad at countries at which this practice aye that it was permitted
11,INTRO,,FAVOUR,9,RA,,,per tant trobem una prohibició,por lo tanto encontramos una prohibición,therefore we find a ban
