ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,2,FAVOUR,,,,,,,imagineu-vos que tenim aquí una bústia plena de bitllets i cadascun de vosaltres en té un només a un li tocarà el premi senyors senyores així és com funciona la loteria,imaginaos que tenemos aquí un buzón lleno de billetes y cada uno de vosotros tiene un solo a uno le tocará el premio señores señoras así es como funciona la lotería,imagine you that have here a full mailbox of tickets and cadascun of you has  an only at one will touch him the prize gentlemen ladies like this is how functions the lottery
2,INTRO,2,FAVOUR,1,RA,,,,,la loteria és un joc públic d'atzar en el que guanyar és molt complicat,la lotería es un juego público de azar en el que ganar es muy complicado,the lottery is a public game of chance at what gross is very complicated
3,INTRO,1;2,FAVOUR,2,RA,,,,,avui dia a espanya poder adoptar és tan complicat com a que et toqui la loteria,hoy en día a espanya poder adoptar es tan complicado como que te toque la lotería,nowadays at espanya can adopt is as complicated as a that it touch you the lottery
4,INTRO,,FAVOUR,,,,,,,hem de legalitzar la gestació subrogada,tenemos que legalizar la gestación subrogada,have to legalise the surrogacy
5,INTRO,2,FAVOUR,4,RA,,,,,donar facilitat per a formar famílies per aquesta gent que ho té més complicat,dar facilidad para formar familias por esta gente que lo tiene más complicado,give ease to form families for these persons that has it more complicated
6,INTRO,,FAVOUR,,,,,,,però no a tot preu,pero no a todo precio,but no by all means
7,INTRO,2,FAVOUR,4,RA,,,,,una gestació subrogada que sigui altruista per així poder garantir un control i protecció,una gestación subrogada que sea altruista por así poder garantizar un control y protección,a surrogacy that it was altruist for like this can guarantee a control and protection
8,INTRO,2,FAVOUR,4,MA,,,,,una gestació subrogada altruista,una gestación subrogada altruista,a surrogacy altruist
9,INTRO,,FAVOUR,6,MA,,,,,no ho permetrem a qualsevol preu,no lo permitiremos a cualquier precio,will not permit it at any price
10,INTRO,,FAVOUR,,,,,,,anem a definir conceptes per saber de què estan parlant,vamos a definir conceptos por saber de que están hablando,go at defining concepts for learning of what are talking
11,INTRO,,FAVOUR,,,,,,,legalitzar és fer lleial un acte o cosa,legalizar es hacer leal un acto o cosa,legalise is to make loyal an act or thing
12,INTRO,,FAVOUR,,,,,,,és lleial doncs el que és manat o permès per la llei,es leal pues el que es mandado o permitido por la ley,is loyal then what is commanded or permitted by the law
13,INTRO,,FAVOUR,,,,,,,gestació subrogada és un procés en el qual una dona gesta un infant destinat a ser criat per algú altre,gestación subrogada es un proceso en el cual una mujer gesta un niño destinado a ser criado por alguien otro,surrogacy is a process at which a wife feat a girl destined at being raised by somebody other
14,INTRO,2,FAVOUR,5,MA,,,,,una solució per a formar famílies per la gent que ho té més complicat,una solución para formar familias por la gente que lo tiene más complicado,a solution to form families for the persons that has it more complicated
15,INTRO,,FAVOUR,16;21;25,RA,,,,,tres grans arguments,tres grandes argumentos,three big arguments
16,INTRO,1,FAVOUR,,,,,,,l'adopció és ineficaç,la adopción es ineficaz,the adoption is ineffective
17,INTRO,1,FAVOUR,16,RA,,,,,hi ha un temps d'espera de quatre a vuit anys és un procés molt llarg i costós,hay un tiempo de espera de cuatro a ocho años es un proceso muy largo y costoso,there is a time of expects of four at eight years is a very long process and costly
18,INTRO,1,FAVOUR,17,CA,,,,,en canvi un embaràs són sols nou mesos,en cambio un embarazo son solo nueve meses,instead a pregnancy are only nine months
19,INTRO,1,FAVOUR,16;17,RA,,,,,suposant que el sol·licitant a la fi sigui apte per a poder adoptar,suponiendo que el solicitante al fin sea apto para poder adoptar,supposing that the applicant at the end was apt to be able to adopt
20,INTRO,1,FAVOUR,16;17;18;19,RA,,,,,per tant el principal mètode alternatiu d'adopció jau en que és totalment ineficaç,por lo tanto el principal método alternativo de adopción yace en que es totalmente ineficaz,therefore the principal alternative method of adoption jau at that it is totally ineffective
21,INTRO,2,FAVOUR,,,,,,,la igualtat d'oportunitats,la igualdad de oportunidades,the equality of opportunities
22,INTRO,2,FAVOUR,1;2;3;21,RA,,,,,tots han de tenir la mateixa quantitat de paperetes,todos tienen que tener la misma cantidad de papeletas,all have to have the same quantity of ballots
23,INTRO,2,FAVOUR,22,CA,4;5,RA,,,no només la gent amb més diners ha de poder anar-se’n a estats units a ucraïna a rússia i poder tenir un nin per gestació subrogada,no solo la gente con más dinero tiene que poder irse a estados unidos a ucraïna a rússia y poder tener un nin por gestación subrogada,no only the persons with more money has to can go at states united at ucraïna at rússia and can have a nin for surrogacy
