ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,mes zero em vaig oferir com a gestant subrogada eren uns amics que no podien tenir fills i jo ja havia tingut el meu petit pau va ser un acte totalment altruista per fer un favor a uns amics mes tres després de les molèsties i del malestar general dels primers mesos sembla que això de gestar un fill per unes altres persones no és tan difícil mes sis començo a notar una vida dins meu li poso música i reacciona dóna puntades de peu i a les ecografies sembla que somrigui quan vaig pel carrer la gent em emprar em para per preguntar-me com es dirà però els he de dir que no serà meu que jo només l'estic gestant durant nou mesos i que quan neixi l'hauré d'entregar als seus pares em diuen que és una llàstima que aquí el gesta se l'hauria de quedar perquè el vincle entre mare i fill mai s'hauria de trencar no negaré que he dubtat en si entregar-lo mes nou tot s'ha acabat volia fingir que res d'allò havia succeït que la nena era meva i que viuríem juntes per una banda em sentia culpable amb l'obligació que havia contret amb els stein i estava preocupada per com es sentirien d'altra banda em sentia obligada amb la nena com qualsevol mare ho estaria amb el seu fill,mas cero me ofrecí como gestante subrogada eran unos amigos que no podían tener hijos y yo ya había tenido mi pequeño paz fue un acto totalmente altruista para hacer un favor a unos amigos mas tres después de las molestias y del malestar general de los primeros meses parece que esto de gestar un hijo por otras personas no es tan difícil mes seis empiezo a notar una vida dentro de mío le pongo música y reacciona da puntapiés y a las ecografías parece que sonría cuando voy por la calle la gente me emplear me para para preguntarme cómo se llamará pero los tengo que decir que no será mío que yo solo lo estoy gestando durante nueve meses y que cuando nazca lo tendré que entregar a sus padres me dicen que es una lástima que aquí el gesta se lo tendría que quedar porque el vínculo entre madre e hijo nunca se tendría que romper no negaré que he dudado en si entregarlo mes nuevo todo se ha acabado quería fingir que nada de aquello había sucedido que la niña era mía y que viviríamos juntas por un lado me sentía culpable con la obligación que había contraído con los stein y estaba preocupada por cómo se sentirían por otro lado me sentía obligada con la niña como cualquier madre lo estaría con su hijo,month zero offered me as a gestant subrogada were some friends that could not have children and I already had had my small peace was a totally altruistic act to make a favour at some friends my three after the nuisances and of the general unrest of the first months seems that this of gestar a son for other persons is not as difficult month six commence at noting a life in mine pose him musician and reacts gives kicks and at the echographies seems that it smile when go for the street the persons me employ pauses me to ask me how will say  but have to say the ones that it will not be mine that I only am it gestant during nine months and that when was born will have to hand it at his parents say me that it is a pity that here the feat would have to it stay so that the tie among mother and son never would have to  smash will not deny that I have doubted at if hand it new month everything has ended  wanted to feign that nothing of that had succeït that the girl was mine and that would live together on the one hand heard me culprit with the debenture that had contracted with the stein and was preoccupied by how would hear  on the other hand heard me obliged with the girl how any mother would be it with his son
2,INTRO,,AGAINST,,,la gestació subrogada i és que d'acord amb l'observatori de bioètica i dret de la universitat de barcelona la gestació subrogada és aquell procés que permet que una parella o una persona soltera puguin accedir a tenir un fill a través de la col·laboració d'una dona i aquesta dona és compromet a sotmetre's a una sèrie de tècniques de reproducció assistida amb la finalitat de tenir un fill i després entregar-lo a aquests pares comitents ja sigui de forma comercial o de forma altruista,la gestación subrogada y es que de acuerdo con el observatorio de bioética y derecho de la universidad de barcelona la gestación subrogada es aquel proceso que permite que una pareja o una persona soltera puedan acceder a tener un hijo a través de la colaboración de una mujer y esta mujer es compromete a someterse a una serie de técnicas de reproducción asistida con el fin de tener un hijo y después entregarlo a estos padres comitentes ya sea de forma comercial o de forma altruista,the surrogacy and is that of chord with the observatory of bioethics and law of the university of barcelona the surrogacy is that process that permits that a couple or a person soltera can access at having a son through the collaboration of a wife and this wife is engages at subjecting  at a series of technicians of reproduction assisted with the purpose to have a son and next hand it at these parents comitents already was of trading form or of altruistic form
3,INTRO,,AGAINST,,,i en segon lloc nosaltres definim com a legalitzar fer que una cosa tingui caràcter legal,y en segundo lugar nosotros definimos como legalizar hacer que una cosa tenga carácter legal,and in the second place we define as a legalising make that a thing have legal nature
4,INTRO,,AGAINST,2;3,RA,la gestació subrogada no s'ha de legalitzar,la gestación subrogada no se tiene que legalizar,the surrogacy does not have to  legalise
5,INTRO,,AGAINST,4,RA,per una banda perquè no és una pràctica desitjable en el si de la nostra societat,por un lado porque no es una práctica deseable en el seno de nuestra sociedad,on the one hand so that it is not a desirable practice at the if of our society
6,INTRO,,AGAINST,5,RA,perquè la nostra societat hi ha una sèrie de línies vermelles que no s'han de sobrepassar i la gestació subrogada les sobrepassa flagrantment,porque nuestra sociedad hay una serie de líneas rojas que no se tienen que sobrepasar y la gestación subrogada las sobrepasa flagrantemente,so that our society there is a series of red lines that do not have to  exceed and the surrogacy the exceeds flagrantment
7,INTRO,,AGAINST,6,RA,línia vermella ètica la gestació subrogada cosificà a la dona i desprotegeix el menor,línea roja ética la gestación subrogada cosificà a la mujer y desprotegeix el menor,ethic red line the surrogacy cosificà at the wife and desprotegeix the minor
8,INTRO,,AGAINST,6,RA,línia vermella social la gestació subrogada consagrarà i consolidarà al patriarcat,línea roja social la gestación subrogada consagrará y consolidará al patriarcado,social red line the surrogacy will anoint and will cement at the patriarchy
9,INTRO,,AGAINST,6,RA,i línia vermella econòmica perquè aquesta dinàmica de la gestació subrogada inclou dins de la dinàmica comercial causes tan inherents i tan humanes com és el fet de tenir un fill ,y línea roja económica porque esta dinámica de la gestación subrogada incluye dentro de la dinámica comercial causas tan inherentes y tan humanas como es el hecho de tener un hijo,and economic red line so that this dynamics of the surrogacy includes in the trading dynamics causes as inherent and as human how is the fact to have a son
10,INTRO,,AGAINST,4,RA,no és necessària la gestació subrogada en el nostre context,no es necesaria la gestación subrogada en nuestro contexto,is not necessary the surrogacy at our context
