ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,wendy és una meravellosa dona treballadora que gràcies al seu esforç  ha aconseguit arribar a una posició que la majoria envejarien  tot i això ella no és feliç  malgrat tot este esforç ella no és feliç  perquè fa uns dies que el seu metge li ha dit que no va poder  complir el seu somni el seu somni de ser mare  decebuda però no derrotada wendy li demana ajuda al metge  i el metge li diu que l'única solució és acudir a la llarga cua  que és l'adopció wendy accepta tanmateix de seguida se n'adona  que el temps passa i no la criden i com ella vol  complir el seu somni de ser mare busca una solució  i en este cas la solució són els ventres de lloguer  i ací és on entra la segona dona de la nostra història  ella és pattaramon chanbua una dona de vint anys d'origen tailandès  i mare de dos fills necessitada de diners es posa en contacte amb una agència  per oferir-se com a ventre de lloguer  en un tres i no res pattaramon i wendy  han signat un contracte per un valor de quinze mil dòlars  al principi tot va bé l'embaràs es desenvolupa com toca  però el problema el tenim quan naix gammy  el fill de pattaramon el problema que tenia ell  és que va nàixer amb síndrome de down  i així wendy es va posar a reflexionar  i es va adonar que la seua vida  la seua vida laboral la seua vida personal no anaven a poder suportar  la càrrega de criar este fill  aleshores va decidir anar-se'n sense haver complit el seu somni de ser mare  deixant pattaramon amb zero euros i tres fills que alimentar,wendy es una maravillosa mujer trabajadora que gracias a su esfuerzo ha conseguido llegar a una posición que la mayoría envidiarían aun así ella no es feliz a pesar de todo este esfuerzo ella no es feliz porque hace unos días que su médico le ha dicho que no pudo cumplir su sueño su sueño de ser madre decepcionada pero no derrotada wendy le pide ayuda al médico y el médico le dice que la única solución es acudir a la larga cola que es la adopción wendy acepta aun así enseguida se da cuenta que el tiempo pasa y no la gritan y como ella quiere cumplir su sueño de ser madre busca una solución y en este caso la solución son los vientres de alquiler y aquí es donde entra la segunda mujer de nuestra historia ella es pattaramon chanbua una mujer de veinte años de origen tailandés y madre de dos hijos necesitada de dinero se pone en contacto con una agencia para ofrecerse como vientre de alquiler en un santiamén pattaramon y wendy han firmado un contrato por un valor de quince mil dólares al principio todo va bien el embarazo se desarrolla como toca pero el problema lo tenemos cuando nace gammy el hijo de pattaramon el problema que tenía él es que nació con síndrome de down y así wendy se puso a reflexionar y se dio cuenta que su vida su vida laboral su vida personal no iban a poder soportar la carga de criar este hijo entonces decidió irse sin haber cumplido su sueño de ser madre dejando pattaramon con cero euros y tres hijos que alimentar,wendy is a wonderful industrious wife that thanks to his effort has achieved to reach a position that most would envy everything and this she is not happy regardless este effort she is not happy so that it makes some days that his doctor has said him that it could not conform his sleep his sleep of being mother disappointed but no defeated wendy requests him aid at the doctor and the doctor says him that the only solution is to attend in the long run tail that is the adoption wendy accepts however immediately   adona that the time passes and do not cry it and how she wants to conform his sleep of being mother seeks a solution and at este case the solution are the bellies for hire and here is where enters the second wife of our history she is pattaramon chanbua a wife of twenty years of Thai origin and mother of two children needed of money poses  at contact with an agency to offer  as a belly for hire in a trice pattaramon and wendy have signed an agreement for a value of fifteen thousand dollars at the principle everything goes well the pregnancy develops how touches but the problem have it when is born gammy the son of pattaramon the problem that had he is that it was born with syndrome of down and like this wendy posed  at reflexionar and goes  adonar that his life his labour life his personal life did not go at being able to endure the charge to raise este son then decided to go without having conformed his sleep of being mother letting pattaramon with zero euros and three children that power
2,INTRO,,AGAINST,1,RA,,,tan beneficiosa és la gestació subrogada estos ventres de lloguer  que els hem de legalitzar,tan beneficiosa es la gestación subrogada estos vientres de alquiler que los tenemos que legalizar,as beneficial is the surrogacy estos bellies for hire that have to legalise the ones
3,INTRO,,AGAINST,,,,,no podem legalitzar els ventres de lloguer,no podemos legalizar los vientres de alquiler,can not legalise the bellies for hire
4,INTRO,,AGAINST,3,RA,,,Perquè  deshumanitzen a la dona,Porque deshumanizan a la mujer,So that deshumanitzen at the wife
5,INTRO,,AGAINST,3,RA,,,perquè la fan desenvolupar una tasca precària,porque la hacen desarrollar una tarea precaria,so that they make it develop a precarious task
6,INTRO,,AGAINST,3,RA,,,Perquè el que fan és fer-la patir,Porque el que hacen es hacerla sufrir,So that what make is to make it suffer
7,INTRO,,AGAINST,1,RA,,,quan wendy es va plantejar signar este contracte  el que va fer és provocar que pattaramon perguera tota la seua dignitat  la seua essència com a persona,cuando wendy se planteó firmar este contrato el que hizo es provocar que pattaramon perguera toda su dignidad su esencia como persona,when wendy posed  sign este agreement what made is to provoke that pattaramon perguera all his dignity his essence as a person
8,INTRO,,AGAINST,7,RA,,,i fóra tractada com una cosa  més del nostre règim,y fuera tratada como una cosa más de nuestro régimen,and was treated how a thing more of our diet
9,INTRO,,AGAINST,8,RA,,,règim de mercat  al que no li importa ni la nostra veu ni els nostres drets,régimen de mercado al que no le importa ni nuestra voz ni nuestros derechos,diet of market at the that does not import him or our voice or our laws
10,INTRO,,AGAINST,9,RA,,,pattaramon era tractada com un producte més a l'aparador del món occidental,pattaramon era tratada como un producto más al escaparate del mundo occidental,pattaramon was treated how a product more at the in the world occidental shop window
11,INTRO,,AGAINST,10,RA,,,quan es van plantejar tant wendy com la seua parella buscar  un ventre de lloguer van acceptar el manteniment d'un sistema,cuando se plantearon tanto wendy como su pareja buscar un vientre de alquiler aceptaron el mantenimiento de un sistema,when posed  so much wendy how his couple seek a belly for hire accepted the maintenance of a system
12,INTRO,,AGAINST,11,RA,,,que agafa a gent adinerada per aprofitar-se de dones com pattaramon,que coge a gente adinerada para aprovecharse de mujeres como pattaramon,that seizes at persons adinerada to take advantage of  of wives how pattaramon
14,INTRO,,AGAINST,12,RA,,,convertint  esta xarxa este sistema en un mer colonialisme de ventres,convirtiendo esta red este sistema en un mero colonialismo de vientres,converting esta mesh este system at a mere colonialism of bellies
15,INTRO,,AGAINST,1,RA,,,quan es van plantejar pagar per obtindre un fill  no es van plantejar que acabarien abandonant a gammy,cuando se plantearon pagar para obtener un hijo no se plantearon que acabarían abandonando a gammy,when posed  pay to obtain a son did not pose  that they would end abandoning at gammy
16,INTRO,,AGAINST,15,RA,,,I menys van pensar en totes les conseqüències riscos i malalties  que portaria este embaràs per pattaramon i per a gammy quan se n'adonarà  que l'anaven abandonar i l'anaven a separar de la seua mare,Y menos pensaron en todas las consecuencias riesgos y enfermedades que llevaría este embarazo por pattaramon y para gammy cuando se dará cuenta que lo iban abandonar y lo iban a separar de su madre,And less thought at all the consequences risks and sicknesses that would take este pregnancy for pattaramon and for gammy when   adonarà that went it abandon and went it at parting of his mother
17,INTRO,,AGAINST,,,,,on posem eixa frontera,donde ponemos esa frontera,where pose eixa border
18,INTRO,,AGAINST,17,RA,,,perquè estem disposats a convertir un embaràs a una mare  i el seu fill en un producte que posem a la nostra llista de la compra,porque estamos dispuestos a convertir un embarazo a una madre y su hijo en un producto que ponemos a nuestra lista de la compra,so that we are had to convert a pregnancy at a mother and his son at a product that pose at our list of the purchase
19,INTRO,,AGAINST,17,RA,,,els ventres de lloguer no la poden passar,los vientres de alquiler no la pueden pasar,the bellies for hire can not it pass
20,INTRO,,AGAINST,19,RA,,,perquè en el moment la traspassen  estarem acceptant una deshumanització de les dones una precarització  d'elles i un patiment constant,porque en el momento la traspasan estaremos aceptando una deshumanización de las mujeres una precarización de ellas y un sufrimiento constante,so that at the moment the traspassen will be accepting a dehumanisation of the wives a precarització of them and a constant suffering
21,INTRO,,FAVOUR,,,,,nou-cents setanta-nou nens nascuts mitjançant gestació subrogada al nostre país  des de l'any dos mil deu segons el govern espanyol,novecientos setenta y nueve niños nacidos mediante gestación subrogada a nuestro país desde el año dos mil manantial según el gobierno español,nine hundred seventy-nine boys been born by means of surrogacy at our country since the year two thousand spring according to the Spanish governance
22,INTRO,,FAVOUR,,,,,entre set-cents i mil nens neixen mitjançant la  gestació subrogada al nostre país segons altres associacions,entre setecientos y mil niños nacen mediante la gestación subrogada en nuestro país según otras asociaciones,among seven hundred and one thousand boys are born by means of the surrogacy at our country according to other associations
23,INTRO,,FAVOUR,21;22,RA,,,la gestació subrogada és una realitat al nostre país,la gestación subrogada es una realidad en nuestro país,the surrogacy is a reality at our country
24,INTRO,,FAVOUR,23,RA,,,països com canadà països  com portugal països com el regne unit que han entès que legalitzar  de forma altruista la gestació subrogada suposa dues coses,países como canadà países como portugal países como el reino unido que han entendido que legalizar de forma altruista la gestación subrogada supone dos cosas,countries how canadà countries how portugal countries how the realm united that have understood that legalise of altruistic form the surrogacy supposes two things
25,INTRO,,FAVOUR,24,RA,,, protegir els drets de les dones i també dels infants,proteger los derechos de las mujeres y también de los niños,protect the laws of the wives and also of the girls
26,INTRO,,FAVOUR,24,RA,,,i lluitar contra les màfies i el mercat negre,y luchar contra las mafias y el mercado negro,and battle against the mafias and the black market
27,INTRO,,FAVOUR,24;25;26,RA,,,el que passa quan la gestació subrogada està il·legalitzada  les màfies operen al mercat negre s'expandeix i segueixen  naixent nadons mitjançant la gestació subrogada,el que pasa cuando la gestación subrogada está ilegalizada las mafias operan al mercado negro se expande y siguen naciendo bebés mediante la gestación subrogada,what passes when the surrogacy is outlawed the mafias operate at the black market expands  and track being born babies by means of the surrogacy
28,INTRO,,FAVOUR,27,RA,,,il·legalitzar la gestació subrogada  no ha acabat amb la gestació subrogada,ilegalizar la gestación subrogada no ha acabado con la gestación subrogada,outlaw the surrogacy has not ended with the surrogacy
29,INTRO,,FAVOUR,,,,,margaret brazier és una jurista britànica que és coneguda  com ser la mare de la llei altruista de gestació subrogada  al regne unit,margaret brazier es una jurista británica que es conocida como ser la madre de la ley altruista de gestación subrogada en el reino unido,margaret brazier is a British jurist that is met how being the mother of the altruistic law of surrogacy at the realm united
30,INTRO,,FAVOUR,29,RA,,,i defineix la gestació subrogada com aquella  pràctica mitjançant la qual una dona du a terme un embaràs per altres persones  fruit d'un acord,y define la gestación subrogada como aquella práctica mediante la cual una mujer lleva a cabo un embarazo por otras personas fruto de un acuerdo,and defines the surrogacy how that practice by means of which a wife carries out a pregnancy for other persons fruit of a chord
31,INTRO,,FAVOUR,30,RA,,,un acord que és el supòsit principal del  nostre primer argument autonomia amb garanties,un acuerdo que es el supuesto principal de nuestro primer argumento autonomía con garantías,a chord that is the principal supposition of our first argument autonomy with guarantees
32,INTRO,,FAVOUR,31,RA,,,perquè la gestació  subrogada és un exercici més del nostre dret d'autonomia personal,porque la gestación subrogada es un ejercicio más de nuestro derecho de autonomía personal,so that the surrogacy is an exercise more of our law of personal autonomy
33,INTRO,,FAVOUR,32,RA,,,és un exercici més recollit a l'article número tres de  la declaració de drets humans que parla de dues coses,es un ejercicio más recogido en el artículo número tres de la declaración de derechos humanos que habla de dos cosas,is a more collected exercise at the article number three of the statement of human laws that talks of two things
34,INTRO,,FAVOUR,33,RA,,,llibertat que ho relacionem amb la gestació subrogada com  la capacitat de fer allò que vulguem amb el nostre cos sense  donar comptes a tercers,libertado que lo relacionamos con la gestación subrogada como la capacidad de hacer aquello que queramos con nuestro cuerpo sin dar cuentas a terceros,liberty that relate it with the surrogacy how the capacity to make that that want to with our body without giving beads at third
35,INTRO,,FAVOUR,33,RA,,,i seguretat garanties regulació forta  a l'explotació i la mercantilització se la combat amb regulació  i amb legislació,y seguridad garantizabas regulación fuerte a la explotación y la mercantilización se la combate con regulación y con legislación,and security guaranteed strong regulation at the exploitation and the mercantilització combats it with regulation and with legislation
36,INTRO,,FAVOUR,24,RA,,,la gestació subrogada  avui és una realitat que països com portugal  regne unit i canadà han volgut legislar per fer dues coses  acabar amb les màfies i protegir els drets de les dones,la gestación subrogada hoy es una realidad que países como portugal reino unido y canadà han querido legislar para hacer dos cosas acabar con las mafias y proteger los derechos de las mujeres,the surrogacy today is a reality that countries how portugal realm united and canadà have wanted to legislate to make two things end with the mafias and protect the laws of the wives
37,INTRO,,FAVOUR,,,,,en els darrers anys ens hem volgut crear aquesta falsa dicotomia  que o defensem els drets de les dones o defensem els drets d'aquells col·lectius  que no poden tenir fills per mètodes biològics,en los últimos años nos hemos querido crear esta falsa dicotomía que o defendemos los derechos de las mujeres o defendemos los derechos de aquellos colectivos que no pueden tener hijos por métodos biológicos,at the last years have wanted to us create this dud dichotomy that or defend the laws of the wives or defend the laws of those communities that can not have children for biological methods
38,INTRO,,FAVOUR,36;37,RA,,,aquesta dicotomia  s'ha vist que és falsa ens ho demostren els països que  legislen mitjançant la gestació subrogada,esta dicotomía se ha visto que es falsa nos lo demuestran los países que legislan mediante la gestación subrogada,this dichotomy has viewed  that it is dud evidence it to us the countries that legislate by means of the surrogacy
