ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,quan mireu aquí què veieu,cuando miráis aquí qué veis,when look here what view
2,INTRO,,FAVOUR,1,RA,,,cinquanta euros,cincuenta euros,fifty euros
3,INTRO,,FAVOUR,2,RA,,,el nostre nou déu,nuestro nuevo dios,our new god
4,INTRO,,FAVOUR,3,RA,,,construïm les nostres vides al seu voltant,construimos nuestras vidas al suyo cercando,construct our lives at his hovering
5,INTRO,,FAVOUR,3,RA,,,ell ens proveeix,él nos provee,he caters us
6,INTRO,,FAVOUR,3,RA,,,sacia els nostres anhels els nostres vicis i les nostres perversions,sacia nuestros anhelos nuestros vicios y nuestras perversiones,sacia our longings our vices and our perversions
7,INTRO,,FAVOUR,3,RA,,,ens aconseguix un nadó,nos consigue un bebé,achieves us a baby
8,INTRO,,FAVOUR,,,,,si no legalitzem la gestació subrogada sota uns paràmetres que l'acotin,si no legalizamos la gestación subrogada bajo unos parámetros que el acotin,if we do not legalise the surrogacy under some parameters that the acotin
9,INTRO,,FAVOUR,7,RA,,,una família amb diners pot entrar en google teclejar gestació subrogada teclejar gestació subrogada i contractar els serveis d'una empresa ucraïnesa que li garantia un tracte magnífic i un producte de primera,una familia con dinero puede entrar en google teclear gestación subrogada teclear gestación subrogada y contratar los servicios de una empresa ucraniana que le garantizaba un trato magnífico y un producto de primera,a family with money can enter at google teclejar surrogacy teclejar surrogacy and hire the kicks of an Ukrainian company that guaranteed him a glorious tract and a product of first
10,INTRO,,FAVOUR,9,RA,,,una vida humana a estrenar,una vida humana a estrenar,a human life at premiering
11,INTRO,,FAVOUR,7,RA,,,si deixem que les condicions les marqui i les resolgui el mercat,si dejamos que las condiciones las marque y las resuelva el mercado,if we let that the conditions the mark and the resolve the market
12,INTRO,,FAVOUR,11,RA,,,proletaritzarem i consagrem l'explotació del ventre de dones pobres i vulnerables,proletaritzarem y consagramos la explotación del vientre de mujeres pobres y vulnerables,proletaritzarem and anoint the exploitation of the belly of poor and vulnerable wives
13,INTRO,,FAVOUR,12,RA,,,com si de treballadores de tèxtil foren,como sí de trabajadoras de textil fueran,as if of workers of textile were
14,INTRO,,FAVOUR,11,RA,,,el mercat es preocuparà pel client i la samarreta,el mercado se preocupará por el cliente y la camiseta,the market will preoccupy  for the customer and the T-shirt
15,INTRO,,FAVOUR,14,MA,,,no per qui la fa,no por quien la hace,no for who makes it
16,INTRO,,FAVOUR,,,,,per uns trenta mil euros podem sortejar la prohibició legislativa al nostre país i aprofitar-nos de la misèria i la pobresa d'una dona per aconseguir allò que la natura ens ha prohibit,por unos treinta mil euros podemos sortear la prohibición legislativa a nuestro país y aprovecharnos de la miseria y la pobreza de una mujer para conseguir aquello que la natura nos ha prohibido,for some thirty one thousand euros can sortejar the legislative ban at our country and take advantage of us of the misery and the poverty of a wife to achieve that that the nature has prohibited us
17,INTRO,,FAVOUR,,,,,hi ha milers de nenes i nens abandonats arreu del món,hay miles de niñas y niños abandonados en todo el mundo,there are thousands of girls and boys abandoned all over in the world
18,INTRO,,FAVOUR,17,RA,,,però és que jo el vull nou i a poder ser blanc,pero es que yo lo quiero nuevo y a poder ser blanco,but is that I want to it new and at being able to white being
19,INTRO,,FAVOUR,18,RA,,,és més fàcil de criar sense tant de trauma que generaria el racisme imperant,es más fácil de criar sin tanto de trauma que generaría el racismo imperante,is easier to raise without so much of trauma that would generate the racism imperant
20,INTRO,,FAVOUR,,,,,és una pràctica horrible,es una práctica horrible,is a horrible practice
21,INTRO,,FAVOUR,20,RA,,,però una pràctica possible,pero una práctica posible,but a possible practice
22,INTRO,,FAVOUR,21,RA,,,i tractar de prohibir una possibilitat humana és com ficar portes en el camp,y tratar de prohibir una posibilidad humana es como meter puertas en el campo,and treat to prohibit a human possibility is how put doors at the area
23,INTRO,,FAVOUR,21,RA,,,si tenim la possibilitat de fer-ho,si tenemos la posibilidad de hacerlo,if have the possibility to make it
24,INTRO,,FAVOUR,23,RA,,,ho farem,lo haremos,will make it
25,INTRO,,FAVOUR,,RA,,,encara que aquesta pràctica comporta convertir a dones pobres del món en contenidors de la nova generació de les aristocràcies,aunque esta práctica compuerta convertir a mujeres pobres del mundo en contenedores de la nueva generación de las aristocracias,although this practical gate convert at poor wives in the world at containers of the new generation of the aristocracies
26,INTRO,,FAVOUR,,,,,som una espècie depredadora que practica el cinisme,somos una especie depredadora que practica el cinismo,are a predatory species that practices the cynicism
