ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,la cèlebre frase que en el seu dia va pronunciar ortega y gasset jo sóc jo i les meves circumstàncies,la célebre frase que en su día pronunció ortega y gasset yo soy yo y mis circunstancias,the famous sentence that at his day pronounced ortega y gasset I am I and my circumstances
2,INTRO,,AGAINST,1,MA,,,vol dir que l'individu no existeix sense el seu context,quiere decir que el individuo no existe sin su contexto,means that the individual does not exist without his context
3,INTRO,,AGAINST,2,RA,,,no és el mateix que jo pronunciï aquest discurs aquí davant un públic uns contrincants un jurat que ho faci davant el mirall del lavabo de casa meva,no es el mismo que yo pronuncie este discurso aquí ante un público unos contrincantes un jurado que lo haga ante el espejo del lavabo de casa mía,is not the same that I pronounce this speech here in front of a public some opponents a jury that make it in front of the mirror of the basin of mine house
4,INTRO,,AGAINST,3,RA,,,la situació el context els nervis la competició el voler guanyar faran que jo conscient o inconscientment pronunciï de forma diferent o en canviï les formes,la situación el contexto los nervios la competición lo querer ganar harán que yo consciente o inconscientemente pronuncie de forma diferente o cambie las formes,the situation the context the nerves the competition want to gross it will make that I conscious or unconsciously pronounce differently or capsize  the forms
5,INTRO,,AGAINST,,,,,els éssers humans sempre hem competit contra la naturalesa,los seres humanos siempre hemos competido contra la naturaleza,the human beings always have competed against the nature
6,INTRO,,AGAINST,5,RA,,,podem volar amb una central nuclear alimentem energèticament ciutats senceres hem curat infinitat de malalties o amb alguns pesticides hem multiplicat exponencialment les collites,podemos volar con una central nuclear alimentamos energéticamente ciudades enteras hemos curado infinidad de enfermedades o con algunos pesticidas hemos multiplicado exponencialmente las cosechas,can blast with a nuclear head office power energetically whole cities have cured infinity of sicknesses or with some pesticides have multiplied exponentially the harvests
7,INTRO,,AGAINST,6,RA,,,amb una central nuclear alimentem energèticament ciutats senceres,con una central nuclear alimentamos energéticamente ciudades enteras,with a nuclear head office power energetically whole cities
8,INTRO,,AGAINST,6,RA,,,amb alguns pesticides hem multiplicat exponencialment les collites,con algunos pesticidas hemos multiplicado exponencialmente las cosechas,with some pesticides have multiplied exponentially the harvests
9,INTRO,,AGAINST,6,RA,,,però no tot progrés científic implica un progrés social,pero no todo progreso científico implica un progreso social,but no every scientific headway implies a social headway
10,INTRO,,AGAINST,7,RA,,,l'energia nuclear és la mare de la bomba atòmica,la energía nuclear es la madre de la bomba atómica,the nuclear energy is the mother of the atomic bomb
11,INTRO,,AGAINST,8,RA,,, els pesticides que multiplicaven les collites alguns han sigut prohibits per el fet de convertir els aliments en insalubres,los pesticidas que multiplicaban las cosechas algunos han sido prohibidos por el hecho de convertir los alimentos en insalubres,the pesticides that multiplied the harvests some have been prohibited by the fact to convert the aliments at insalubres
12,INTRO,,AGAINST,,,,,és que fa cent cinquanta anys charles darwin determinava la seva gran obra l'origen de les espècies que els éssers vius han evolucionat mitjançant una selecció natural no aleatòria,es que hace ciento cincuenta años charles darwin determinaba su gran obra el origen de las especies que los seres vivos han evolucionado mediante una selección natural no aleatoria,is that it makes one hundred fifty years charles darwin determined his big work the origin of the species that the living beings have evolved by means of a natural selection no random
13,INTRO,,AGAINST,12,RA,,,que sigui no aleatòria no vol dir que cada individu escull els seus propis caràcters hereditaris,que sea no aleatoria no quiere decir que cada individuo escoge sus propios caracteres hereditarios,that was no random does not mean that each individual chooses his own hereditary natures
14,INTRO,,AGAINST,13,RA,,,el que hem de fer com a éssers humans com a espècie és acceptar aquelles genètiques més propícies per a reproducció ,el que tenemos que hacer como seres humanos como especie es aceptar aquellas genéticas más propicias para reproducción,what have to make as a human beings as a species is to accept those more favourable genetics for reproduction
15,INTRO,,AGAINST,14,RA,,,als que ho són menys hem inventat el que va ser la inseminació artificial hem inventat fertilitzants també experts han creat rutines dietes hàbits que el que fan és multiplicar la capacitat reproductora,a los que lo son menos hemos inventado el que fue la inseminación artificial hemos inventado fertilizantes también expertos han creado rutinas dietas hábitos que el que hacen es multiplicar la capacidad reproductora,at the that are it less have invented what was the artificial insemination have invented fertilising also expert have created routines diets habits that what make is to multiply the reproductive capacity
16,INTRO,,AGAINST,15,RA,,,en matèria reproductora hem de posar aquí l'stop,en materia reproductora tenemos que poner aquí el stop,at reproductive matter have to pose here the stop
17,INTRO,,AGAINST,16,RA,,,perquè seria reinventar l'esclavitud al segle vint-i-u,porque sería reinventar la esclavitud en el siglo veintiuno,so that it would be to reinvent the slavery at the century twenty-and-u
18,INTRO,,AGAINST,16,RA,,,no podem permetre que una persona per diners renunciï a la primera raó de ser dels éssers vius que és l'instint de supervivència primerament la de l'individu i després la de l'espècie,no podemos permitir que una persona por dinero renuncie a la primera razón de ser de los seres vivos que es el instinto de supervivencia primeramente la del individuo y después la de la especie,can not permit that a person for money renounce at the first reason of being of the living beings that is the flair of survival firstly the of the individual and next the of the species
19,INTRO,,AGAINST,18,RA,,,seguim sent animals mamífers i no estem preparats perquè se'ns prengui l'instint maternal,seguimos siendo animales mamíferos y no estamos preparados porque se nos tome el instinto maternal,track being animal mammals and are not prepared so that it take us the maternal flair
