ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,,,maryam viu a un país empobrit a l'europa de l'est,maryam vive en un país empobrecido al europa del este,maryam lives at a country impoverished at the europa east
2,INTRO,,AGAINST,,,,,,,és georgiana perruquera i mare soltera de dues filles,es georgiana peluquera y madre soltera de dos hijas,is Georgian hairdresser and mother soltera of two daughters
3,INTRO,,AGAINST,,,,,,,per desgràcia no pot arribar a fi de mes,por desgracia no puede llegar a fin de mis,for misfortune can not reach end of month
4,INTRO,,AGAINST,,,,,,,és cap de família,es ninguno de familia,is cape of family
5,INTRO,,AGAINST,,,,,,,i les seues filles depenen d'ella,y sus hijas dependen de ella,and his daughters depend of her
6,INTRO,,AGAINST,,,,,,,amb poques possibilitats el que decideix  és gestar per als altres,con pocas posibilidades el que decide es gestar para los otras,with few possibilities what decides is gestar for the other
7,INTRO,,AGAINST,6,MA,,,,,el que decideix  és llogar el seu ventre,el que decide es alquilar su vientre,what decides is to rent his belly
8,INTRO,,AGAINST,1,RA,,,,,per una altra banda tenim a miriam,por otra banda tenemos a miriam,for another band have at miriam
9,INTRO,,AGAINST,2,RA,,,,,una espanyola d'una societat d'una classe benestant,una española de una sociedad de una clase acomodada,a Spaniard of a society of a class benestant
10,INTRO,,AGAINST,3,RA,,,,,no és rica,no es rica,is not affluent
11,INTRO,,AGAINST,10,CA,,,,,però es pot permetre qualsevol caprici,pero se puede permitir cualquier capricho,but can permit  any whim
12,INTRO,,AGAINST,5,RA,,,,,miriam no pot tenir fills per causes mèdiques,miriam no puede tener hijos por causas médicas,miriam can not have children for medical causes
13,INTRO,,AGAINST,12,RA,,,,,ha vist com el somni de la seua vida com la il·lusió que ha anat acumulant des que era menuda quan en nadal li regalaven nines de plàstic s'ha esvaït,ha visto como el sueño de su vida como la ilusión que ha ido acumulando desde que era pequeña cuando en navidad le regalaban muñecas de plástico se ha desvanecido,has viewed how the sleep of his life how the illusion that has gone accruing since it was small when at Christmas gave him dolls of plastic has dispelled
14,INTRO,,AGAINST,13,RA,,,,,ara es veu com una dona incompleta,ahora se ve como una mujer incompleta,now views  how an incomplete wife
15,INTRO,,AGAINST,14,MA,,,,,com una dona amb una tara,como una mujer con una tara,how a wife with a tara
16,INTRO,,AGAINST,13;15,RA,,,,,just perquè la societat el que diu és que per tal de ser dona  cal ser mare,justo porque la sociedad el que dice es que para ser mujer hay que ser madre,just so that the society what says is that for such of being wife it is necessary to be mother
17,INTRO,,AGAINST,18,RA,,,,,aquests dos casos ,estos dos casos,these two cases
18,INTRO,,AGAINST,1;8,RA,,,,,el de la georgeana maryam i el de espanyola míriam són casos completament opostos,el de la georgeana maryam y el de española míriam son casos completamente opostos,the of the georgeana maryam and the of Spaniard míriam are cases entirely opostos
19,INTRO,,AGAINST,18,CA,,,,,però en realitat del que es tracta és que són dues cares d'una mateixa moneda,pero en realidad del que se trata es que son dos caras de una misma moneda,but in reality of the that treats  is that they are two faces of a same coin
20,INTRO,,AGAINST,19,MA,,,,,és que a les dues el que els uneix és el patiment i la desesperació,es que a las dos el que los une es el sufrimiento y la desesperación,is that at the two what unites the ones is the suffering and the desperation
21,INTRO,,AGAINST,1;8,RA,,,,,les dues són dones,las dos son mujeres,the two are wives
22,INTRO,,AGAINST,21,RA,,,,,i pateixen pel simple fet de ser-ho,y sufren por el simple hecho de serlo,and suffer for the simple fact to be it
23,INTRO,,AGAINST,1;8,RA,,,,,les dues farien el que fóra per la seua descendència,las dos harían el que fuera por su descendencia,the two would make what was for his descendants
24,INTRO,,AGAINST,,,,,,,quan marianne i miriam decideixen recorrir a la gestació subrogada decideixen firmar un contracte,cuando marianne y miriam deciden recorrir a la gestación subrogada deciden firmar un contrato,when marianne and miriam decide recorrir at the surrogacy decide to sign an agreement
25,INTRO,,AGAINST,,,,,,,el que passa és que obvien i passen per alt la lletra menuda d'aquest contracte,el que pasa es que obvian y pasan por alto la letra pequeña de este contrato,what passes is that obvien and overlook the small letter of this agreement
26,INTRO,,AGAINST,25,RA,,,,,com a qualsevol cas la lletra menuda amaga tots aquells casos que no són atractius,como cualquier caso la letra pequeña esconde todos aquellos casos que no son atractivos,as a any case the small letter veils all those cases that are not attractive
27,INTRO,,AGAINST,25,RA,,,,,justament aquesta lletra menuda d'aquests contractes,justamente esta letra pequeña de estos contratos,justly this small letter of these agreements
28,INTRO,,AGAINST,27,MA,,,,,justament el que amaga la gestació subrogada,justamente el que esconde la gestación subrogada,justly what veils the surrogacy
29,INTRO,,AGAINST,28,RA,,,,,la cosificació de la dona,la cosificación de la mujer,the reification of the wife
30,INTRO,,AGAINST,28,RA,,,,,una oposició de classe de poble i de gènere,una oposición de clase de pueblo y de género,an opposition of class of people and of genus
31,INTRO,,AGAINST,28,RA,,,,,i una perpetuació d'una societat capritxosa,y una perpetuación de una sociedad caprichosa,and a perpetuació of a wayward society
32,INTRO,1,AGAINST,,,,,,,es cosifica la dona,se cosifica la mujer,cosifica the wife
33,INTRO,1,AGAINST,24,RA,,,,,ja que quan mariam decideix signar aquell contracte  es converteix en una eina al servici dels altres,puesto que cuando mariam decide firmar aquel contrato se convierte en una herramienta al servicio de los otras,since when mariam decides to sign that agreement converts  at a tool at the service of the other
34,INTRO,1,AGAINST,33,MA,,,,,es convertix en un objecte,se convierte en un objeto,converts  at an object
35,INTRO,1,AGAINST,33,MA,,,,,es cosifica,se cosifica,cosifica
36,INTRO,2,AGAINST,,,,,,,la gestació subrogada també amaga una opressió,la gestación subrogada también esconde una opresión,the surrogacy also veils a tightness
37,INTRO,2,AGAINST,36,RA,,,,,són els rics els que abusen dels pobres,son los ricos los que abusan de los pobres,are the affluent those that abuse of the poor
38,INTRO,2,AGAINST,,,,,,,són justament els abusats els que sempre són dones,son justamente los abusados los que siempre son mujeres,are justly the abused those that always are wives
39,INTRO,2,AGAINST,38,RA,,,,,aquests abusos passen justament perquè és la societat occidental la que amb aquests capricis permet que passen aquestes atrocitats,estos abusos pasan justamente porque es la sociedad occidental la que con estos caprichos permite que pasan estas atrocidades,these abuses pass justly so that it is the occidental society what with these whims permits that they pass these atrocities
40,INTRO,2,AGAINST,39,MA,,,,,és la societat occidental la que trepitja els drets de les dones,es la sociedad occidental la que pisa los derechos de las mujeres,is the occidental society what steps the laws of the wives
41,INTRO,3,AGAINST,,,,,,,la gestació subrogada el que justament amaga és una mercantilització i una indústria,la gestación subrogada el que justamente esconde es una mercantilización y una industria,the surrogacy what justly veils is a mercantilització and an industry
42,INTRO,3,AGAINST,41,RA,,,,,veiem uns clients,vemos unos clientes,view some customers
43,INTRO,3,AGAINST,41,RA,,,,,veiem uns intermediaris,vemos unos intermediarios,view some intermediaries
44,INTRO,3,AGAINST,29;41,RA,,,,,veiem com la gestant esdevé una fàbrica,vemos como la gestante acontece una fábrica,view how the gestant becomes a factory
45,INTRO,3,AGAINST,41,RA,,,,,els bebès són en realitat diners,los bebés son en realidad dinero,the babies are in reality money
46,INTRO,,FAVOUR,,,,,,,quan mireu aquí què veieu cinquanta euros,cuando miráis aquí qué veis cincuenta euros,when look here what view fifty euros
47,INTRO,,FAVOUR,46,RA,,,,,quan jo mira aquí veig un déu,cuando yo mira aquí veo un dios,when I looks here view a god
48,INTRO,1,FAVOUR,47,MA,,,,,el nostre nou déu,nuestro nuevo dios,our new god
49,INTRO,1,FAVOUR,47,RA,,,,,un déu davant el qual ens postrem construïm les nostres vides al seu voltant,un dios ante el cual ente postremo construimos nuestras vidas al suyo cercando,a god in front of which us postrem construct our lives at his hovering
50,INTRO,1,FAVOUR,49,RA,,,,,i ens proveeix sacia els nostres anels els nostres vicis i les nostres perversions,y nos provee sacia nuestros anels nuestros vicios y nuestras perversiones,and caters us sacia our anels our vices and our perversions
51,INTRO,1,FAVOUR,50,RA,,,,,i ara per un mòdic preu ens aconseguix un nadó,y ahora por un módico precio nos consigue un bebé,and now for a mòdic price achieves us a baby
52,INTRO,2,FAVOUR,,,,,,,tractarem de desprendrens del vel de cortesia  i moralitat que ens cobreix el rostre,trataremos de desprendrens del velo de cortesía y moralidad que nos cubre el rostro,will treat of desprendrens of the veil of courtesy and morality that coats us the face
53,INTRO,2,FAVOUR,,,,,,,direm les coses tal com són,diremos las cosas tal como son,will say the things as they are
54,INTRO,3,FAVOUR,,,,,,,si no legalitzem la gestació subrogada sota uns paràmetres que la acoten  ,si no legalizamos la gestación subrogada bajo unos parámetros que la acoten,if we do not legalise the surrogacy under some parameters that the acoten
55,INTRO,3,FAVOUR,54,RA,,,,,ens trobarem amb una família amb diners per problemes de salut de fertilitat o impossibilitat biològica pot entrar en google teclejar gestació subrogada i contractar els serveis d'una empresa ucraïnesa que li garantitza un tracte magnífic i un producte de primera,nos encontraremos con una familia con dinero por problemas de salud de fertilidad o imposibilidad biológica puede entrar en google teclear gestación subrogada y contratar los servicios de una empresa ucraniana que le garantitza un trato magnífico y un producto de primera,will find us with a family with money for problems of health of fertility or biological impossibility can enter at google teclejar surrogacy and hire the kicks of an Ukrainian company that him garantitza a glorious tract and a product of first
56,INTRO,3,FAVOUR,55,RA,,,,,una vida humana a estrenar,una vida humana a estrenar,a human life at premiering
57,INTRO,3,FAVOUR,54,RA,,,,,si no prenem cap mesura,si no tomamos jefe mesura,if we do not take fits size
58,INTRO,1,FAVOUR,57,MA,,,,,si deixem que les condicions les marque i les resolga el mercat,si dejamos que las condiciones las marco y las resuelva el mercado,if we let that the conditions the mark and the resolve the market
59,INTRO,3,FAVOUR,,,,,,,proletaritzarem i consagrarem l'explotació del ventre de dones pobres i vulnerables com si de treballadores de tèxtil foren,proletaritzarem y consagraremos la explotación del vientre de mujeres pobres y vulnerables como si de trabajadoras de textil fueran,proletaritzarem and will anoint the exploitation of the belly of poor and vulnerable wives as if of workers of textile were
60,INTRO,,FAVOUR,,,,,,,el mercat se preocuparà pel client i la samarreta,el mercado se preocupará por el cliente y la camiseta,the market will preoccupy  for the customer and the T-shirt
61,INTRO,,FAVOUR,60,CA,,,,,no per qui la fa,no por quien la hace,no for who makes it
62,INTRO,3,FAVOUR,,,,,,,per uns trenta mil euros podem sortejar la prohibició  legislativa al nostre país i aprofitar-nos de la misèria  i pobresa d'una dona pobre per aconseguir allò que la natura ens ha prohibit,por unos treinta mil euros podemos sortear la prohibición legislativa a nuestro país y aprovecharnos de la miseria y pobreza de una mujer pobre para conseguir aquello que la natura nos ha prohibido,for some thirty one thousand euros can sortejar the legislative ban at our country and take advantage of us of the misery and poverty of a poor wife to achieve that that the nature has prohibited us
63,INTRO,2,FAVOUR,,,,,,,d'acord que hi ha milers de nenes i nens abandonats arreu del món,de acuerdo que hay miles de niñas y niños abandonados en todo el mundo,of chord that there are thousands of girls and boys abandoned all over in the world
64,INTRO,2,FAVOUR,63,CA,,,,,però és que jo el vull nou i a poder ser blanc,pero es que yo lo quiero nuevo y a poder ser blanco,but is that I want to it new and at being able to white being
65,INTRO,2,FAVOUR,64,RA,,,,,així és més fàcil de criar sense tant de trauma que li giraria el racisme imperant,así es más fácil de criar sin tanto de trauma que le giraría el racismo imperante,like this is easier to raise without so much of trauma that would turn him the racism imperant
66,INTRO,,FAVOUR,55;59;62,RA,,,,,per coses com aquesta la universitat jaume primer dirà que sí cal regular la gestació subrogada,por cosas como esta la universidad jaume primero dirá que sí hay que regular la gestación subrogada,for things how this the university jaume first will say that aye is necessary to regulate the surrogacy
67,INTRO,2,FAVOUR,,,,,,,és una pràctica horrible,es una práctica horrible,is a horrible practice
68,INTRO,2,FAVOUR,67,CA,,,,,però una pràctica possible,pero una práctica posible,but a possible practice
69,INTRO,3,FAVOUR,,,,,,,i tractar de prohibir una possibilitat humana és com ficar portes en el camp,y tratar de prohibir una posibilidad humana es como meter puertas en el campo,and treat to prohibit a human possibility is how put doors at the area
70,INTRO,3,FAVOUR,,,,,,,si tenim la possibilitat de fer-ho,si tenemos la posibilidad de hacerlo,if have the possibility to make it
71,INTRO,3,FAVOUR,70,RA,,,,,ho farem,lo haremos,will make it
72,INTRO,2,FAVOUR,71,RA,,,,,encara que aquesta comporte convertir a dones pobres del món en contenidors de la nova generació de les aristocràcies que imperen,aunque esta comporto convertir a mujeres pobres del mundo en contenedores de la nueva generación de las aristocracias que imperen,although this comport to convert at poor wives in the world at containers of the new generation of the aristocracies that imperen
73,INTRO,2,FAVOUR,72,RA,,,,,els humans som així,los humanos somos así,the humans are like this
74,INTRO,2,FAVOUR,,,,,,,hem fet el camí que ens porta dels animals als déus i ens hem quedat a la meitat,hemos hecho el camino que nos lleva de los animales a los dioses y nos hemos quedado en la mitad,have made the path that takes us of the animals at the gods and have stayed us at the half
75,INTRO,2,FAVOUR,74,RA,,,,,de moment no donem per a més,de momento no damos para más,for the moment do not give for more
76,INTRO,2,FAVOUR,74,RA,,,,,ara per ara som una espècie depredadora que practica el cinisme fins a elevar-lo a categoria de sagrat,hoy por hoy somos una especie depredadora que practica el cinismo hasta elevarlo a categoría de sagrado,for the time being are a predatory species that practices the cynicism until elevating it at category of holy
77,INTRO,3,FAVOUR,54,RA,,,,,cal fer una regulació a nivell estatal,hay que hacer una regulación a nivel estatal,it is necessary to make a regulation at state level
78,INTRO,3,FAVOUR,77,RA,,,,,i prendre les mesures pertinents per assegurar-se que aquesta no és vulnerada,y tomar las medidas pertinentes para asegurarse que esta no es vulnerada,and take the pertinent sizes to assure  that this is not vulnerada
79,INTRO,3,FAVOUR,54,RA,,,,,l'única via possible és la legalització del procés,la única vía posible es la legalización del proceso,the only possible road is the legalisation of the process
