ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,vaig ser tractada com un úter d'un sol ús sols puc dir que era com una ferida que cremava totes les fibres musculars el cor estava desesperada creia que aquesta solució posaria fi als meus problemes econòmics he perdut una filla i ara sóc perseguida per aquella decisió,fui tratada como un útero desechable solos puedo decir que era como una herida que quemaba todas las fibras musculares el coro estaba desesperada creía que esta solución pondría fin a mis problemas económicos he perdido una hija y ahora soy perseguida por aquella decisión,was treated how an only disposable womb can say that it was how a wound that burned all the muscular fibres the heart was exasperated thought that this solution would pose end at my economic problems have missed a daughter and now am persecuted by that decision
2,INTRO,,AGAINST,1,RA,,,estes són les paraules d'elisa anna gómez dona que va fer ventre de lloguer,estas son las palabras de elisa anna gómez mujer que hizo vientre de alquiler,estes are the words of elisa anna gómez wife that made belly for hire
3,INTRO,,AGAINST,,,,,estem completament en contra de la legalització de la gestació subrogada,estamos completamente en contra de la legalización de la gestación subrogada,are entirely against of the legalisation of the surrogacy
4,INTRO,1,AGAINST,,,,,la legalització de la gestació subrogada suposaria legitimar parlamentàriament la cosificació de la dona,la legalización de la gestación subrogada supondría legitimar parlamentariamente la cosificación de la mujer,the legalisation of the surrogacy would suppose to legitimate parlamentàriament the reification of the wife
5,INTRO,2,AGAINST,,,,,la feminització de la pobresa,la feminización de la pobreza,the feminització of the poverty
6,INTRO,3,AGAINST,,,,,ser mare o pare no és un dret,ser madre o padre no es un derecho,be mother or father is not a law
7,INTRO,3,AGAINST,6,CA,,,ser mare o pare és un desig,ser madre o padre es un deseo,be mother or father is a wish
8,INTRO,1,AGAINST,4,MA,,,dir sí a la legalització de la gestació subrogada suposaria legitimar parlamentàriament la cosificació de la dona,decir sí a la legalización de la gestación subrogada supondría legitimar parlamentariamente la cosificación de la mujer,say aye at the legalisation of the surrogacy would suppose to legitimate parlamentàriament the reification of the wife
9,INTRO,1,AGAINST,8,RA,,,la mercantilització de les seves entranyes,la mercantilización de sus entrañas,the mercantilització of his entranyes
10,INTRO,1,AGAINST,,,,,no hi ha contraprestació econòmica possible a l'impacte d'un part o d'un embaràs en termes físics ni  psicològics ni garanties que ens protegisquen,no hay contraprestación económica posible al impacto de un parto o de un embarazo en términos físicos ni psicológicos ni garantías que nos protejan,there is not contraprestació economic possible at the impact of a childbirth or of a pregnancy at physical terms or psychological or guarantees that protect us
11,INTRO,1,AGAINST,,,,,ni garanties que ens protegisquen,ni garantías que nos protejan,or guarantees that protect us
12,INTRO,1,AGAINST,10,RA,,,açò no es pot mesurar,esto no se puede mesurar,this can not  measure
13,INTRO,1,AGAINST,10,RA,11,MA,és la línia que no hem de creuar,es la línea que no tenemos que cruzar,is the line that do not have to cross
14,INTRO,1,AGAINST,,,,,l'últim reducte que ens queda la nostra integritat física i personal,el último reducto que nos queda nuestra integridad física y personal,the last redoubt that stays us our physical and personal integrity
15,INTRO,1,AGAINST,14,RA,,,la nostra dignitat,nuestra dignidad,our dignity
16,INTRO,1,AGAINST,4,RA,,,cap estat que es considere defensor dels drets humans pot legitimar que el nostre cos siga un negoci,ningún estado que se considere defensor de los derechos humanos puede legitimar que nuestro cuerpo sea un negocio,any state that consider  defender of the human laws can legitimate that our body was a bargain
17,INTRO,2,AGAINST,5,RA,,,la feminització de la pobresa i la necessitat econòmica fan que la maternitat subrogada prospere com una opció per a les dones més vulnerables,la feminización de la pobreza y la necesidad económica hacen que la maternidad subrogada prospero como una opción para las mujeres más vulnerables,the feminització of the poverty and the economic necessity make that the surrogacy prosper how an option for the most vulnerable wives
18,INTRO,,AGAINST,17,RA,,,estaríem davant la fal·làcia de la lliure elecció,estaríamos ante la falacia de la libre elección,would be in front of the fallacy of the free election
19,INTRO,2,AGAINST,5,RA,,,la legitimació de la gestació subrogada suposaria fer un pas cap a la desigualtat cap a la feminització de la pobresa,la legitimación de la gestación subrogada supondría dar un paso hacia la desigualdad hacia la feminización de la pobreza,the legitimació of the surrogacy would suppose to step to the inequality to the feminització of the poverty
20,INTRO,2,AGAINST,,,,,les dones en situació de vulnerabilitat es veurien abocades a realitzar aquest tipus de pràctiques ,las mujeres en situación de vulnerabilidad se verían abocadas a realizar este tipo de prácticas,the wives at situation of vulnerability would view  tipped to realise this type of practices
21,INTRO,2,AGAINST,,,,,ademés de patir els abusos del sistema capitalista que s'encarregaria d'exprimir-nos i treure'ns el màxim rendiment i el màxim benefici precaritzant com sempre la seva situació,ademés de sufrir los abusos del sistema capitalista que se encargaría de exprimir-noes y sacarnos el máximo rendimiento y el máximo beneficio precaritzant como siempre su situación,ademés to suffer the abuses of the capitalist system that would commission  of exprimir-nos and remove us the maximum performance and the maximum benefit precaritzant as ever his situation
22,INTRO,2,AGAINST,17;18;19;20,RA,,,no podem relacionar necessitat amb llibertat,no podemos relacionar necesidad con libertado,can not relate necessity with liberty
23,INTRO,2,AGAINST,22,RA,,,la llibertat com dia el quixot és un dels dons del cel pel qual les persones deven invertir el seu do,la libertad como día lo quixot es uno de los dones del cielo por el cual las personas deven invertir su do,the liberty like day the quixot is one of the gifts of the sky for which the persons deven invert his gift
24,INTRO,2,AGAINST,17;18;19;20;21,RA,,,en la seva vida no existix llibertat quan les misèries quan les situacions econòmiques o quan una ordre t'obliga a prestar el teu cos perquè comerciïn experimenten o tracten amb ell,en su vida no existe libertad cuando las miserias cuando las situaciones económicas o cuando una orden te obliga a prestar tu cuerpo porque comercien experimentan o tratan con él,at his life does not exist liberty when the miseries when the economic situations or when an order obliges you at loaning your body so that they trade experiment or treat with him
25,INTRO,2,AGAINST,20,RA,,,això no és llibertat ,esto no es libertado,this is not liberty
26,INTRO,3,AGAINST,6,RA,,,en cas de no poder ser-ho per mitjans naturals hi ha diverses alternatives,en caso de no poder serlo por medios naturales hay varias alternativas,at case of not being able to be it for natural modes there are several alternatives
27,INTRO,1;3,AGAINST,,,,,el sistema de consum voraç el que vivim ens ensenya que podem tindre tot el que desitgem mitjançant pagament per a càrrec de la integritat física i psicològica d'una dona,el sistema de consumo voraz el que vivimos nos enseña que podemos tener todo el que deseamos mediante pago para cargo de la integridad física y psicológica de una mujer,the system of ravenous consumption what live teaches us that we can have everything what desire by means of payment for charge of the physical and psychological integrity of a wife
28,INTRO,3,AGAINST,,,,,hauríem d'apostar per l'adopció millorant els mecanismes,tendríamos que apostar por la adopción mejorando los mecanismos,would have to bet for the adoption improving the mechanisms
29,INTRO,3,AGAINST,28,RA,,,milions de criatures al món estan sent abandonades,millones de criaturas al mundo están siendo abandonadas,million of creatures at the world are being abandoned
30,INTRO,,AGAINST,,,,,no a la legalització de la gestació subrogada,no a la legalización de la gestación subrogada,no at the legalisation of the surrogacy
31,INTRO,,AGAINST,,,,,com va dir sílvia federici la dona és l'última frontera del capitalisme,como dijo sílvia federici la mujer es la última frontera del capitalismo,how said sílvia federici the wife is the last border of the capitalism
32,INTRO,,FAVOUR,,,,,el mirall de gised és un misteriós mirall màgic que va aparèixer per primer cop en la novel·la de harry potter i la pedra filosofal de l'escriptora britànica j k rowling la propietat que fa especial aquest mirall és que permet o té la capacitat de mostrar a la persona que si enmiralla el seu el seu més profund desig ,el espejo de gised es un misterioso espejo mágico que apareció por primera vez en la novela de harry potter y la piedra filosofal de la escritora británica j k rowling la propiedad que hace especial este espejo es que permite o tiene la capacidad de mostrar a la persona que si enmiralla el suyo el suyo más profundo deseo,the mirror of gised is a mysterious magic mirror that appeared for the first time at the novella of harry potter and the stone filosofal of the British writer j k rowling the property that makes special this mirror is that it permits or has the capacity to show at the person that if enmiralla his his deeper wish
33,INTRO,,FAVOUR,,,,,s'hauria de legalitzar la maternitat subrogada,se tendría que legalizar la maternidad subrogada,would have to legalise  the surrogacy
34,INTRO,,FAVOUR,33,RA,,,evitar la complicitat del nostre país en pràctiques que són moralment reprovables,evitar la complicidad de nuestro país en prácticas que son moralmente reprobables,eschew the complicity of our country at practices that are morally reprovables
35,INTRO,,FAVOUR,,,,,que significa legalitzar segons la definició del diccionari de cambridge significa permetre una conducta que havia estat anteriorment prohibida una conducta que en el present debat serà òbviament la maternitat subrogada,que significa legalizar según la definición del diccionario de cambridge significa permitir una conducta que había sido anteriormente prohibida una conducta que en el presente debate será obviamente la maternidad subrogada,that means to legalise according to the definition of the dictionary of cambridge means to permit a behaviour that had been anteriorly prohibited a behaviour that at the present debate will be obviously the surrogacy
36,INTRO,1,FAVOUR,,,,,argument fàctic,argumento fáctico,argument fàctic
37,INTRO,1,FAVOUR,36,RA,,,és necessària la legalització de la maternitat subrogada perquè és una realitat permesa de facto en el nostre país,es necesaria la legalización de la maternidad subrogada porque es una realidad permitida de facto en nuestro país,is necessary the legalisation of the surrogacy so that it is a reality permitted of facto at our country
38,INTRO,1,FAVOUR,,,,,per tal d'entendre si seria positiu o no legalitzar la material subrogada és necessari entendre en quina situació ens trobem a dia d'avui,para entender si sería positivo o no legalizar la material subrogada es necesario entender en qué situación nos encontramos a día de hoy,for such to understand if it would be positive or not legalising the material subrogada is necessary to understand at which situation find us at day of today
39,INTRO,1,FAVOUR,38,RA,,,actualment segueix en vigor la llei de tècniques de reproducció humana assistida del dos mil sis la qual en el seu article desé prohibeix expressament la maternitat subrogada,actualmente sigue en vigor la ley de técnicas de reproducción humana asistida del dos mil seis la cual en su artículo décimo prohíbe expresamente la maternidad subrogada,at present tracks in force the law of technicians of human reproduction assisted of the two thousand six which at his tenth article prohibits expressly the surrogacy
40,INTRO,1,FAVOUR,39,CA,,,no obstant això el nostre sistema el que sí permet és la inscripció en el registre civil d'aquells nascuts a l'estranger en països en els quals aquesta tècnica sí que estigui permesa,sin embargo nuestro sistema el que sí permite es la inscripción en el registro civil de aquellos nacidos al extranjero en países en los cuales esta técnica sí que esté permitida,nevertheless our system what aye permits is the inscription at the civil registry of those born abroad at countries at which this technician aye that it was permitted
41,INTRO,1,FAVOUR,,,,,una banda legalment existeix una prohibició,una banda legalmente existe una prohibición,a band legally exists a ban
42,INTRO,1,FAVOUR,41,CA,,,però per altra banda a nivell pràctic aquesta tècnica es troba permesa,pero por otro lado en nivel práctico esta técnica se encuentra permitida,but on the other hand at practical level this technician finds  permitted
43,INTRO,1,FAVOUR,41;42,RA,,,això produeix un fenomen que s'anomena turisme o exili reproductiu,esto produce un fenómeno que se denomina turismo o exilio reproductivo,this produces a phenomenon that nicknames  tourism or reproductive exile
44,INTRO,1,FAVOUR,45;47,RA,,,té dues conseqüències,tiene dos consecuencias,has two consequences
45,INTRO,1,FAVOUR,,,,,desigualtat en el nostre propi país,desigualdad en nuestro propio país,inequality at our own country
46,INTRO,1,FAVOUR,45,RA,,,això fa que només les rendes més elevades puguin accedir a aquest servei ja que hi ha moltes despeses per tal d'anar-se a l'exili a formar part d'aquests programes,esto hace que solo las rentas más elevadas puedan acceder a este servicio puesto que hay muchos gastos para irse al exilio a formar parte de estos programas,this makes that only the rendes more overhead can access at this kick since there is a lot of expenses for such to go  at the exile at forming part of these programs
47,INTRO,2,FAVOUR,,,,,absència de control,ausencia de control,absence of control
48,INTRO,2,FAVOUR,47,RA,,,és el nostre argument moral,es nuestro argumento moral,is our moral argument
49,INTRO,2,FAVOUR,,,,,és necessària la legalització de la maternitat subrogada per garantir que es respectin els drets humans,es necesaria la legalización de la maternidad subrogada para garantizar que se respeten los derechos humanos,is necessary the legalisation of the surrogacy to guarantee that they respect  the human laws
50,INTRO,2,FAVOUR,43,RA,,,aquest turisme reproductiu afavoreix que la gent se'n vagi a l'estranger ,este turismo reproductivo favorece que la gente se vaya a la extranjero,this reproductive tourism favours that the persons go  abroad
51,INTRO,2,FAVOUR,50,MA,,,se'n vagi a països en els quals espanya no té cap mena de jurisdicció,se vaya a países en los cuales espanya no tiene ningún tipo de jurisdicción,go  at countries at which espanya does not have any type of jurisdiction
52,INTRO,2,FAVOUR,50;51,RA,,,per tant no pot exercir un control efectiu ,por lo tanto no puede ejercer un control efectivo,therefore it can not exert an effective control
53,INTRO,2,FAVOUR,51;52,RA,,,no pot controlar que no s'estigui explotant a les dones i estigui atemptant contra la seva dignitat,no puede controlar que no se esté explotando a las mujeres y esté atentando contra su dignidad,can not control that it was not  exploding at the wives and was attacking against his dignity
54,INTRO,2,FAVOUR,48,RA,,,tal com va dir l'alt comissionat de les nacions unides el respecte a la dignitat humana és responsabilitat de tots els estats ,tal como dijo el alto comisionado de las naciones unidas el respecto a la dignidad humana es responsabilidad de todos los estados,as it said the tall comissionat of the nations united the with regard to the human dignity is responsibility of all the states
55,INTRO,2,FAVOUR,54,RA,,,per tant tenen l'obligació de protegir i garantir proactivament aquests drets en el propi país i a més arreu del món,por lo tanto tienen la obligación de proteger y garantizar proactivamente estos derechos en el propio país y además en todo el mundo,therefore have the debenture to protect and guarantee proactivament these laws at the own country and besides all over in the world
