ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,saben el que és això,saben el que es esto,know what is this
2,INTRO,,AGAINST,1,RA,sí un catàleg,sí un catálogo,aye a catalogue
3,INTRO,,AGAINST,2,RA,un catàleg de dones gestants  que tenen unes determinades característiques genètiques  per donar aquest fruit infants,un catálogo de mujeres gestantes que tienen unas determinadas características genéticas para dar este fruto niños,a catalogue of wives gestants that have some determinate genetic characteristics to give this fruit girls
4,INTRO,,AGAINST,3,RA,algú de vostès agafaria aquests infants triaria aquestes  dones en un catàleg,alguien de ustedes cogería estos niños elegiría estas mujeres en un catálogo,somebody of you would seize these girls would elect these wives at a catalogue
5,INTRO,,AGAINST,4,RA,no el més probable és que no,no el más probable es que no,no the most probable is that no
6,INTRO,,AGAINST,5,RA,primer només un dos coma set per cent de persones que hi ha en aquesta sala  podria permetre-s'ho,primero solo un dos coma siete por ciento de personas que hay en esta sala podría permitírselo,first only a two coma seven percent of persons that there is at this room could permit it
7,INTRO,,AGAINST,6,RA,no cal que li pagues a ningú ni tan sols  costejar-se les despeses que genera la gestació subrogada,no hace falta que le pagas a nadie ni siquiera costearse los gastos que genera la gestación subrogada,does not be necessary that pay him at nobody not even costejar- the expenses that generates the surrogacy
8,INTRO,,AGAINST,3,RA,què vol dir que hi hagi un catàleg,que quiere decir que haya un catálogo,what means that there is a catalogue
9,INTRO,,AGAINST,8,RA,que hi ha triats i gent que tria,que hay elegidos y gente que elige,that has elected  and persons that elects
10,INTRO,,AGAINST,3,RA,per què trien aquests infants,por qué eligen estos niños,how come elect these girls
11,INTRO,,AGAINST,10,MA,per ajudar-los no,para ayudarlos no,to aid them no
12,INTRO,,AGAINST,11,RA,no els poden ajudar aquests infants encara no existeixen,no los pueden ayudar estos niños todavía no existen,can not the ones aid these girls still do not exist
13,INTRO,,AGAINST,11,MA,els infants tenen dret a ser ajudats i a tenir una infància digna,los niños tienen derecho a ser ayudados y a tener una infancia digna,the girls have law to being aided and at having a worthy infancy
14,INTRO,,AGAINST,9,RA,de veritat volen crear un marc legal que doni  validesa jurídica per a permetre el desenvolupament d'aquesta activitat,de verdad quieren crear un marco legal que dé validez jurídica para permitir el desarrollo de esta actividad,for real want to create a legal frame that give juridical validity to permit the development of this activity
15,INTRO,,AGAINST,14,MA,és a dir legalitzar-la,es decir legalizarla,that is to say legalise it
16,INTRO,,AGAINST,,,entenem gestació subrogada com a manera d'accedir a la maternitat  a través de la qual s'empra un ventre extern,entendemos gestación subrogada como manera de acceder a la maternidad a través de la cual se emplea un vientre externo,understand surrogacy as a mode to access at the motherhood through which employs  an external belly
17,INTRO,,AGAINST,16,RA,la maternitat serà el centre d'aquest debat,la maternidad será el centro de este debate,the motherhood will be the centre of this debate
18,INTRO,,AGAINST,,,el primer argument la gestació subrogada contrau una profunda incoherència moral  amb el que entenem nosaltres que és la maternitat,el primer argumento la gestación subrogada contrae una profunda incoherencia moral con el que entendemos nosotros que es la maternidad,the first argument the surrogacy contracts a deep moral incoherence with what understand we that is the motherhood
19,INTRO,,AGAINST,18,RA,la maternitat és l'acte segurament més extrem d'altruisme  i generositat que es puguin imaginar,la maternidad es el acto seguramente más extremo de altruismo y generosidad que se puedan imaginar,the motherhood is the surely more act winger of altruism and generosity that can imagine
20,INTRO,,AGAINST,19,RA,quants dels que estem aquesta sala o encara vivim amb els nostres pares  o encara en depenem econòmicament o simplement ens ajuden en tot moment,cuántos de los que estamos esta sala o todavía vivimos con nuestros padres o todavía dependemos económicamente o simplemente nos ayudan en todo momento,how many of the that are this room or still live with our parents or still depend  economically or simply aid us at all times
21,INTRO,,AGAINST,18; 20,RA,així doncs  entenem profundament incoherent que un caprici  d'uns pares que volen tenir uns fills pel simple fet de compartir  genètica amb aquests fills  està totalment en contraposició amb la generositat  que representaria adoptar aquests fills,así pues entendemos profundamente incoherente que un capricho de unos padres que quieren tener unos hijos por el simple hecho de compartir genética con estos hijos está totalmente en contraposición con la generosidad que representaría adoptar estos hijos,like this then understand soundly incoherent that some parents's a whim that want to have some children for the simple fact to share genetics with these children is totally at comparison with the generosity that would represent to adopt these children
22,INTRO,,AGAINST,,,tenim un segon argument que és un argument legal,tenemos un segundo argumento que es un argumento legal,have a second argument that is a legal argument
23,INTRO,,AGAINST,6; 22,RA,per què legislem per les elits és profundament anticonstitucional,por qué legislamos por las élites es profundamente anticonstitucional,how come legislate for the elites is soundly unconstitutional
24,INTRO,,AGAINST,,,i en tercer lloc tenim un argument  que l'anomenem de supremacisme biològic,y en tercer lugar tenemos un argumento que lo denominamos de supremacismo biológico,and thirdly have an argument that nickname it of supremacisme biological
25,INTRO,,AGAINST,24,RA,a partir del moment  en què deixem persones triar en un catàleg característiques genètiques  estem anant al caprici d'unes persones que modelen altres genèticament,a partir del momento en que dejamos personas elegir en un catálogo características genéticas estamos yendo al capricho de unas personas que modelan otras genéticamente,from the moment at what let persons elect at a characteristic catalogue genetics are going at the whim of some persons that model others genetically
26,INTRO,,AGAINST,25,MA,estem accedint a una maternitat a la carta,estamos accediendo a una maternidad a la carta,are accessing at a motherhood at the card
27,INTRO,,FAVOUR,,,gestació subrogada,gestación subrogada,surrogacy
28,INTRO,,FAVOUR,27,RA,tècnica per la qual una dona accepta donar el seu consentiment per quedar-se embarassada  i posteriorment parir lliurar aquest nadó en una família comitent  o a un tercer,técnica por la cual una mujer acepta dar su consentimiento para quedarse embarazada y posteriormente parir librar este bebé en una familia comitente o a un tercer,technical for which a wife accepts to give his consent to stay  pregnant and later bear hand this baby at a family comitent or at a third
29,INTRO,,FAVOUR,28,RA,aquesta és la definició és el punt de partida,esta es la definición es el punto de partida,this is the definition is the point of game
30,INTRO,,FAVOUR,29,RA,no obstant d'aquest punt se'n poden derivar molts models diferents,no obstante de este punto se pueden derivar muchos modelos diferentes,no obstant of this point can  derive a lot of distinct models
31,INTRO,,FAVOUR,30,RA,models que poden tenir una transcendència  molt important cap a la dona gestant cap al nounat i cap a la família comitent,modelos que pueden tener una trascendencia muy importante hacia la mujer gestante hacia el neonato y hacia la familia comitente,models that can have a very important transcendence to the wife gestant to the nounat and to the family comitent
32,INTRO,,FAVOUR,,,sí a la legalització de la gestació subrogada,sí a la legalización de la gestación subrogada,aye at the legalisation of the surrogacy
33,INTRO,,FAVOUR,32,RA,perquè és necessària  per la reproducció,porque es necesaria por la reproducción,so that it is necessary for the reproduction
34,INTRO,,FAVOUR,32,RA,perquè és una necessitat humana,porque es una necesidad humana,so that it is a human necessity
35,INTRO,,FAVOUR,32,RA,perquè les dones puguin ser lliures,porque las mujeres puedan ser libres,so that the wives can be hand
36,INTRO,,FAVOUR,35,RA,qui som nosaltres per dir a una dona què fer o deixar de  fer amb el seu propi cos,quién somos nosotros para decir a una mujer qué hacer o dejar de hacer con su propio cuerpo,who are we to say at a wife what make or cease make with his own body
37,INTRO,,FAVOUR,33;34,RA,perquè aquelles persones que físicament no puguin tenir fills  puguin,porque aquellas personas que físicamente no puedan tener hijos puedan,so that those persons that physically can not have children can
38,INTRO,,FAVOUR,37,MA,això no vol dir que puguem ignorar que podrien adoptar,esto no quiere decir que podamos ignorar que podrían adoptar,this does not mean that we can ignore that they could adopt
39,INTRO,,FAVOUR,38,RA,perquè la qüestió rau en què el fonament de l'adopció  no és el mateix que el de la gestació,porque la cuestión rae en que el cimiento de la adopción no es el mismo que el de la gestación,so that the question scrapes at what the bedrock of the adoption is not the same that the of the gestation
40,INTRO,,FAVOUR,32,RA,el com,el como,the how
41,INTRO,,FAVOUR,40,RA,i serà evitant tota la problemàtica actual dels models ja existents,y será evitando toda la problemática actual de los modelos ya existentes,and will be eschewing all the problematic ongoing of the already existent models
42,INTRO,,FAVOUR,32,MA,un sí a la legalització de la gestació subrogada raonable,uno sí a la legalización de la gestación subrogada razonable,one aye at the legalisation of the surrogacy reasonable
43,INTRO,,FAVOUR,42,RA,un sí sostenible èticament,uno sí sostenible éticamente,one aye sustainable ethically
44,INTRO,,FAVOUR,42,RA,un sí altruista protector i garant amb totes les parts involucrades,uno sí altruista protector y garante con todas las partes involucradas,one aye protective altruist and garant with all the parts involved
45,INTRO,,FAVOUR,44,RA,qui són aquestes parts,quien son estas partes,who are these parts
46,INTRO,,FAVOUR,45,RA,les famílies comitents  famílies monoparentals d'homes  i parelles gais parelles de lesbianes i heterosexuals o  monoparentals de dones en les quals aquestes no puguin gestar  amb el seu propi úter que no vol dir que els seus òvuls no  siguin viables,las familias comitentes familias monoparentales de hombres y parejas gays parejas de lesbianas y heterosexuales o monoparentales de mujeres en las cuales estas no puedan gestar con su propio útero que no quiere decir que sus óvulos no sean viables,the families comitents families monoparentals of men and couples gays couples of lesbians and heterosexual or monoparentals of wives at which these can not gestar with his own womb that does not mean that his ovules are not viable
47,INTRO,,FAVOUR,45,RA,paral·lelament a la donació d'òrgans in vivo també  hi ha dones que volen cedir el seu ventre de manera voluntària i altruista,paralelamente a la donación de órganos in vivo también hay mujeres que quieren ceder su vientre de manera voluntaria y altruista,simultaneously at the donation of organs in vivo also there are wives that want to cede his belly of voluntary and altruistic mode
48,INTRO,,FAVOUR,45,RA,i per últim els menors gestats a l'estranger,y por último los menores gestados a la extranjero,and for last the minors gestats abroad
49,INTRO,,FAVOUR,48,RA,donarem resposta a què passa si es salten el nostre model,daremos respuesta a que pasa si se saltan nuestro modelo,will give response at what passes if they spring  our model
50,INTRO,,FAVOUR,49,RA,desincentivem la gestació a l'estranger,desincentivamos la gestación a la extranjero,desincentivem the gestation abroad
51,INTRO,,FAVOUR,,,aquest és el nostre model altruista sense retribució ,este es nuestro modelo altruista sin retribución,this is our altruistic model without reward
52,INTRO,,FAVOUR,51,MA,que  no vol dir sense compensació econòmica per la dona,que no quiere decir sin compensación económica por la mujer,that does not mean without economic compensation for the wife
53,INTRO,,FAVOUR,52,RA,perquè sabem que l'embaràs és un procés molt difícil,porque sabemos que el embarazo es un proceso muy difícil,so that we know that the pregnancy is a very difficult process
54,INTRO,,FAVOUR,53,RA,però és que la dona ha de ser lliure d'elegir què ha de  fer amb el seu propi cos,pero es que la mujer tiene que ser libre de elegir qué tiene que hacer con su propio cuerpo,but is that the wife has to be free to elect what has to make with his own body
55,INTRO,,FAVOUR,54,RA,i com va dir l'activista estatunidenca margaret sanger  les dones no podem ser lliures sense tenir el control sobre  el nostre propi cos,y como dijo la activista estadounidense margaret sanger las mujeres no podemos ser libres sin tener el control sobre nuestro propio cuerpo,and how said the activist estatunidenca margaret sanger the wives can not be free without having the control on our own body
56,INTRO,,FAVOUR,51,RA,amb el nostre model evitarem que se puguin produir problemàtiques aplicant  el sistema de la donació d'òrgans i de l'adopció,con nuestro modelo evitaremos que se puedan producir problemáticas aplicando el sistema de la donación de órganos y de la adopción,with our model will eschew that can produce  problematic applying the system of the donation of organs and of the adoption
57,INTRO,,FAVOUR,56,RA,un model públic basat en la solidaritat i la voluntarietat anònima,un modelo público basado en la solidaridad y la voluntariedad anónima,a public model based at the solidarity and the voluntarietat unnamed
58,ARG1,,AGAINST,,,(inaudible),(inaudible),(inaudible)
59,ARG1,1.0,FAVOUR,34,RA,ens centrarem  en que és una necessitat humana la reproducció,nos centraremos en que es una necesidad humana la reproducción,will centre us at that it is a human necessity the reproduction
60,ARG1,2.0,FAVOUR,35,RA,en segon lloc que és una qüestió de llibertats,en segundo lugar que es una cuestión de libertados,in the second place that it is a question of liberties
61,ARG1,3.0,FAVOUR,,,i en tercer lloc  que ens trobem amb una ineficàcia de la prohibició idealista  en un món globalitzat,y en tercer lugar que nos encontramos con una ineficacia de la prohibición idealista en un mundo globalizado,and thirdly that we find us with an inefficiency of the idealistic ban at a world globalitzat
62,ARG1,1.0,FAVOUR,59,RA,les famílies comitents es poden aferrar perfectament  amb un principi rector del nostre ordenament jurídic de la constitució espanyola,las familias comitentes se pueden aferrar perfectamente con un principio rector de nuestro ordenamiento jurídico de la constitución española,the families comitents can clutch  perfectly with a principle rector of our juridical arranging of the Spanish constitution
63,ARG1,1.0,FAVOUR,62,RA,com és el de que els poders públics han d'assegurar la protecció  jurídica econòmica i social de totes les famílies que vulguin formar-les  una família al trenta-nou punt de la constitució espanyola,como es el de que los poderes públicos tienen que asegurar la protección jurídica económica y social de todas las familias que quieran formarlas una familia al treinta y nueve punto de la constitución española,how is the of that the public powers have to assure the economic juridical protection and social of all the families that want to form them a family at the thirty-nine point of the Spanish constitution
64,ARG1,1.0,FAVOUR,63,RA,i això per tant obre la porta a legalitzar la gestació subrogada  amb la lliure elecció de les famílies,y esto por lo tanto abre la puerta a legalizar la gestación subrogada con la libre elección de las familias,and this therefore it opens the door at legalising the surrogacy with the free election of the families
65,ARG1,1.0,FAVOUR,64,RA,cal esgotar les vies de tècniques de reproducció assistida,hay que agotar las vías de técnicas de reproducción asistida,it is necessary to exhaust the roads of technicians of reproduction assisted
66,ARG1,1.0,FAVOUR,65,RA,estem d'acord que no és una via per a tothom ,estamos de acuerdo que no es una vía para todo el mundo,agree that it is not a road for everybody
67,ARG1,1.0,FAVOUR,66,MA,és una via per  la gent que ho necessiti,es una vía por la gente que lo necesite,is a road for the persons that need it
68,ARG1,1.0,FAVOUR,67,RA,i dir-li algun dels meus companys que estan al públic que  són del col·lectiu lgtbi o els que ens estiguin mirant per streaming  si realment aquesta gent només han d'atenir-se a una via disponible  com és l'adopció perquè els prenen aquesta llibertat,y decirle alguno de mis compañeros que están al público que son del colectivo lgtbi o los que nos estén mirando por streaming si realmente esta gente solo tienen que atenerse a una vía disponible como es la adopción porque les toman esta libertado,and say him any of my partners that are at the public that are of the community lgtbi or those that are looking us for streaming if really these persons only have to atenir at an available road and is the adoption so that they take them this liberty
69,ARG1,1.0,FAVOUR,68,RA,en segon lloc també dir-li això el mateix amb aquelles  mares que es troben en una situació que el seu úter ha patit una malformació  i no poden gestar,en segundo lugar también decirle esto el mismo con aquellas madres que se encuentran en una situación que su útero ha sufrido una malformación y no pueden gestar,in the second place also say him this the same with those mothers that find  at a situation that his womb has suffered a malformation and can not gestar
70,ARG1,1.0,FAVOUR,,,vostè parlava dels costos,usted hablaba de los costes,you talked of the costs
71,ARG1,1.0,FAVOUR,70,RA,que vol privatitzar la sanitat espanyola i està fent aquí  la comptabilitat de la sanitat,que quiere privatizar la sanidad española y está haciendo aquí la contabilidad de la sanidad,that wants to privatise the Spanish health and is making here the accounting of the health
72,ARG1,1.0,FAVOUR,71,RA,tenim un sistema sanitari  públic aprofitem-lo,tenemos un sistema sanitario público aprovechémoslo,have a public sanitary system take advantage of it
73,ARG1,1.0,FAVOUR,72,RA,que tenim unes garanties i unes infraestructures privilegiades,que tenemos unas garantías y unas infraestructuras privilegiadas,that have some guarantees and some privileged infrastructures
74,ARG1,1.0,FAVOUR,70,MA,no anem a buscar els costos que suposa la nostra sanitat,no vayamos a buscar los costes que supone nuestra sanidad,do not go at seeking the costs that supposes our health
75,ARG1,2.0,FAVOUR,60,RA,ens basem en una doctora que vostés tenen el privilegi de  tindre la universitat de barcelona eleonora lant,nos basamos en una doctora que ustedes tienen el privilegio de tener la universidad de barcelona eleonora lant,base us at a doctor that you have the privilege to have the university of barcelona eleonora lant
76,ARG1,2.0,FAVOUR,75,RA,ella diu que darrere la gestació subrogada i el lliure desenvolupament de la personalitat  la capacitat de consentiment de la dona qui som nosaltres per dir a  una dona que és el que pot fer o deixar de fer amb el seu propi cos,ella dice que detrás la gestación subrogada y el libre desarrollo de la personalidad la capacidad de consentimiento de la mujer quién somos nosotros para decir a una mujer que es el que puede hacer o dejar de hacer con su propio cuerpo,she says that behind the surrogacy and the free development of the personality the capacity of consent of the wife who are we to say at a wife that is what can make or cease make with his own body
77,ARG1,2.0,FAVOUR,76,RA,a més a més ens trobem amb una qüestió de solidaritat,además nos encontramos con una cuestión de solidaridad,in addition find us with a question of solidarity
78,ARG1,2.0,FAVOUR,77,RA,solidaritat que es basa en un acte altruista,solidaridad que se basa en un acto altruista,solidarity that bases  at an altruistic act
79,ARG1,2.0,FAVOUR,78,RA,que això és el que evita qualsevol mercantilització,que esto es el que evita cualquier mercantilización,that this is what eschews any mercantilització
80,ARG1,2.0,FAVOUR,,,els vostres arguments són els  que caracteritzen el nostre model,vuestros argumentos son los que caracterizan nuestro modelo,your arguments are those that characterise our model
81,ARG1,2.0,FAVOUR,80,RA,sense les vostres crítiques  el nostre model no seria possible,sin vuestras críticas nuestro modelo no sería posible,without your critics our model would not be possible
82,ARG1,2.0,FAVOUR,79,RA,i com és altruista no atempta per tant a la dignitat de la persona,y como es altruista no atenta por lo tanto a la dignidad de la persona,and how is altruistic does not attack therefore at the dignity of the person
83,ARG1,,AGAINST,,,és vostè conscient que no és el mateix fundar una  família que tenir descendència i sobretot escollir com serà aquesta descendència,es usted consciente que no es el mismo fundar una familia que tener descendencia y sobre todo escoger cómo será esta descendencia,is you conscious that is not the same to found a family that have descendants and especially choose how will be these descendants
84,ARG1,1.0,FAVOUR,,,totalment,totalmente,totally
85,ARG1,1.0,FAVOUR,83,CA,però és que vostès s'estan oposant a que es pugui  fundar la família,pero es que ustedes se están oponiendo a que se pueda fundar la familia,but is that you are  oposant at that can found  the family
