ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,les societats primitives on el comandament s'executa per la força s'imposa pels més forts ens dóna la impressió que podria haver canviat amb el pas del temps,las sociedades primitivas donde el mando se ejecuta por la fuerza se impone por los más fuertes nos da la impresión que podría haber cambiado con el paso del tiempo,the primitive societies where the command executes  for the force imposes  for the strongest gives us the print that it could have capsized in the course of time
2,INTRO,,AGAINST,1,CA,però no no ha canviat després de mil·lennis,pero no no ha cambiado después de milenios,but no has not capsized after millenniums
3,INTRO,,AGAINST,1,RA,qui mana continua sent qui té més força,quien manda continúa siendo quién tiene más bastante,who commands continues being who has more quite
4,INTRO,,AGAINST,3,RA,ens trobem en un sistema que malgrat anomenar-se democràtic margina de manera continuada dues majories,nos encontramos en un sistema que a pesar de denominarse democrático margina de manera continuada dos mayorías,find us at a system that in spite of nicknaming  democratic marginalises of mode continued two majorities
5,INTRO,,AGAINST,4,RA,les dones i qui menys recursos té,las mujeres y quienes menos recursos tiene,the wives and who less resources has
6,INTRO,,AGAINST,,,els mitjans canvien però el resultat continua sent el mateix,los medios cambian pero el resultado continúa siendo el mismo,the modes capsize but the result continues being the same
7,INTRO,,AGAINST,,,en són molts els exemples que ens poden venir al cap de discriminacions d'aquesta mena però una ens colpeix de manera més especial i és la possibilitat de transformar les dones en bèstia reproductiu,son muchos los ejemplos que nos pueden venir en el jefe de discriminaciones de este tipo pero una nos golpea de manera más especial y es la posibilidad de transformar las mujeres en bestia reproductivo,are  many the examples that can come us at the cape of discriminations of this type but one body colpeix of mode more special and is the possibility to transform the wives at reproductive beast
8,INTRO,,AGAINST,,,és que aquest liberalisme de darrera fornada el mal anomenat neoliberalisme ara s'ha despullat de tots els seus valors tradicionals,es que este liberalismo de última hornada lo mal llamado neoliberalismo ahora se ha desnudado de todos sus valores tradicionales,is that this liberalism of behind fornada the harm nicknamed neoliberalism now has undressed  of all his traditional values
9,INTRO,,AGAINST,8,RA,perquè tenim infinitat de casos on la gestació subrogada és una mostra més de què amb la llibertat individual tot s'hi val,porque tenemos infinidad de casos donde la gestación subrogada es una muestra más de que con la libertad individual todo se vale,so that have infinity of cases where the surrogacy is a sample more of what with the individual liberty everything costs
10,INTRO,,AGAINST,9,RA,podem posar per cas el cas d'una estatunidenca que feia de mare gestant que havia fet de mare gestant en anteriors casos i que de sobte una parella estrangera li demana de fer de mare gestant fan un contracte li implanten dos embrions i després de la primera ecografia es demostra que els dos embrions són dos mascles un fill i un fill ells no ells volien un fill i una filla i això fa que trenquin amb el contracte fugin del país i sortint sense haver de pagar totes les despeses que havien de pagar la mare i la mare es queda amb els fills perquè aquesta mare no volia avortar i és que hi ha contractes que no es poden trencar,podemos poner por caso el caso de una estadounidense que hacía de madre gestante que había hecho de madre gestante en anteriores casos y que de repente una pareja extranjera le pide de hacer de madre gestante hacen un contrato le implantan dos embriones y después de la primera ecografía se demuestra que los dos embriones son dos machos un hijo y un hijo ellos no ellos querían un hijo y una hija y esto hace que rompan con el contrato huyan del país y saliendo sin tener que pagar todos los gastos que tenían que pagar la madre y la madre se queda con los hijos porque esta madre no quería abortar y es que hay contratos que no se pueden romper,can pose for case the case of an estatunidenca that made of mother gestant that it had made of mother gestant at previous cases and that suddenly a foreign couple requests him to make of mother gestant make an agreement implant him two embryos and after the first echography evidences  that the two embryos are two male a son and a son they no they wanted to a son and a daughter and this makes that they smash with the agreement flee of the country and exiting without having to pay all the expenses that had to pay the mother and the mother meets  the children so that this mother did not want to abort and is that there are agreements that can not  smash
