ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,,,la imatge que veuran en pantalla és un retrat de bartolomé de las casas un frare espanyol defensor dels drets dels indígenes en els inicis de la colonització d'amèrica commogut pels abusos dels colons espanyols cap aquest bartolomé va emprendre des d'aquell moment una campanya per defensar els seus drets i acabar amb la seva esclavitud però degut a que la corona necessitava mà d'obra per poder extreure els recursos naturals d'amèrica van decidir portar població afroamericana i esclavitzar-la,la imagen que verán en pantalla es un retrato de bartolomé de las casas un fraile español defensor de los derechos de los indígenas en los inicios de la colonización de amèrica conmovido por los abusos de los colonos españoles jefe este bartolomé emprendió desde aquel momento una campaña para defender sus derechos y acabar con su esclavitud pero debido a que la corona necesitaba mano de obra para poder extraer los recursos naturales de amèrica decidieron llevar población afroamericana y esclavizarla,the image that will view at screen is a portrait of bartolomé of las casas a Spanish friar defender of the laws of the native at the onsets of the colonisation of amèrica commogut for the abuses of the colons Spanish cape this bartolomé undertook from that time on a campaign to defend his laws and end with his slavery but owed at that the crown needed labour to be able to extract the natural resources of amèrica decided to take populace afroamericana and enslave it
2,INTRO,,FAVOUR,1,RA,,,,,es va substituir l'esclavitud dels indígenes per la dels afroamericans,se sustituyó la esclavitud de los indígenas por la de los afroamericanos,substituted  the slavery of the native for the of the afroamericans
3,INTRO,,FAVOUR,,,,,,,és necessari legalitzar la maternitat subrogada per tal d'evitar la complicitat del nostre país en pràctiques que són moralment reprovables,es necesario legalizar la maternidad subrogada para evitar la complicidad de nuestro país en prácticas que son moralmente reprobables,is necessary to legalise the surrogacy for such to eschew the complicity of our country at practices that are morally reprovables
4,INTRO,,FAVOUR,,,,,,, legalitzar segons el diccionari de cambridge significa permetre una pràctica que havia estat prohibida amb anterioritat ,legalizar según el diccionario de cambridge significa permitir una práctica que había sido prohibida con anterioridad,legalise according to the dictionary of cambridge means to permit a practice that had been prohibited with anteriority
5,INTRO,,FAVOUR,6;16;23,RA,,,,,la nostra línia es divideix en tres arguments diferents,nuestra línea se divide en tres argumentos diferentes,our line divides  at three distinct arguments
6,INTRO,1,FAVOUR,,,,,,,en primer lloc un argument fàctic,en primer lugar un argumento fáctico,in the first place an argument fàctic
7,INTRO,1,FAVOUR,6,RA,,,,,és necessària la legalització de la maternitat subrogada perquè és una realitat permesa de facto en el nostre país ,es necesaria la legalización de la maternidad subrogada porque es una realidad permitida de facto en nuestro país,is necessary the legalisation of the surrogacy so that it is a reality permitted of facto at our country
8,INTRO,1,FAVOUR,6;7,RA,,,,,per entendre si és necessari o no legalitzar aquesta pràctica hem d'entendre com estem a dia d'avui ,para entender si es necesario o no legalizar esta práctica tenemos que entender como estamos a día de hoy,to understand if necessary or not legalising this practice have to understand how are at day of today
9,INTRO,1,FAVOUR,6,RA,,,,,avui segueix en vigor la llei de tècniques de reproducció humana assistida dos mil sis en la qual en el seu article desè es prohibeix expressament la maternitat subrogada,hoy sigue en vigor la ley de técnicas de reproducción humana asistida dos mil seis en la cual en su artículo décimo se prohíbe expresamente la maternidad subrogada,today tracks in force the law of technicians of human reproduction assisted two thousand six at which at his tenth article prohibits  expressly the surrogacy
10,INTRO,1,FAVOUR,,,,,,,no obstant això sí que permet al nostre sistema és inscriure en el registre civil aquells nascuts a l'estranger mitjançant aquest tipus de pràctiques en els països en els quals aquesta pràctica sigui permesa,sin embargo sí que permite a nuestro sistema es inscribir en el registro civil aquellos nacidos en el extranjero mediante este tipo de prácticas en los países en los cuales esta práctica sea permitida,nevertheless aye that it permits at our system is to inscribe at the civil registry those born abroad by means of this type of practices at the countries at which this practice was permitted
11,INTRO,1,FAVOUR,6;10,RA,,,,,això genera un efecte que s'anomena turisme o exili reproductiu,esto genera un efecto que se denomina turismo o exilio reproductivo,this generates an effect that nicknames  tourism or reproductive exile
12,INTRO,1,FAVOUR,6;13;15,RA,,,,, que a la vegada genera dos problemes,que a la vegada genera dos problemas,that at any one time generates two problems
13,INTRO,1,FAVOUR,6;12,RA,,,,,en primer lloc desigualtat dintre del propi país,en primer lugar desigualdad dentro del propio país,in the first place inequality inside of the own country
14,INTRO,1,FAVOUR,6;13,RA,,,,,doncs només aquelles rendes o aquelles famílies amb les rendes més altes poden accedir a aquest tipus de pràctiques ,pues solo aquellas rentas o aquellas familias con las rentas más altas pueden acceder a este tipo de prácticas,then only those rendes or those families with the rendes taller can access at this type of practices
15,INTRO,2,FAVOUR,12,RA,,,,,en segon lloc un altre problema que hem titulat l'absència de control,en segundo lugar otro problema que hemos titulado la ausencia de control,in the second place another problem that have titled the absence of control
16,INTRO,2,FAVOUR,15,MA,,,,,conforma el nostre segon argument que és el nostre argument moral,conforma nuestro segundo argumento que es nuestro argumento moral,conforms our second argument that is our moral argument
17,INTRO,2,FAVOUR,16,RA,,,,,és necessària la legalització de la maternitat subrogada per garantir que respecten els drets humans,es necesaria la legalización de la maternidad subrogada para garantizar que respetan los derechos humanos,is necessary the legalisation of the surrogacy to guarantee that they respect the human laws
18,INTRO,2,FAVOUR,16,RA,,,,,la situació de turisme reproductiu el que genera és que les famílies se'n vagin a l'estranger en països en els quals espanya no té jurisdicció,la situación de turismo reproductivo el que genera es que las familias se vayan al extranjero en países en los cuales espanya no tiene jurisdicción,the situation of reproductive tourism what generates is that the families go  abroad at countries at which espanya does not have jurisdiction
19,INTRO,2,FAVOUR,16;18,RA,,,,,per tant no pot exercir cap tipus de control en el sentit de poder assegurar que les dones no es vegin explotades en aquest tipus de pràctiques,por lo tanto no puede ejercer ningún tipo de control en el sentido de poder asegurar que las mujeres no se vean explotadas en este tipo de prácticas,therefore it can not exert any type of control at the sense to be able to assure that the wives do not view  exploded at this type of practices
20,INTRO,2,FAVOUR,16,RA,,,,,tenint en compte les paraules de l'alt comissionat de les nacions unides pels drets humans es va expressar que el respecte a la dignitat humana és responsabilitat de tots els estats ,teniendo en cuenta las palabras del alto comisionado de las naciones unidas por los derechos humanos se expresó que el respecto a la dignidad humana es responsabilidad de todos los estados,taking into account the words of the tall comissionat of the nations united by the human laws expressed  that the with regard to the human dignity is responsibility of all the states
21,INTRO,2,FAVOUR,16;18;19;20,RA,,,,,per tant aquests tenen l'obligació de protegir garantir proactivament aquests drets en el propi país i també arreu del món,por lo tanto estos tienen la obligación de proteger garantizar proactivamente estos derechos en el propio país y también en todo el mundo,therefore these have the debenture to protect guarantee proactivament these laws at the own country and also all over in the world
22,INTRO,2,FAVOUR,16;18;19;20,RA,,,,,mantenint la situació actual a espanya podem veure com no està complint,manteniendo la situación actual a espanya podemos ver como no está cumpliendo,maintaining the ongoing situation at espanya can view like is not conforming
23,INTRO,3,FAVOUR,,,,,,,al nostre tercer argument que és l'argument jurídic,a nuestro tercer argumento que es el argumento jurídico,at our third argument that is the juridical argument
24,INTRO,3,FAVOUR,23,RA,17,MA,,,és necessària legalització per estructurar un procediment que respecti la dignitat de totes les parts implicades en aquest tipus de pràctiques,es necesaria legalización para estructurar un procedimiento que respete la dignidad de todas las partes implicadas en este tipo de prácticas,is necessary legalisation to structure a procedure that respect the dignity of all the parts implied at this type of practices
25,INTRO,3,FAVOUR,23,RA,,,,,la situació actual no és sostenible ,la situación actual no es sostenible,the ongoing situation is not sustainable
26,INTRO,3,FAVOUR,23,RA,,,,,ens trobem en una situació d'esquizofrènia legislativa,nos encontramos en una situación de esquizofrenia legislativa,find us at a situation of legislative schizophrenia
27,INTRO,3,FAVOUR,23,RA,,,,,des d'una banda tenim una prohibició,desde una banda tenemos una prohibición,since a band have a ban
28,INTRO,1;3,FAVOUR,23,RA,,,,,des de l'altra banda es permet la inscripció al registre civil de nens nascuts a l'estranger,desde la otra banda se permite la inscripción al registro civil de niños nacidos a la extranjero,since the other band permits  the inscription at the civil registry of boys been born abroad
29,INTRO,1;3,FAVOUR,23,RA,,,,,és a dir en una situació en què està permesa de facto ,es decir en una situación en que está permitida de facto,that is to say at a situation at what is permitted of facto
30,INTRO,3,FAVOUR,23,RA,17;24,MA,,,hem de legalitzar un procediment en el qual les garanties de totes les parts implicades es vegin satisfetes,tenemos que legalizar un procedimiento en el cual las garantías de todas las partes implicadas se vean satisfechas,have to legalise a procedure at which the guarantees of all the parts implied view  satisfied
31,INTRO,3,FAVOUR,1;23,RA,,,,,la corona espanyola va decidir deixar d'esclavitzar els indígenes per protegir els seus drets,la corona española decidió dejar de esclavizar los indígenas para proteger sus derechos,the Spanish crown decided to let to enslave the native to protect his laws
32,INTRO,3,FAVOUR,23;31,RA,,,,,és que el mateix és el que està passant amb la maternitat subrogada,es que el mismo es el que está pasando con la maternidad subrogada,is that the same is what is passing with the surrogacy
