ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,,,la nostra societat  en un món cada cop més global tots hem de permetre en conjunt permetre a algú qualsevol persona que contracti a una dona donar a llum gestar,nuestra sociedad en un mundo cada vez más global todos tenemos que permitir en conjunto permitir a alguien cualquier persona que contrate a una mujer dar a luz gestar,our society at an increasingly global world all have to permit at conjoint permit at somebody any person that hire at a wife give at light gestar
2,INTRO,,AGAINST,1,RA,,,,,aquesta hipotètica institució legal per la qual unes parts demanden la dona,esta hipotética institución legal por la cual unas partes demandan la mujer,this hypothetical legal institution for which some parts sue the wife
3,INTRO,,AGAINST,2,RA,,,,,ofereix dur a terme uns serveis,ofrece llevar a cabo unos servicios,offers to carry out some kicks
4,INTRO,,AGAINST,1;2;3,RA,,,,,és la gestació subrogada,es la gestación subrogada,is the surrogacy
5,INTRO,,AGAINST,4,MA,,,,,són els ventres de lloguer,son los vientres de alquiler,are the bellies for hire
6,INTRO,,AGAINST,2,RA,,,,,aquesta hipotètica institució legal pot semblar una institució neutral,esta hipotética institución legal puede parecer una institución neutral,this hypothetical legal institution can seem a neutral institution
7,INTRO,,AGAINST,6,MA,,,,,quelcom semblant a un qui pro quo habitual,algo pareciendo a uno quien pro quo habitual,quelcom alike at one who pro quo habitual
8,INTRO,,AGAINST,6,CA,,,,,però res en la nostra societat i menys una institució legal és neutral,pero nada en nuestra sociedad y menos una institución legal es neutral,but nothing at our society and less a legal institution is neutral
9,INTRO,,AGAINST,,,,,,,els esclaus de l'antiguitat els sers del senyor feudals a l'edat mitjana i les prostitutes amb una llarga història en les nostres societats que tenen en comú amb una institució com la gestació subrogada,los esclavos de la antigüedad los seres del señor feudales en la edad mediana y las prostitutas con una larga historia en nuestras sociedades que tienen en común con una institución como la gestación subrogada,the slaves of the antiquity the beings of the feudal gentleman at the half age and the prostitutes with a long history at our societies that have in common with an institution how the surrogacy
10,INTRO,,AGAINST,9,RA,,,,,al llarg de la nostra història hem pogut veure observar un continuu un fil conductor per part de poderosos i col·lectius vulnerables un fil conductor al cap i a la fi per part d opressors i oprimits,a lo largo de nuestra historia hemos podido ver observar un continuu un hilo conductor por parte de poderosos y colectivos vulnerables un hilo conductor al fin y al cabo por parte d opresores y oprimidos,along our history have been able to view observe a continuu a conductive yarn for part of powerful and vulnerable communities a conductive yarn after all for part d opressors and oppressed
