ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,quin sistema de govern ens regeix,qué sistema de gobierno nos rige,which system of governance governs us
2,INTRO,,FAVOUR,,,,,estem en un estat democràtic que s'ha construït a través de la contínua lluita a través de molts anys per aconseguir drets i llibertats,estamos en un estado democrático que se ha construido a través de la continua lucha a través de muchos años para conseguir derechos y libertados,are at a democratic state that has constructed  through the continual fight through a lot of years to achieve laws and liberties
3,INTRO,,FAVOUR,,,,,en primer lloc fer un recorregut una mica històric una d'aquestes fites que hem aconseguit amb lluita,en primer lugar hacer un recorrido un poco histórico una de estos hitos que hemos conseguido con lucha,in the first place make an a bit historic route one of these cairns that have achieved with fight
4,INTRO,,FAVOUR,3,RA,,,la despenalització de l'avortament,la despenalización del aborto,the despenalisation of the abortion
5,INTRO,,FAVOUR,4,RA,,,al segle dènou l'avortament estava completament prohibit,en el siglo diecinueve el aborto estaba completamente prohibido,at the century nineteen the abortion was entirely prohibited
6,INTRO,,FAVOUR,5,RA,,,es condemnaven a penes de presó a les dones que ho practicaven així també com els metges,se condenaban apenas de prisión a las mujeres que lo practicaban así también como los médicos,condemned  hardly of prison at the wives that practiced it like this also how the doctors
7,INTRO,,FAVOUR,6,RA,,,durant la república es va portar un procés per aconseguir una lluita per aquestes llibertats,durante la república se llevó un proceso para conseguir una lucha por estas libertados,during the republic took  a process to achieve a fight for these liberties
8,INTRO,,FAVOUR,4;7,RA,,,i és per això que l'avortament es va despenalitzar,y es por eso que el aborto se despenalizó,and that is why the abortion was legalised
9,INTRO,,FAVOUR,8,RA,,,després durant la dictadura tot va decaure de nou i es van quedar sotmesos al dictador i les dones també als hòmens,después durante la dictadura todo va decaer de nuevo y se quedaron sometidos al dictador y las mujeres también a los hombres,next during the dictatorship everything waned of new and stayed  subjected at the dictator and the wives also at the men
10,INTRO,,FAVOUR,9,RA,,,després vam iniciar un procés de transició per aconseguir la lluita de la despenalització de l'avortament,después iniciamos un proceso de transición para conseguir la lucha de la despenalización del aborto,next inducted a process of transition to achieve the fight of the despenalització of the abortion
11,INTRO,,FAVOUR,10,RA,,,malgrat que la lluita encara continua per alliberar-nos d'aquestos tres supòsits que encara estàn,a pesar de que la lucha todavía continúa para liberarnos de estos tres supuestos que todavía estàn,in spite of that the fight still continues to liberate us of these three suppositions that still estàn
12,INTRO,,FAVOUR,,,,,per tant estem en un estat democràtic,por lo tanto estamos en un estado democrático,therefore we are at a democratic state
13,INTRO,,FAVOUR,12,RA,,,un estat on tenim llibertat i també llibertat del cos,un estado donde tenemos libertad y también libertado del cuerpo,a state where have liberty and also liberty of the body
14,INTRO,,FAVOUR,11;13,RA,,,és per això pel que hem de lluitar,es por eso por el que tenemos que luchar,is therefore for the that have to battle
15,INTRO,,FAVOUR,14,RA,,,i és el que ens ha de garantir aquest estat democràtic,y es el que nos tiene que garantizar este estado democrático,and is what has to guarantee us this democratic state
16,INTRO,,FAVOUR,,,,,la gestació subrogada és un fet és una realitat i la seua prohibició coarta la meua generositat i la meua llibertat,la gestación subrogada es un hecho es una realidad y su prohibición coarta mi generosidad y mi libertad,the surrogacy is a fact is a reality and his ban coarta my generosity and my liberty
17,INTRO,,FAVOUR,16,RA,,,qui m'ha de dir a mi què puc fer amb el meu cos,quién me tiene que decir a mí que puedo hacer con mi cuerpo,who has to say me at me what can make with my body
