ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,,,gestació subrogada tècnica per la qual una dona consenteix quedar-se embarassada posteriorment parir i lliurar aquest nadó amb un tercer o amb una família,gestación subrogada técnica por la cual una mujer consenteix quedarse embarazada posteriormente parir y librar este bebé con un tercero o con una familia,surrogacy technician for which a wife consenteix stay pregnant later bear and hand this baby with a third or with a family
2,INTRO,,FAVOUR,,,,,,,se'n poden derivar molts models diferents,se pueden derivar muchos modelos diferentes,can  derive a lot of distinct models
3,INTRO,,FAVOUR,2,MA,,,,,se'n poden derivar tants models diferents que pot implicar una transcendència molt important cap a la dona gestant cap al nounat i cap a la família comitent,se pueden derivar tantos modelos diferentes que puede implicar una trascendencia muy importante hacia la mujer gestante hacia el neonato y hacia la familia comitente,can  derive so many distinct models that can imply a very important transcendence to the wife gestant to the nounat and to the family comitent
4,INTRO,1,FAVOUR,1,RA,,,,,és necessària per la per la reproducció humana,es necesaria por la por la reproducción humana,is necessary for the for the human reproduction
5,INTRO,2,FAVOUR,1,RA,,,,,és necessària perquè les dones puguem ser lliures de decidir què fer o deixar de fer amb el nostre propi cos,es necesaria porque las mujeres podamos ser libres de decidir qué hacer o dejar de hacer con nuestro propio cuerpo,is necessary so that the wives can be free to decide what make or cease make with our own body
6,INTRO,1,FAVOUR,1,RA,,,,,és necessària perquè aquelles persones que físicament no puguin tenir fills puguin,es necesaria porque aquellas personas que físicamente no puedan tener hijos puedan,is necessary so that those persons that physically can not have children can
7,INTRO,1,FAVOUR,,,,,,,ignorar que realment aquestes persones podrien adoptar,ignorar que realmente estas personas podrían adoptar,ignore that really these persons could adopt
8,INTRO,1,FAVOUR,7,RA,,,,,la qüestió rau en el fonament de l'adopció,la cuestión rae en el cimiento de la adopción,the question scrapes at the bedrock of the adoption
9,INTRO,1,FAVOUR,8,RA,,,,,no és el mateix el fonament de la gestació subrogada,no es el mismo el cimiento de la gestación subrogada,is not the same the bedrock of the surrogacy
10,INTRO,3,FAVOUR,,,,,,,sí a la legalització de la gestació subrogada raonable,sí a la legalización de la gestación subrogada razonable,aye at the legalisation of the surrogacy reasonable
