ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,imagineu-vos que tenim una bústia plena de bitllets i cada un de vosaltres en té un  així senyors és com funciona la loteria és un joc públic d'atzar en el que guanyar és molt complicat i només una de les paperetes serà la premiada i ara ens demanareu  per què ens parla de la loteria doncs senyors senyores perquè avui dia a espanya  poder adoptar és tan complicat com que et toqui la loteria,imaginaos que tenemos un buzón lleno de billetes y cada uno de vosotros tiene un así señores es como funciona la lotería es un juego público de azar en el que ganar es muy complicado y solo una de las papeletas será la premiada y ahora nos pediréis por qué nos habla de la lotería pues señores señoras porque hoy en día a espanya poder adoptar es tan complicado como que te toque la lotería,imagine you that have a full mailbox of tickets and each one of you has  a like this gentlemen is how functions the lottery is a public game of chance at what gross is very complicated and only one of the ballots will be the rewarded and now will request us how come talks us of the lottery then gentlemen ladies so that nowadays at espanya can adopt is as complicated as it touch you the lottery
2,INTRO,,FAVOUR,,,hem de legalitzar la gestació subrogada,tenemos que legalizar la gestación subrogada,have to legalise the surrogacy
3,INTRO,,FAVOUR,2,CA,però no a tot preu,pero no a todo precio,but no by all means
4,INTRO,,FAVOUR,3,RA,una gestació subrogada que sigui altruista,una gestación subrogada que sea altruista,a surrogacy that it was altruist
5,INTRO,,FAVOUR,4,RA,es poder donar facilitats a aquestes persones que ho tenen més complicat per formar famílies,se poder dar facilidades a estas personas que lo tienen más complicado para formar familias,can give  eases at these persons that have it more complicated to form families
6,INTRO,,FAVOUR,,,la legalització és fer legal un acte o cosa i lleial és que és permès o manat per la llei,la legalización es hacer legal un acto o cosa y leal es que es permitido o mandado por la ley,the legalisation is to make legal an act or thing and loyal is that it is permitted or commanded by the law
7,INTRO,,FAVOUR,,,gestació subrogada que és aquest procés en què una dona gesta un fetus destinat a ser criat com a fill per algú altre,gestación subrogada que es este proceso en que una mujer gesta un feto destinado a ser criado como hijo por alguien otro,surrogacy that it is this process at what a wife feat a fetus destined at being raised as a son for somebody other
8,INTRO,,FAVOUR,,,l'adopció és ineficaç,la adopción es ineficaz,the adoption is ineffective
9,INTRO,,FAVOUR,8,RA,hi ha un temps d'espera de quatre vuit anys,hay un tiempo de espera de cuatro ocho años,there is a time of expects of four eight years
10,INTRO,,FAVOUR,9,RA,és un procés molt llarg i costós,es un proceso muy largo y costoso,is a very long process and costly
