ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,,,entenem per gestació subrogada la situació en la qual una dona Accepta donar el seu consentiment per quedar-se embarassada i lliurar aquest nadó amb una família o a un tercer,entendemos por gestación subrogada la situación en la cual una mujer Acepta dar su consentimiento para quedarse embarazada y librar este bebé con una familia o a un tercer,understand for surrogacy the situation at which a wife Accepts to give his consent to stay  pregnant and hand this baby with a family or at a third
2,INTRO,,AGAINST,,,,,,,visualitzin aquesta imatge,visualicen esta imagen,visualise this image
3,INTRO,,AGAINST,2,RA,,,,,veiem imposició arrogància obligació,vemos imposición arrogancia obligación,view imposition arrogance debenture
4,INTRO,,AGAINST,3,RA,,,,,no és tan diferent del que està passant avui,no es tan diferente del que está pasando hoy,is not as distinct of the that is passing today
5,INTRO,,AGAINST,2,RA,,,,,és una imatge vella,es una imagen vieja,is an old image
6,INTRO,,AGAINST,5,RA,,,,,es tracta d'un altre segle,se trata de otro siglo,treats  of another century
7,INTRO,,AGAINST,4,RA,,,,,però és que el que està passant avui s'amaga darrere d'unes bates i d'unes xeringues,pero es que el que está pasando hoy se esconde detrás de unas batas y de unas jeringuillas,but is that what is passing today veils  behind some housecoats and of some syringes
8,INTRO,,AGAINST,3,RA,4,MA,,,però és que és el mateix,pero es que es el mismo,but is that it is the same
9,INTRO,,AGAINST,8,RA,,,,,les dones estem sent explotades i violades,las mujeres estamos siendo explotadas y violadas,the wives are being exploded and raped
10,INTRO,,AGAINST,9,RA,,,,,una dona que vol quedar-se embarassada ha de patir,una mujer que quiere quedarse embarazada tiene que sufrir,a wife that wants to stay pregnant has to suffer
11,INTRO,,AGAINST,10,RA,,,,,ha de sentir-se obligada insegura imposada,tiene que sentirse obligada insegura impuesta,has to hear obliged unsure imposed
12,INTRO,,AGAINST,,,,,,,i una família que busca a un nadó que busca crear vida,y una familia que busca a un bebé que busca crear vida,and a family that seeks at a baby that seeks to create life
13,INTRO,,AGAINST,12,RA,,,,,ha de ser així,tiene que ser así,has to be like this
14,INTRO,,AGAINST,10;11;13,RA,,,,,mitjançant aquesta situació d'imposar a una dona,mediante esta situación de imponer a una mujer,by means of this situation to impose at a wife
15,INTRO,,AGAINST,3,RA,,,,,també reflexa el patiment de totes les dones,también refleja el sufrimiento de todas las mujeres,also reflexa the suffering of all the wives
16,INTRO,,AGAINST,15,RA,,,,,el patiment i l'explotació que estem patint,el sufrimiento y la explotación que estamos sufriendo,the suffering and the exploitation that are suffering
17,INTRO,,AGAINST,9;16,RA,,,,,jo com a dona desgraciadament podria acabar així,yo como mujer desgraciadamente podría acabar así,I as a wife alas could end like this
18,INTRO,,AGAINST,,,,,,,però és que no només jo,pero es que no solo yo,but is that no only I
19,INTRO,,AGAINST,18,RA,,,,,la meva companya núria també la meva companya laura també i qualsevol dona que se troba en aquesta sala,mi compañera núria también mi compañera laura también y cualquier mujer que se encuentra en esta sala,my partner núria also my partner laura also and any wife that finds  at this room
20,INTRO,,AGAINST,18,RA,,,,,qui m'assegura que dintre d'uns anys tindré la mateixa situació econòmica,quién me asegura que dentro de unos años tendré la misma situación económica,who assures me that inside of some years will the same economic situation
21,INTRO,,AGAINST,17,RA,,,,,qui m'assegura que dintre d'uns anys no buscaré una altra via per subsistir,quién me asegura que dentro de unos años no buscaré otra vía para subsistir,who assures me that inside of some years will not seek another road for subsistir
22,INTRO,,AGAINST,18,RA,,,,,per què pensen que una dona se sotmet a aquesta practicat,por qué piensan que una mujer se somete en esta practicado,how come think that a wife subjects  at this practiced
23,INTRO,,AGAINST,19,RA,,,,,per voluntarietat i altruisme,por voluntariedad y altruismo,for voluntarietat and altruism
24,INTRO,,AGAINST,22,RA,,,,,el dia que veiem a una dona burgesa benestant d'occident sotmetre's a una pràctica així,el día que vemos a una mujer burguesa acomodada de occidente someterse a una práctica así,the day that view at a bourgeois wife benestant of occident subject at a practice like this
25,INTRO,,AGAINST,23;24,RA,,,,,ens creurem de veritat la gestació subrogada com ens defensarà l'equip contrari,nos creeremos de verdad la gestación subrogada como nos defenderá el equipo contrario,will think us for real the surrogacy how will defend us the contrary squad
26,INTRO,,AGAINST,9;16;21,RA,,,,,com dona feminista i estudiant de dret no puc deixar que això passi,como mujer feminista y estudiante de derecho no puedo dejar que esto pase,how feminist wife and studying by right can not let that this pass
