ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,,,la ceci edge és una ciutadana de l'estat nord-americana nebraska la qual és en l'actualitat mare de dos fills un d'ells el matthew que és gai un bon dia el matthew parlant amb la seva mare li va plantejar els seus plans per ser pare i per ser-ho potser per mitjà de la gestació subrogada amb les bones intencions que només pot mostrar una mare i amb un somriure als llavis la cecil es va oferir per ajudar el seu fill també amb la inestimable ajuda de la germana de l'eliot la parella del mateu que va aconseguir que tinguessin un òvul en aquell moment un cop havent examinat i garantit la salut de la cecil tot era preparat avui la cecile és àvia és àvia del fill del seu fill pot semblar estrany però en qualsevol cas el que és important és com matthew i l'eliott han format una família,la ceci edge es una ciudadana del estado norteamericana nebraska la cual es en la actualidad madre de dos hijos uno de ellos el matthew que es gay un buen día el matthew hablando con su madre le planteó sus planes para ser padre y para serlo quizás por medio de la gestación subrogada con las buenas intenciones que solo puede mostrar una madre y con una sonrisa a los labios la cecil se ofreció para ayudar su hijo también con la inestimable ayuda de la hermana de la eliot la pareja del matáis que consiguió que tuvieran un óvulo en aquel momento una vez habiendo examinado y garantizado la salud de la cecil todo era preparado hoy la cecile es abuela es abuela del hijo de su hijo puede parecer extraño pero en cualquier caso el que es importante es como matthew y el eliott han formado una familia,the ceci edge is a citizen of the North American state nebraska which is at the actuality mother of two children one of them the matthew that is gay one good morning the matthew talking with his mother posed him his plans for being pause and to be it perhaps by means of the surrogacy with the good intents that only can show a mother and with a smile at the lips the cecil offered  to aid his son also with the sister's inestimable aid of the eliot the couple of the kill that it achieved that had an ovule at that moment once having examined and guaranteed the health of the cecil everything was prepared today the cecile is grandmother is the son's grandmother of his son can seem odd but in any case what is important is how matthew and the eliott have formed a family
2,INTRO,,FAVOUR,,,,,patt anthoni ciutadana sud-africana de quaranta-huit anys que va ajudar els seus fills a tindre un fill,patt anthoni ciudadana sudafricana de cuarenta y ocho años que ayudó sus hijos a tener un hijo,patt anthoni South African citizen of forty-eight years that aided his children at having a son
3,INTRO,,FAVOUR,,,,,l'anastasia ontou de fins a seixanta-set anys ella també va ajudar els seus fills de tindre una família,la anastasia ontou de hasta sesenta y siete años ella también ayudó sus hijos de tener una familia,the anastasia ontou of until sixty-seven years she also aided his children to have a family
4,INTRO,,FAVOUR,1;2;3,RA,,,i és que formar una família és alhora un desig i una necessitat,y es que formar una familia es a la vez un deseo y una necesitado,and is that form a family is concurrently a wish and a necessity
5,INTRO,,FAVOUR,4,RA,,,article setze de la declaració universal de drets humans de mil nou-cents quaranta-huit totes les persones tenen dret homes i dones a casar-se i a fundar una família,artículo dieciséis de la declaración universal de derechos humanos de mil novecientos cuarenta y ocho todas las personas tienen derecho hombres y mujeres a casarse y a fundar una familia,article sixteen of the universal statement of human laws of one thousand nine hundred forty-eight all the persons have right men and wives at marrying  and at founding a family
6,INTRO,,FAVOUR,5,RA,,,i cito la família és l'element natural i fonamental de la nostra societat i té dret a la protecció de la societat i de l'estat,y cito la familia es el elemento natural y fundamental de nuestra sociedad y tiene derecho a la protección de la sociedad y del estado,and cite the family is the natural and fundamental element of our society and has law to the protection of the society and of the state
7,INTRO,,FAVOUR,4;5;6,RA,,,aquest és el motiu és l'obligació que tenim de legislar de fer front de donar la cara al progrés tecnològic amb regulació amb garanties,este es el motivo es la obligación que tenemos de legislar de hacer frente de dar la cara al progreso tecnológico con regulación con garantías,this is the motif is the debenture that have to legislate to face to give the face at the technological headway with regulation with guarantees
8,INTRO,,FAVOUR,7,RA,,,impulsant un valor tan fonamental com la solidaritat,impulsando un valor tan fundamental como la solidaridad,furthering an as fundamental value how the solidarity
9,INTRO,,FAVOUR,4,RA,,, perquè aquestes necessitats no tenen solució en excuses com processos d'adopció cada cop més llargs cada cop més insegurs i amb resultat molts cops dramàtics,porque estas necesidades no tienen solución en excusas como procesos de adopción cada vez más largos cada vez más inseguros y con resultado muchos golpes dramáticos,so that these necessities do not have solution at excuses like processes of adoption increasingly long increasingly unsure and with a lot of result dramatic bumps
10,INTRO,,FAVOUR,9,RA,,, tot per no fer entrar el progrés,todo por no hacer entrar el progreso,everything not to make enter the headway
11,INTRO,,FAVOUR,9,RA,,, barrant el pas a persones que per orientació sexual que per malalties congènites tristament no tenen cap culpa de no poder tenir fills,vallando el paso a personas que por orientación sexual que por enfermedades congénitas tristemente no tienen ninguna culpa de no poder tener hijos,fencing in the step at persons that for sexual orientation that for congenital sicknesses sadly do not have any fault of not being able to have children
12,INTRO,,FAVOUR,9,RA,,,col·laborar en processos com l'adopció,colaborar en procesos como la adopción,collaborate at processes how the adoption
13,INTRO,,FAVOUR,12,RA,,,però això avui dia ni té futur ni és viable ni és acceptable,pero esto hoy en día ni tiene futuro ni es viable ni es aceptable,but this nowadays or has future or is viable or is acceptable
14,INTRO,,FAVOUR,7,RA,,,vehicular la nostra proposta per mitjà d'un sistema públic excloent el lucre excloent el benefici propi de totes aquestes gestions per a satisfer les necessitats de les persones,vehicular nuestra propuesta por medio de un sistema público excluyendo el lucro excluyendo el beneficio propio de todas estas gestiones para satisfacer las necesidades de las personas,vehicular our proposal by means of a public system excluding the lucre excluding the own benefit of all these negotiations to satisfy the necessities of the persons
15,INTRO,,FAVOUR,14,RA,,,per exemple els nostres sistemes de trasplantament d'òrgans o de donació de sang basats en el valor fonamental la solidaritat,por ejemplo nuestros sistemas de trasplante de órganos o de donación de sangre basados en el valor fundamental la solidaridad,for example our systems of transplantation of organs or of donation of blood based at the fundamental value the solidarity
16,INTRO,,FAVOUR,14,RA,,,aquest sistema podrem veure que el trobem en països com el regne unit o si bé s'ha intentat a portugal,este sistema podremos ver que lo encontramos en países como el reino unido o si bien se ha intentado a portugal,this system will be able to view that we find it at countries how the realm united or if well has attempted  at portugal
17,INTRO,,FAVOUR,16,RA,,,països lliures i democràtics del nostre món,países libres y democráticos de nuestro mundo,free and democratic countries of our world
18,INTRO,,AGAINST,,,,,això és un catàleg d'infants i un catàleg de mares de lloguer,esto es un catálogo de niños y un catálogo de madres de alquiler,this is a catalogue of girls and mothers's a catalogue for hire
19,INTRO,,AGAINST,18,RA,,,no cal que hi hagi diners per mig,no hace falta que haya dinero por medio,does not be necessary that there is money for half
20,INTRO,,AGAINST,19,RA,,,aquí algú escull i algú és escollit,aquí alguien escollo y alguien es escogido,here somebody reef and somebody is chosen
21,INTRO,,AGAINST,,,,,definir els tres conceptes clau,definir los tres conceptos clave,define the three key concepts
22,INTRO,,AGAINST,21,RA,,,una gestació subrogada és una manera de accedir a la maternitat a través de la qual s'utilitza un ventre extern,una gestación subrogada es una manera de acceder a la maternidad a través de la cual se utiliza un vientre externo,a surrogacy is a mode to access at the motherhood through which utilises  an external belly
23,INTRO,,AGAINST,21,RA,,,entenem per legalització dotar de context i validesa jurídica per permetre el desenvolupament d'una acció,entendemos por legalización dotar de contexto y validez jurídica para permitir el desarrollo de una acción,understand for legalisation endow of context and juridical validity to permit the development of an act
24,INTRO,,AGAINST,21,RA,,,la maternitat,la maternidad,the motherhood
25,INTRO,,AGAINST,24,RA,,,que és exercir de mare acompanyar els fills des del naixement per al seu correcte desenvolupament,que es ejercer de madre acompañar los hijos desde el nacimiento para su correcto desarrollo,that is to exert of mother accompany the children since the birth for his correct development
26,INTRO,,AGAINST,25,RA,,,comporta un deure ,comporta un deber,comports a duty
27,INTRO,,AGAINST,25,RA,,,no comporta un dret,no comporta un derecho,does not comport a law
28,INTRO,,AGAINST,26,RA,,,és un compromís amb el nostre fill,es un compromiso con nuestro hijo,is a betrothal with our son
29,INTRO,,AGAINST,,,,,hi ha tres Agents,hay tres Agentes,there are three Agents
30,INTRO,,AGAINST,29,RA,,,han de ser els fills i a les dues bandes hi ha la mare gestant i la mare sol·licitant,tienen que ser los hijos y a las dos bandas hay la madre gestante y la madre solicitante,have to be the children and at the two bands there is the mother gestant and the mother soliciting
31,INTRO,,AGAINST,,,,,la gestació subrogada genera una incoherència moral en el que és el sí de la maternitat que és la cosa més generosa i més altruista que pot haver,la gestación subrogada genera una incoherencia moral en el que es lo sí de la maternidad que es la cosa más generosa y más altruista que puede haber,the surrogacy generates a moral incoherence at what is the aye of the motherhood that is the most generous thing and more altruistic that can have
32,INTRO,,AGAINST,31,RA,,,els nostres pares encara tenen cura de nosaltres,nuestros padres todavía tienen cura de nosotros,our parents still have cure of us
33,INTRO,,AGAINST,32,RA,,,i reben poques coses materials a canvi,y reciben pocas cosas materiales a cambio,and get few material things in return
34,INTRO,,AGAINST,32,RA,,,és un gran acte de generositat esdevenir pare o mare,es un gran acto de generosidad acontecer padre o madre,is a big act of generosity become father or mother
35,INTRO,,AGAINST,33,RA,,,ser pare o mare a través de la gestació subrogada que és canalitzar una frustració pròpia un caprici,ser padre o madre a través de la gestación subrogada que es canalizar una frustración propia un capricho,be father or mother through the surrogacy that it is to channel an own frustration a whim
36,INTRO,,AGAINST,34,RA,,,la maternitat no és un dret sinó que és un deure que es contrau amb el fill,la maternidad no es un derecho sino que es un deber que se contrae con el hijo,the motherhood is not a law but that it is a duty that contracts  with the son
37,INTRO,,AGAINST,,,,,no s'ha d'explotar la dona amb una feina que l'ocuparia vint-i-quatre hores al dia,no se tiene que explotar la mujer con un trabajo que lo ocuparía veinticuatro horas en el día,does not have to  explode the wife with a work that would occupy it twenty-four hours by the day
