ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,2;3,RA,,,són dos els factors bàsics que sostenen la nostra oposició  a la legalització de gestació subrogada,son dos los factores básicos que sostienen nuestra oposición a la legalización de gestación subrogada,are two the basic factors that sustain our opposition at the legalisation of surrogacy
2,INTRO,1,AGAINST,,,,,el factor econòmic,el factor económico,the economic factor
3,INTRO,2,AGAINST,,,,,el factor humà,el factor humano,the human factor
4,INTRO,1,AGAINST,2,RA,,,la gran diferència que suposa néixer en un o en un altre indret del món,la gran diferencia que supone nacer en uno o en otro lugar del mundo,the big difference that supposes to be born at one or at another place in the world
5,INTRO,1,AGAINST,4,RA,,,néixer al primer o al tercer món,nacer al primero o al tercer mundo,be born at the first or at the third world
6,INTRO,1,AGAINST,4,MA,,,néixer al primer món suposa un avantatge competitiu sobre néixer al tercer món,nacer en el primer mundo supone una ventaja competitiva sobre nacer en el tercer mundo,be born at the first world supposes a competitive advantage on being born at the third world
7,INTRO,1,AGAINST,6,RA,,,aquesta estructura es replica també a casa nostra,esta estructura se replica también en casa nuestra,this structure retorts  also at ours house
8,INTRO,1,AGAINST,7,RA,,,es replica en la forma de la lluita de classes,se replica en la forma de la lucha de clases,retorts  at the form of the fight of classes
9,INTRO,1,AGAINST,8,RA,,,aquesta lluita de classes es trasllada en l'elecció del mètode de la gestació subrogada,esta lucha de clases se traslada en la elección del método de la gestación subrogada,this fight of classes moves  at the election of the method of the surrogacy
10,INTRO,1,AGAINST,2,MA,,,els interessos econòmics que hi ha darrere d'aquest negoci,los intereses económicos que hay detrás de este negocio,the economic interests that there is behind this bargain
11,INTRO,1,AGAINST,10,RA,,,les clíniques privades cerquen obrir nous horitzons per a nous tipus de clients,las clínicas privadas buscan abrir nuevos horizontes para nuevos tipos de clientes,the private clinics seek to open new horizons for new type of customers
12,INTRO,1,AGAINST,,,,,amagat sota una neollengua,escondido bajo una neollengua,veiled under a neollengua
13,INTRO,1,AGAINST,12,RA,,,una sort de nova parla orweliana que amaga sota paraules boniques les conseqüències reals de la legalització d'aquesta pràctica,una suerte de nueva habla orweliana que esconde bajo palabras bonitas las consecuencias reales de la legalización de esta práctica,a luck of new talks orweliana that veils under handsome words the real consequences of the legalisation of this practice
14,INTRO,1,AGAINST,13,RA,,,l'explotació de les dones,la explotación de las mujeres,the exploitation of the wives
15,INTRO,2,AGAINST,3,RA,,,com l'aplicació d'aquesta pràctica afecta a la dona al nadó,como la aplicación de esta práctica afecta a la mujer al bebé,how the app of this practice affects at the wife at the baby
16,INTRO,2,AGAINST,,,,,quins efectes té sobre la consideració ètica de la legalització de gestació subrogada,qué efectos tiene sobre la consideración ética de la legalización de gestación subrogada,which effects has on the ethic consideration of the legalisation of surrogacy
17,INTRO,2,AGAINST,,,,,la cosificació que s'està fent de la dona,la cosificación que se está haciendo de la mujer,the reification that is making  of the wife
18,INTRO,2,AGAINST,17,MA,,,se la redueix la bestiar reproductiu deixant de banda tots els factors emocionals que es donen durant l'embaràs,se la reduce la ganado reproductivo estela de banda todos los factores emocionales que se dan durante el embarazo,reduces it the reproductive livestock ceasing band all the emotional factors that give  during the pregnancy
19,INTRO,2,AGAINST,17,MA,,,com el vincle que es genera entre ella i el nadó que porta al seu ventre és trencat de manera miserable,como el vínculo que se genera entre ella y el bebé que puerta a su vientre es roto de manera miserable,how the tie that generates  among her and the baby that door at his belly is smashed of miserable mode
