be 0.0 0.06 bé O
bona 0.07 123.83 bona O
vesprada 138.63 139.26 vesprada O
a 139.69 139.81 a O
totes 139.81 140.13 totes O
i 140.13 140.17 i O
a 140.17 140.22 a O
tots 140.22 140.72 tots O
despres 141.23 141.66 després O
del 141.66 141.77 del B
sorteig 141.77 142.23 sorteig I
realitzat 142.23 142.69 realitzat I
este 142.69 142.88 este I
mati 142.88 143.32 matí I
en 143.32 143.45 en I
acabar 143.45 143.8 acabar I
la 143.8 143.93 la I
fase 143.93 144.39 fase I
de 144.39 144.47 de I
semifinals 144.47 145.3 semifinals I
ha 145.91 146.04 ha I
quedat 146.04 146.36 quedat I
que 146.36 146.45 que I
la 146.45 146.53 la I
universitat 146.53 146.97 universitat I
autonoma 146.97 147.39 autònoma I
de 147.39 147.45 de I
barcelona 147.45 147.89 barcelona I
defensara 147.89 148.33 defensarà I
la 148.33 148.45 la I
posicio 148.45 148.94 posició I
en 148.94 149.1 en I
contra 149.1 149.57 contra I
i 149.92 150.05 i I
la 150.05 150.14 la I
universitat 150.14 150.84 universitat I
ramon 150.88 151.24 ramon I
llull 151.24 151.45 llull I
defensara 151.45 151.85 defensarà I
la 151.85 151.95 la I
posicio 151.95 152.27 posició I
a 152.27 152.3 a I
favor 152.3 152.77 favor I
i 152.78 152.88 i I
comencara 152.88 153.34 començarà I
el 153.34 153.4 el I
debat 153.4 153.77 debat I
i 154.02 154.05 i I
el 154.7 154.81 el I
debat 154.81 155.09 debat I
consistira 155.09 155.57 consistirà I
en 155.57 155.68 en I
un 155.68 155.8 un I
torn 155.8 156.07 torn I
d'introduccio 156.07 156.67 d'introducció I
de 156.67 156.8 de I
quatre 156.8 157.16 quatre I
minuts 157.16 157.46 minuts I
per 157.46 157.61 per I
a 157.61 157.66 a I
cada 157.66 157.86 cada I
equip 157.86 158.37 equip I
continuara 158.63 159.39 continuarà I
amb 159.56 159.77 amb I
dos 159.77 159.94 dos I
dos 159.94 160.15 dos I
de 160.15 160.23 de I
refutacions 160.23 160.88 refutacions I
de 160.88 160.95 de I
sis 160.95 161.18 sis I
minuts 161.18 161.76 minuts I
en 161.99 162.17 en I
que 162.17 162.31 què I
la 162.31 162.4 la I
universitat 162.4 162.86 universitat I
contraria 162.86 163.34 contrària I
podra 163.34 163.68 podrà I
rebatre 163.68 164.08 rebatre I
la 164.08 164.19 la I
tesi 164.19 164.53 tesi I
que 164.53 164.63 que I
estiga 164.63 164.97 estiga I
exposant 164.97 165.46 exposant I
l'orador-oradora 165.46 166.48 l'orador-oradora I
i 166.87 166.97 i I
un 166.97 167.11 un I
torn 167.11 167.33 torn I
final 167.33 167.72 final I
de 167.72 167.8 de I
conclusions 167.8 168.5 conclusions I
de 168.5 168.61 de I
quatre 168.61 168.95 quatre I
minuts 168.95 169.22 minuts I
tambe 169.22 169.57 també I
per 169.57 169.7 per I
a 169.7 169.75 a I
cada 169.75 169.93 cada I
equip 169.93 170.31 equip I
en 170.97 171.37 en I
total 171.38 171.79 total I
la 171.79 171.97 la I
duracio 171.98 172.38 duració I
del 172.38 172.52 del I
debat 172.52 172.8 debat I
sera 172.8 173.02 serà I
de 173.02 173.1 de I
quaranta 173.1 173.46 quaranta I
minuts 173.46 173.94 minuts I
a 174.3 174.4 a I
partir 174.4 174.73 partir I
d'ara 174.73 174.93 d'ara I
us 174.93 175.06 us I
agrairem 175.06 175.8 agrairem I
que 175.81 176.28 que I
silencieu 176.51 177.04 silencieu I
els 177.04 177.13 els I
telefons 177.13 177.52 telèfons I
mobils 177.52 177.98 mòbils I
i 177.98 178.04 i I
guardeu 178.04 178.34 guardeu I
silenci 178.34 178.97 silenci I
en 179.57 179.75 en I
acabar 179.75 180.06 acabar I
el 180.06 180.16 el I
debat 180.16 180.52 debat I
el 180.52 180.59 el I
jurat 180.59 181.06 jurat I
ens 181.49 181.69 ens I
retirarem 181.69 182.34 retirarem I
per 182.34 182.56 per I
valorar 182.56 182.95 valorar I
quin 182.95 183.17 quin I
sera 183.17 183.41 serà I
l'equip 183.41 183.74 l'equip I
guanyador 183.74 184.39 guanyador I
d'aquesta 184.39 184.83 d'aquesta I
lliga 184.83 185.11 lliga I
de 185.11 185.2 de I
debat 185.2 185.51 debat I
universitaria 185.51 186.24 universitària I
dos 186.24 186.42 dos I
mil 186.42 186.62 mil I
denou 186.62 187.1 dènou I
durant 187.76 188.17 durant I
el 188.17 188.26 el I
transcurs 188.26 188.81 transcurs I
de 188.81 189.29 de I
la 189.3 189.45 la I
deliberacio 189.45 190.15 deliberació I
l'actor 190.23 190.84 l'actor I
quim 190.84 191.1 quim I
casas 191.1 191.63 casas I
us 191.63 191.76 us I
adrecar 191.76 192.14 adreçar I
a 192.14 192.2 a I
unes 192.2 192.39 unes I
paraules 192.39 193.06 paraules I
i 193.68 193.82 i I
a 193.82 193.9 a I
continuacio 193.9 194.62 continuació I
i 195.28 195.38 i I
per 195.38 195.54 per I
acabar 195.54 195.85 acabar I
farem 195.85 196.14 farem I
el 196.14 196.2 el I
lliurament 196.2 196.59 lliurament I
de 196.59 196.66 de I
premis 196.66 197.19 premis I
estem 197.87 198.1 estem I
preparats 198.1 198.6 preparats I
doncs 198.64 198.84 doncs I
molta 198.84 199.1 molta I
sort 199.1 199.53 sort I
als 199.78 199.92 als I
dos 199.92 200.08 dos I
equips 200.08 200.49 equips I
el 229.93 230.1 el I
mil 230.1 230.26 mil I
nou-cents 230.26 230.6 nou-cents I
vuitanta-tres 230.6 231.57 vuitanta-tres I
el 231.62 231.81 el I
popular 231.81 232.4 popular I
i 232.41 232.49 i I
mediatic 232.49 232.92 mediàtic I
il*lusionista 232.92 233.47 il·lusionista I
david 233.47 233.8 david I
copperfield 233.8 234.4 copperfield I
va 234.81 234.98 va I
sorprendre 234.98 235.41 sorprendre I
el 235.41 235.48 el I
mon 235.48 235.66 món I
sencer 235.66 236.14 sencer I
fent 236.39 236.77 fent I
desapareixer 237.87 238.48 desaparèixer I
el 238.51 238.64 el I
public 238.64 238.93 públic I
en 238.93 239.03 en I
directe 239.03 239.46 directe I
i 239.47 239.6 i I
a 239.6 239.68 a I
traves 239.68 240.02 través I
de 240.02 240.11 de I
la 240.11 240.21 la I
televisio 240.21 240.82 televisió I
el 241.07 241.27 el I
monument 241.27 241.82 monument I
de 242.06 242.22 de I
l'estatua 242.22 242.6 l'estàtua I
de 242.6 242.66 de I
la 242.66 242.74 la I
llibertat 242.74 243.29 llibertat I
per 244.04 244.19 per I
tal 244.19 244.34 tal I
de 244.34 244.42 de I
dur 244.42 244.67 dur I
aixo 244.68 244.92 això I
a 244.92 244.99 a I
terme 244.99 245.4 terme I
va 245.46 245.7 va I
jugar 245.7 245.92 jugar I
amb 245.92 246.01 amb I
un 246.01 246.09 un I
conjunt 246.09 246.41 conjunt I
de 246.41 246.48 de I
miralls 246.48 247.17 miralls I
de 247.18 247.29 de I
fum 247.29 247.67 fum I
i 247.68 247.78 i I
de 247.78 247.89 de I
llums 247.89 248.27 llums I
fent 248.53 248.79 fent I
creure 248.79 249.07 creure I
a 249.07 249.12 a I
tota 249.12 249.32 tota I
la 249.32 249.41 la I
poblacio 249.41 250.04 població I
que 250.3 250.37 que I
el 250.37 250.47 el I
monument 250.47 251.03 monument I
verdaderament 251.15 251.93 verdaderament I
havia 252.23 252.53 havia I
desaparegut 252.53 253.24 desaparegut E
bona 253.76 254.01 bona O
tarda 254.01 254.56 tarda O
