saben 219.39 219.74 saben B
el 219.74 219.85 el I
que 219.85 219.94 que I
es 219.94 220.02 és I
aixo 220.02 220.46 això E
si 221.72 222.54 sí B
un 223.01 223.15 un I
cataleg 223.15 223.75 catàleg E
un 225.0 225.31 un B
cataleg 225.31 225.96 catàleg I
de 226.2 226.34 de I
dones 226.34 227.0 dones I
un 227.4 227.67 un I
cataleg 227.67 228.28 catàleg I
de 228.38 228.49 de I
dones 228.49 228.91 dones I
gestants 228.92 229.82 gestants I
que 230.87 231.0 que I
tenen 231.0 231.48 tenen I
unes 231.5 231.77 unes I
determinades 231.77 232.38 determinades I
caracteristiques 232.38 233.14 característiques I
genetiques 233.14 234.05 genètiques I
per 236.8 236.95 per I
donar 236.95 237.2 donar I
aquest 237.2 237.4 aquest I
fruit 237.4 237.82 fruit I
infants 238.75 239.57 infants E
algu 242.35 242.63 algú B
de 242.63 242.7 de I
vostes 242.7 243.52 vostès I
agafaria 244.39 245.14 agafaria I
aquests 245.5 245.78 aquests I
infants 245.78 246.19 infants I
triaria 246.19 246.63 triaria I
aquestes 246.63 246.97 aquestes I
dones 246.97 247.27 dones I
en 247.27 247.35 en I
un 247.35 247.46 un I
cataleg 247.46 248.09 catàleg E
no 249.32 249.71 no B
el 250.53 250.66 el I
mes 250.66 250.8 més I
probable 250.8 251.09 probable I
es 251.09 251.16 és I
que 251.16 251.27 que I
no 251.27 251.59 no E
primer 252.7 253.45 primer B
nomes 253.94 254.53 només I
un 254.77 255.1 un I
dos 255.11 255.43 dos I
coma 255.43 255.7 coma I
set 255.7 255.97 set I
per 255.97 256.15 per I
cent 256.15 256.42 cent I
de 256.42 256.51 de I
persones 256.51 257.1 persones I
que 257.1 257.29 que I
hi 257.29 257.38 hi I
ha 257.38 257.54 ha I
en 257.55 257.7 en I
aquesta 257.7 258.07 aquesta I
sala 258.07 258.6 sala I
podria 258.91 259.26 podria I
permetre-s'ho 259.26 259.9 permetre-s'ho E
no 260.87 261.07 no B
cal 261.07 261.53 cal I
que 261.92 262.04 que I
li 262.04 262.15 li I
pagues 262.15 262.44 pagues I
a 262.44 262.5 a I
ningu 262.5 262.98 ningú I
ni 263.22 263.28 ni I
tan 263.33 263.54 tan I
sols 263.54 263.93 sols I
costejar-se 264.01 264.76 costejar-se I
les 264.76 264.94 les I
despeses 264.94 265.69 despeses I
que 265.69 265.84 que I
genera 265.84 266.4 genera I
la 266.81 266.97 la I
gestacio 266.97 267.41 gestació I
subrogada 267.41 268.09 subrogada E
que 270.1 270.22 què B
vol 270.22 270.38 vol I
dir 270.38 270.5 dir I
que 270.5 270.6 que I
hi 270.6 270.63 hi I
hagi 270.63 270.76 hagi I
un 270.76 270.84 un I
cataleg 270.84 271.54 catàleg E
que 273.07 273.18 que B
hi 273.18 273.23 hi I
ha 273.23 273.32 ha I
triats 273.46 274.36 triats E
i 274.96 275.07 i O
gent 275.07 275.32 gent O
que 275.32 275.43 que O
tria 275.43 275.85 tria O
gent 276.74 277.0 gent O
que 277.0 277.09 que O
tria 277.09 277.5 tria O
i 277.89 278.01 i O
triats 278.01 278.69 triats O
perque 280.37 280.68 perquè O
trien 280.68 281.23 trien O
per 281.63 281.78 per B
que 281.78 281.88 què I
trien 281.88 282.19 trien I
aquests 282.19 282.44 aquests I
infants 282.44 283.13 infants E
per 283.59 283.71 per B
ajudar-los 283.71 284.55 ajudar-los I
no 285.03 285.47 no E
no 285.95 286.07 no B
els 286.07 286.17 els I
poden 286.17 286.44 poden I
ajudar 286.44 286.84 ajudar I
aquests 287.25 287.55 aquests I
infants 287.55 288.18 infants I
encara 288.51 289.05 encara I
no 289.05 289.14 no I
existeixen 289.14 289.98 existeixen E
els 291.05 291.2 els B
infants 291.2 291.91 infants I
tenen 292.31 292.61 tenen I
dret 292.61 293.09 dret I
a 293.3 293.38 a I
ser 293.38 293.51 ser I
ajudats 293.51 294.17 ajudats I
i 294.64 294.73 i I
a 294.73 294.79 a I
tenir 294.79 295.24 tenir I
una 295.32 295.69 una I
infancia 295.7 296.54 infància I
digna 296.77 297.28 digna E
de 298.09 298.24 de B
veritat 298.24 298.8 veritat I
volen 299.55 299.88 volen I
que 299.88 300.0 que I
passi 300.0 300.28 passi I
aixo 300.28 300.66 això I
de 301.5 301.7 de I
veritat 301.7 302.37 veritat I
volen 304.09 304.52 volen I
crear 304.69 305.05 crear I
un 305.06 305.27 un I
marc 305.27 305.58 marc I
legal 305.58 306.18 legal I
que 306.41 306.55 que I
doni 306.55 306.96 doni I
validesa 306.97 307.56 validesa I
juridica 307.56 308.1 jurídica I
per 308.1 308.26 per I
a 308.26 308.32 a I
permetre 308.32 308.75 permetre I
el 308.75 308.82 el I
desenvolupament 308.82 309.55 desenvolupament I
d'aquesta 309.55 309.89 d'aquesta I
activitat 309.89 310.57 activitat E
es 310.79 310.95 és B
a 310.95 311.01 a I
dir 311.01 311.3 dir I
legalitzar-la 311.72 312.84 legalitzar-la E
nosaltres 313.43 314.14 nosaltres O
entenem 314.22 314.69 entenem B
gestacio 314.69 315.06 gestació I
subrogada 315.06 315.8 subrogada I
com 315.81 316.01 com I
a 316.01 316.07 a I
manera 316.07 316.41 manera I
d'accedir 316.41 316.85 d'accedir I
a 316.85 316.88 a I
la 316.88 316.94 la I
maternitat 316.94 317.77 maternitat I
a 318.08 318.22 a I
traves 318.22 318.6 través I
de 318.6 318.7 de I
