bon 37.96 38.17 bon O
dia 38.17 38.39 dia O
a 38.39 38.45 a O
tots 38.45 38.68 tots O
i 38.68 38.72 i O
a 38.72 38.79 a O
totes 38.79 39.38 totes O
abans 39.88 40.16 abans O
de 40.16 40.24 de O
res 40.24 40.38 res O
felicitar 40.39 40.82 felicitar O
els 40.82 40.91 els O
dos 40.91 41.01 dos O
equips 41.01 41.31 equips O
per 41.31 41.41 per O
haver 41.41 41.53 haver O
arribat 41.53 41.8 arribat O
fins 41.8 42.06 fins O
aqui 42.06 42.61 aquí O
anem 43.18 43.35 anem O
a 43.35 43.41 a O
comencar 43.41 43.87 començar O
ara 43.87 44.04 ara O
el 44.04 44.12 el O
segon 44.12 44.46 segon O
debat 44.46 45.0 debat O
de 45.0 45.25 de O
la 45.26 45.34 la O
semifinal 45.34 46.19 semifinal O
com 46.63 46.82 com O
sempre 46.82 47.11 sempre O
abans 47.11 47.33 abans O
de 47.33 47.41 de O
res 47.41 47.58 res O
farem 47.58 47.78 farem O
uns 47.78 47.89 uns O
petits 47.89 48.14 petits O
recordatoris 48.14 49.03 recordatoris O
i 49.46 49.55 i O
despres 49.55 49.89 després O
farem 49.89 50.1 farem O
el 50.1 50.19 el O
sorteig 50.19 50.53 sorteig O
de 50.53 50.64 de O
posicio 50.64 51.47 posició O
i 51.55 51.72 i O
per 51.72 51.89 per O
veure 51.89 52.09 veure O
qui 52.09 52.21 qui O
comenca 52.21 52.59 comença O
el 52.59 52.67 el O
debat 52.67 52.99 debat O
us 54.67 54.8 us O
recordem 54.8 55.19 recordem O
que 55.19 55.26 que O
entre 55.26 55.41 entre O
els 55.41 55.5 els O
membres 55.5 55.73 membres O
dels 55.73 55.93 dels O
equips 55.93 56.29 equips O
nomes 56.29 56.53 només O
podeu 56.53 56.81 podeu O
parlar 56.81 57.11 parlar O
a 57.11 57.15 a O
traves 57.15 57.4 través O
de 57.4 57.47 de O
notes 57.47 57.72 notes O
escrites 57.72 58.55 escrites O
que 58.99 59.12 que O
no 59.12 59.19 no O
es 59.19 59.28 es O
pot 59.28 59.45 pot O
parlar 59.45 59.69 parlar O
amb 59.69 59.78 amb O
la 59.78 59.88 la O
sala 59.88 60.46 sala O
ni 60.47 60.62 ni O
la 60.62 60.7 la O
gent 60.7 60.89 gent O
de 60.89 60.95 de O
la 60.95 61.04 la O
sala 61.04 61.3 sala O
podeu 61.3 61.53 podeu O
fer 61.53 61.63 fer O
senyal 61.63 61.97 senyal O
als 61.99 62.11 als O
participants 62.11 63.06 participants O
recordeu 63.73 64.18 recordeu O
que 64.18 64.24 que O
els 64.24 64.33 els O
bancs 64.33 64.58 bancs O
han 64.58 64.65 han O
d'estar 64.65 64.88 d'estar O
en 64.88 64.95 en O
silenci 64.95 65.66 silenci O
o 65.74 65.85 o O
apagat 65.85 66.29 apagat O
que 66.96 67.1 que O
si 67.1 67.23 si O
feu 67.23 67.42 feu O
cites 67.42 67.68 cites O
en 67.68 67.83 en O
catala 67.83 68.25 català O
tot 68.71 68.91 tot O
perfectes 68.91 69.49 perfectes O
els 69.49 69.64 els O
feu 69.64 69.78 feu O
en 69.78 69.86 en O
llengua 69.86 70.08 llengua O
original 70.08 70.46 original O
les 70.46 70.55 les O
haureu 70.55 70.7 haureu O
de 70.7 70.79 de O
traduir 70.79 71.3 traduir O
que 72.12 72.26 que O
cal 72.26 72.44 cal O
respectar 72.44 73.01 respectar O
molt 73.01 73.14 molt O
estrictament 73.14 73.66 estrictament O
el 73.66 73.75 el O
temps 73.75 73.95 temps O
assignat 73.95 74.36 assignat O
a 74.36 74.41 a O
cada 74.41 74.59 cada O
intervencio 74.59 75.36 intervenció O
podeu 76.33 76.67 podeu O
fer 76.67 76.8 fer O
preguntes 76.8 77.33 preguntes O
observacions 77.33 77.91 observacions O
i 77.91 77.95 i O
comentaris 77.95 79.04 comentaris O
nomes 79.1 79.39 només O
a 79.39 79.44 a O
les 79.44 79.57 les O
refutacions 79.57 80.53 refutacions O
i 80.75 80.85 i O
teniu 80.85 81.27 teniu O
un 81.28 81.42 un O
minut 81.42 81.69 minut O
protegit 81.69 82.26 protegit O
que 82.26 82.38 que O
no 82.38 82.48 no O
podeu 82.48 82.99 podeu O
interrompre 83.35 84.06 interrompre O
a 84.07 84.19 a O
l'orador 84.19 84.55 l'orador O
de 84.55 84.63 de O
l'equip 84.63 84.88 l'equip O
contrari 84.88 85.53 contrari O
aquestes 86.02 86.35 aquestes O
intervencions 86.35 86.87 intervencions O
poden 86.87 87.07 poden O
durar 87.07 87.26 durar O
fins 87.26 87.44 fins O
a 87.44 87.48 a O
quinze 87.48 87.75 quinze O
segons 87.75 88.31 segons O
els 88.83 89.01 els O
capitans 89.01 89.58 capitans O
si 89.58 89.65 si O
detecteu 89.65 90.08 detecteu O
alguna 90.08 90.7 alguna O
anomalia 90.75 91.29 anomalia O
a 91.29 91.33 a O
l'acabar 91.33 91.66 l'acabar O
el 91.66 91.73 el O
debat 91.73 92.15 debat O
veniu 92.63 92.87 veniu O
es 92.87 92.99 és O
que 92.99 93.05 que O
el 93.05 93.11 el O
cap 93.11 93.26 cap O
de 93.26 93.36 de O
jutges 93.36 93.63 jutges O
intentem 93.63 93.97 intentem O
solucionar 93.97 94.47 solucionar O
passem 95.17 95.47 passem O
ara 95.47 95.86 ara O
a 95.9 95.99 a O
fer 95.99 96.1 fer O
el 96.1 96.16 el O
sorteig 96.16 96.4 sorteig O
de 96.4 96.46 de O
la 96.46 96.54 la O
posicio 96.54 97.12 posició O
capitana 97.12 97.6 capitana O
i 97.6 97.65 i O
capita 97.65 98.06 capità O
si 98.06 98.15 sí O
espero 98.15 98.53 espero O
cuesta 98.53 98.81 cuesta O
sisplau 98.81 99.26 sisplau O
la 112.67 112.9 la O
universitat 112.9 113.41 universitat O
autonoma 113.41 114.03 autònoma O
esta 114.03 114.21 està O
en 114.21 114.35 en O
contra 114.35 114.92 contra O
la 114.92 115.05 la O
universitat 115.05 115.48 universitat O
de 115.48 115.58 de O
lleida 115.58 115.94 lleida O
a 115.94 116.01 a O
favor 116.01 116.45 favor O
anem 117.4 117.58 anem O
a 117.58 117.64 a O
sortejar 117.64 118.1 sortejar O
qui 118.1 118.24 qui O
comenca 118.24 118.61 comença O
el 118.61 118.68 el O
debat 118.68 119.09 debat O
comencara 131.15 131.78 començarà O
a 131.78 131.86 a O
la 131.86 131.97 la O
universitat 131.97 132.55 universitat O
de 132.55 132.65 de O
lleida 132.65 132.96 lleida O
i 132.96 133.01 i O
continuara 133.01 133.71 continuarà O
a 133.72 133.75 a O
la 133.76 133.98 la O
universitat 133.98 134.65 universitat O
autonoma 134.65 135.06 autònoma O
de 135.06 135.14 de O
barcelona 135.14 135.8 barcelona O
molta 144.84 145.17 molta O
sort 145.17 145.36 sort O
als 145.36 145.48 als O
dos 145.48 145.61 dos O
equips 145.61 146.3 equips O
i 146.5 146.7 i O
que 146.7 146.83 que O
comenci 146.83 147.21 comenci O
el 147.21 147.28 el O
debat 147.28 147.6 debat O
*** 147.28 147.6 *** O
intro 149.99 150.14 intro O
favour 157.33 157.56 favour O
gestacio 175.78 176.54 gestació B
subrogada 176.62 177.47 subrogada I
tecnica 178.31 178.96 tècnica I
per 179.05 179.18 per I
la 179.18 179.3 la I
qual 179.3 179.62 qual I
una 179.62 179.85 una I
dona 179.85 180.24 dona I
consenteix 181.18 182.19 consenteix I
