ara 15.31 15.56 ara O
tots 15.56 15.77 tots O
i 15.77 15.85 i O
totes 15.85 16.32 totes O
donem 17.05 17.35 donem O
per 17.35 17.71 per O
inaugurat 17.71 18.23 inaugurat O
no 18.23 18.36 no O
a 18.36 18.58 a O
la 18.89 19.02 la O
tarda 19.02 19.48 tarda O
del 19.48 19.66 del O
primer 19.66 20.0 primer O
dia 20.0 20.23 dia O
de 20.23 20.29 de O
debat 20.3 20.55 debat O
de 20.55 20.63 de O
la 20.63 20.69 la O
lliga 20.69 20.87 lliga O
universitaria 20.87 21.53 universitària O
de 21.53 21.59 de O
la 21.59 21.68 la O
xarxa 21.68 22.02 xarxa O
vives 22.02 22.47 vives O
abans 22.91 23.17 abans O
de 23.17 23.24 de O
res 23.24 23.4 res O
farem 23.41 23.64 farem O
uns 23.64 23.76 uns O
petits 23.76 24.03 petits O
recordatoris 24.03 24.74 recordatoris O
i 24.74 24.8 i O
despres 24.8 25.23 després O
procedirem 25.23 25.81 procedirem O
a 25.81 26.07 a O
assignar 26.3 26.69 assignar O
les 26.69 26.82 les O
posicions 26.82 27.38 posicions O
i 27.38 27.41 i O
veure 27.41 27.67 veure O
qui 27.67 27.85 qui B
comenca 27.85 28.29 comença I
el 28.29 28.37 el I
debat 28.37 28.68 debat I
recordeu 29.42 29.85 recordeu I
que 29.85 29.94 que I
els 29.94 30.08 els I
capitans 30.08 30.64 capitans I
no 30.64 31.1 no I
poden 31.11 31.46 poden I
intervenir 31.46 31.94 intervenir I
durant 31.94 32.14 durant I
el 32.14 32.23 el I
debat 32.23 32.64 debat I
entre 32.75 33.0 entre I
els 33.0 33.09 els I
membres 33.09 33.33 membres I
de 33.33 33.39 de I
l'equip 33.39 33.68 l'equip I
nomes 33.68 33.89 només I
es 33.89 34.0 es I
pot 34.0 34.21 pot I
parlar 34.21 34.55 parlar I
a 34.55 34.59 a I
traves 34.59 34.89 través I
de 34.89 34.97 de I
notes 34.97 35.19 notes I
escrites 35.19 35.84 escrites I
no 36.43 36.56 no I
es 36.56 36.64 es I
pot 36.64 36.81 pot I
parlar 36.81 37.02 parlar I
a 37.02 37.05 a I
la 37.05 37.16 la I
sala 37.16 37.49 sala I
ni 37.49 37.62 ni I
fer 37.62 37.76 fer I
senyals 37.76 38.08 senyals I
als 38.08 38.17 als I
participants 38.17 39.12 participants I
els 39.47 39.66 els I
mobils 39.66 39.94 mòbils I
han 39.94 40.03 han I
d'estar 40.03 40.3 d'estar I
pagats 40.3 40.6 pagats I
en 40.6 40.74 en I
silenci 40.74 41.41 silenci I
les 41.59 41.76 les I
cites 41.76 41.97 cites I
han 41.97 42.07 han I
de 42.07 42.13 de I
ser 42.13 42.26 ser I
catala 42.27 42.73 català I
traduir-se 42.73 43.44 traduir-se I
cal 44.1 44.28 cal I
respectar 44.28 44.75 respectar I
el 44.75 44.82 el I
temps 44.82 45.03 temps I
assignat 45.03 45.39 assignat I
a 45.39 45.44 a I
cada 45.44 45.6 cada I
intervencio 45.6 46.37 intervenció I
les 46.91 47.06 les I
preguntes 47.06 47.44 preguntes I
observacions 47.44 48.01 observacions I
o 48.01 48.07 o I
comentaris 48.07 48.62 comentaris I
no 48.62 48.75 no I
poden 48.75 49.0 poden I
durar 49.0 49.18 durar I
mes 49.18 49.36 més I
de 49.36 49.45 de I
quinze 49.45 49.74 quinze I
segons 49.74 50.3 segons I
i 50.32 50.4 i I
nomes 50.4 50.61 només I
es 50.61 50.71 es I
poden 50.71 51.04 poden I
fer 51.04 51.23 fer I
el 51.23 51.32 el I
torn 51.32 51.51 torn I
de 51.51 51.57 de I
refutacions 51.57 52.4 refutacions I
i 52.89 52.98 i I
que 52.98 53.07 que I
tens 53.07 53.21 tens I
aquest 53.21 53.44 aquest I
torn 53.44 53.58 torn I
de 53.58 53.64 de I
refutacions 53.64 54.21 refutacions I
teniu 54.21 54.5 teniu I
un 54.5 54.6 un I
minut 54.6 55.08 minut I
protegit 55.09 55.67 protegit I
si 56.35 56.58 si I
detecteu 56.58 56.92 detecteu I
alguna 56.92 57.17 alguna I
anomalia 57.17 57.7 anomalia I
al 57.7 57.81 al I
final 57.81 58.11 final I
del 58.11 58.23 del I
debat 58.23 58.66 debat I
els 58.66 59.03 els I
capitans 59.03 59.66 capitans I
us 59.66 59.76 us I
acosteu 59.76 60.17 acosteu I
al 60.17 60.23 al I
cap 60.23 60.41 cap I
de 60.41 60.52 de I
jutges 60.52 60.96 jutges I
i 60.96 61.23 i I
mirarem 61.71 62.16 mirarem I
de 62.16 62.28 de I
solucionar 62.28 62.65 solucionar I
el 62.65 62.71 el I
que 62.71 62.78 que I
ha 62.78 62.82 ha I
passat 62.82 63.11 passat I
dit 63.97 64.14 dit I
aixo 64.14 64.39 això I
podem 64.39 64.68 podem I
passar 64.68 65.02 passar I
sisplau 65.02 65.39 sisplau I
costar 65.39 66.04 costar I
capitana 66.05 66.83 capitana I
i 66.83 67.0 i I
capita 67.0 67.64 capità I
sortejarem 67.92 68.55 sortejarem I
les 68.55 68.72 les I
posicions 68.72 69.39 posicions I
i 69.39 69.42 i I
aqui 69.42 69.57 aquí I
comenca 69.57 69.91 comença I
el 69.91 69.98 el I
debat 69.98 70.28 debat I
posicions 72.77 73.61 posicions I
la 84.22 84.46 la I
universitat 84.46 85.06 universitat I
d'alacant 85.06 85.46 d'alacant I
a 85.46 85.53 a I
favor 85.53 86.21 favor I
l'autonoma 86.22 86.83 l'autònoma I
de 86.83 86.91 de I
barcelona 86.91 87.38 barcelona I
en 87.38 87.53 en I
contra 87.53 88.13 contra I
mirem 88.88 89.19 mirem I
aqui 89.19 89.64 aquí I
comenca 89.81 90.23 comença I
el 90.23 90.31 el I
debat 90.31 90.68 debat I
perdona 93.08 93.4 perdona I
hem 93.4 93.48 hem I
de 93.48 93.57 de I
signar 93.57 93.9 signar I
les 93.9 94.04 les I
posicions 94.04 94.7 posicions I
d'aqui 94.94 95.16 d'aquí I
comenca 95.16 95.6 comença I
aqui 95.6 96.06 aquí I
comencara 105.0 105.44 començarà I
el 105.44 105.53 el I
debat 105.53 105.8 debat I
la 105.8 105.87 la I
universitat 105.87 106.26 universitat I
d'alacant 106.26 106.86 d'alacant I
i 106.9 107.0 i I
continuara 107.0 107.78 continuarà I
l'autonoma 107.79 108.3 l'autònoma I
de 108.3 108.36 de I
barcelona 108.36 108.95 barcelona I
doncs 111.47 111.74 doncs I
moltes 111.74 112.04 moltes I
gracies 112.04 112.59 gràcies I
i 112.68 113.14 i I
molta 113.15 113.49 molta I
sort 113.49 113.67 sort I
als 113.67 113.81 als I
dos 113.81 113.95 dos I
equips 113.95 114.42 equips I
bona 178.62 178.79 bona I
vesprada 178.79 179.18 vesprada I
a 179.18 179.24 a I
tots 179.24 179.73 tots I
benvinguts 180.39 181.07 benvinguts I
a 181.08 181.23 a I
aquest 181.23 181.47 aquest I
debat 181.47 181.95 debat I
en 182.46 182.62 en I
primer 182.62 182.87 primer I
lloc 182.87 183.06 lloc I
m'agradaria 183.06 183.46 m'agradaria I
donar 183.64 183.8 donar I
les 183.8 183.93 les I
gracies 183.93 184.53 gràcies I
a 185.04 185.17 a I
la 185.17 185.29 la I
xarxa 185.29 185.58 xarxa I
vives 185.58 185.94 vives I
per 185.94 186.12 per I
proporcionar 186.12 186.73 proporcionar I
aquest 186.73 187.07 aquest I
lloc 187.08 187.35 lloc I
de 187.35 187.43 de I
debat 187.43 187.87 debat I
