benvinguts 56.21 56.84 benvinguts O
a 57.55 57.65 a O
este 57.65 57.91 este O
debat 57.91 58.38 debat O
entre 58.87 59.29 entre O
la 59.29 59.45 la O
universitat 59.45 60.43 universitat O
de 60.43 60.59 de O
girona 60.59 61.11 girona O
i 61.58 61.67 i O
la 61.67 61.76 la O
universitat 61.76 62.18 universitat O
autonoma 62.18 62.59 autònoma O
de 62.59 62.65 de O
barcelona 62.65 63.23 barcelona O
abans 64.91 65.33 abans O
de 65.33 65.41 de O
res 65.41 65.66 res O
uns 65.66 65.87 uns O
xicotets 66.04 66.58 xicotets O
recordatoris 66.58 67.3 recordatoris O
com 67.3 67.49 com O
sempre 67.49 68.12 sempre O
no 68.18 68.35 no O
esta 68.35 68.56 està O
permes 68.56 69.36 permés O
que 69.84 69.96 que O
ninguna 69.96 70.27 ninguna O
persona 70.27 70.52 persona O
del 70.52 70.64 del O
public 70.64 70.98 públic O
interactua 70.98 71.66 interactua O
amb 71.67 71.96 amb O
les 71.96 72.11 les O
persones 72.11 72.62 persones O
que 72.62 72.7 que O
estan 72.7 73.27 estan O
a 73.46 73.62 a O
l'escenari 73.63 74.16 l'escenari O
a 74.16 74.22 a O
ningun 74.22 74.5 ningun O
dels 74.5 74.67 dels O
dos 74.67 74.82 dos O
equips 74.82 75.43 equips O
tots 75.58 76.01 tots O
els 76.27 76.49 els O
telefons 76.49 76.92 telèfons O
mobils 76.92 77.49 mòbils O
apagats 77.57 78.23 apagats O
no 78.57 78.72 no O
podeu 78.72 78.94 podeu O
parlar 78.94 79.18 parlar O
entre 79.18 79.37 entre O
vosaltres 79.37 80.1 vosaltres O
res 80.41 80.86 res O
ja 80.87 80.95 ja O
ho 80.95 80.99 ho O
sabeu 80.99 81.3 sabeu O
no 81.3 81.41 no O
podeu 81.41 81.63 podeu O
parlar 81.63 82.06 parlar O
i 83.05 83.72 i O
estem 83.72 84.09 estem O
fent 84.09 84.27 fent O
molta 84.27 84.55 molta O
estem 84.7 85.0 estem O
insistint 85.0 85.46 insistint O
molt 85.46 85.71 molt O
en 85.71 85.83 en O
que 85.83 85.98 què O
respecteu 85.98 86.43 respecteu O
els 86.43 86.59 els O
temps 86.59 86.88 temps O
per 86.88 87.03 per O
a 87.03 87.07 a O
que 87.07 87.19 que O
no 87.19 87.33 no O
acumuleu 87.33 88.06 acumuleu O
ninguna 88.2 88.52 ninguna O
penalitzacio 88.52 89.22 penalització O
que 89.22 89.33 que O
tot 89.33 89.63 tot O
i 89.63 89.68 i O
que 89.68 89.78 que O
sigui 89.78 89.99 sigui O
zero 90.0 90.33 zero O
coma 90.33 90.55 coma O
cinc 90.55 90.88 cinc O
despres 90.88 91.27 després O
a 91.27 91.34 a O
l'hora 91.34 91.57 l'hora O
de 91.57 92.21 de O
les 92.23 92.36 les O
puntuacions 92.36 92.87 puntuacions O
finals 92.87 93.37 finals O
us 93.68 93.85 us O
pot 93.85 94.04 pot O
restar 94.04 94.52 restar O
els 97.46 97.6 els O
capitans 97.6 98.03 capitans O
tampoc 98.03 98.57 tampoc O
poden 99.32 99.6 poden O
interactuar 99.6 100.25 interactuar O
en 100.25 100.38 en O
res 100.38 100.59 res O
del 100.59 100.74 del O
que 101.18 101.36 que O
passa 101.36 101.58 passa O
aci 101.58 101.75 ací O
dalt 101.75 101.92 dalt O
anem 102.4 102.65 anem O
a 102.65 102.8 a O
fer 102.81 103.03 fer O
primer 103.03 103.29 primer O
el 103.29 103.36 el O
sorteig 103.36 103.74 sorteig O
de 103.74 103.82 de O
les 103.82 103.95 les O
posicions 103.95 104.43 posicions O
a 104.43 104.49 a O
vore 104.49 104.67 vore O
qui 104.67 104.8 qui O
debatre 104.8 105.18 debatre O
a 105.33 105.44 a O
favor 105.44 105.78 favor O
i 105.78 105.83 i O
qui 105.83 105.96 qui O
en 105.96 106.07 en O
contra 106.07 106.48 contra O
si 107.09 107.29 si O
poden 107.29 107.55 poden O
vindre 107.55 107.75 vindre O
capitans 107.76 108.44 capitans O
o 108.44 108.52 o O
capitanes 108.52 109.06 capitanes O
de 109.06 109.15 de O
l'equip 109.16 109.6 l'equip O
trieu 114.35 114.73 trieu O
diuen 115.49 115.77 diuen O
sorteig 115.77 116.22 sorteig O
pero 116.22 116.39 però O
es 116.39 116.5 és B
molt 116.5 116.74 molt I
estrany 116.74 117.12 estrany I
el 117.12 117.21 el I
sorteig 117.21 117.77 sorteig I
favor 120.9 121.27 favor I
la 121.27 121.35 la I
universitat 121.35 121.87 universitat I
autonoma 121.87 122.22 autònoma I
de 122.22 122.28 de I
barcelona 122.28 122.88 barcelona I
i 122.92 123.03 i I
en 123.03 123.15 en I
contra 123.15 123.49 contra I
la 123.49 123.58 la I
universitat 123.58 124.09 universitat I
de 124.09 124.16 de I
girona 124.16 124.63 girona I
molt 125.48 125.66 molt I
be 125.66 125.74 bé I
doncs 125.75 126.16 doncs I
este 126.16 126.79 este I
es 127.43 127.56 és I
per 127.56 127.7 per I
a 127.7 127.75 a I
tu 127.75 128.0 tu I
no 128.09 128.3 no I
me 128.7 128.9 me I
quede 128.9 129.19 quede I
en 129.23 129.37 en I
contra 129.37 129.69 contra I
i 130.95 131.09 i I
ara 131.09 131.26 ara I
anem 131.26 131.42 anem I
a 131.42 131.5 a I
sortejar 131.5 132.08 sortejar I
qui 133.43 133.73 qui I
comenca 133.73 134.42 comença I
o 134.94 135.07 o I
qui 135.07 135.23 qui I
acaba 135.23 135.53 acaba I
i 136.2 136.29 i I
qui 136.29 136.44 qui I
acaba 136.44 136.84 acaba I
comencara 140.68 141.21 començarà I
la 141.21 141.3 la I
universitat 141.3 141.7 universitat I
de 141.7 141.78 de I
girona 141.78 142.23 girona I
equip 143.34 143.72 equip I
u 143.72 144.29 u I
i 144.46 144.6 i I
vosaltres 144.6 145.01 vosaltres I
tindreu 145.01 145.33 tindreu I
el 145.33 145.41 el I
torn 145.41 145.57 torn I
de 145.57 145.63 de I
conclusio 145.63 146.14 conclusió I
gracies 147.8 148.36 gràcies I
doncs 150.52 150.94 doncs I
comencem 187.62 188.17 comencem I
bon 188.17 188.31 bon I
debat 188.31 188.65 debat I
mes 230.92 231.22 mes I
zero 231.45 231.85 zero I
em 232.55 232.69 em I
vaig 232.69 232.87 vaig I
oferir 232.87 233.28 oferir I
com 233.3 233.46 com I
a 233.46 233.52 a I
gestant 233.52 233.86 gestant I
subrogada 233.86 234.46 subrogada I
eren 235.06 235.29 eren I
uns 235.29 235.45 uns I
amics 235.45 235.94 amics I
que 235.97 236.09 que I
no 236.09 236.21 no I
podien 236.21 236.55 podien I
tenir 236.55 236.77 tenir I
fills 236.77 237.22 fills I
i 237.33 237.44 i I
jo 237.44 237.69 jo I
ja 237.87 238.02 ja I
havia 238.02 238.2 havia I
tingut 238.2 238.65 tingut I
el 238.82 238.94 el I
meu 238.94 239.1 meu I
petit 239.1 239.42 petit I
pau 239.42 239.68 pau I
va 240.43 240.58 va I
ser 240.58 240.79 ser I
un 240.79 240.89 un I
acte 240.89 241.22 acte I
totalment 241.22 241.85 totalment I
altruista 241.85 242.53 altruista I
per 242.62 242.76 per I
fer 242.76 242.89 fer I
un 242.89 242.96 un I
favor 242.96 243.38 favor I
a 243.52 243.62 a I
uns 243.62 243.84 uns I
amics 243.84 244.29 amics I
mes 245.74 245.96 mes I
tres 245.96 246.45 tres I
despres 247.16 247.55 després I
de 247.55 247.67 de I
les 247.67 247.82 les I
molesties 247.82 248.5 molèsties I
i 248.5 248.56 i I
del 248.56 248.7 del I
malestar 248.7 249.12 malestar I
general 249.12 249.56 general I
dels 249.56 249.75 dels I
primers 249.75 250.1 primers I
mesos 250.1 250.56 mesos I
sembla 250.79 251.15 sembla I
que 251.15 251.26 que I
aixo 251.26 251.45 això I
de 251.45 251.56 de I
gestar 251.56 251.9 gestar I
un 251.9 252.02 un I
fill 252.02 252.38 fill I
per 252.62 252.8 per I
unes 252.8 252.99 unes I
altres 252.99 253.23 altres I
persones 253.23 253.84 persones I
no 253.96 254.12 no I
es 254.12 254.23 és I
tan 254.23 254.39 tan I
dificil 254.39 254.93 difícil I
mes 256.25 256.46 mes I
sis 256.46 257.01 sis I
comenco 258.64 259.05 començo I
a 259.05 259.08 a I
notar 259.08 259.59 notar I
una 259.6 259.81 una I
vida 259.81 260.04 vida I
dins 260.04 260.32 dins I
meu 260.32 260.66 meu I
li 261.51 261.67 li I
poso 261.67 261.95 poso I
musica 261.95 262.39 música I
i 262.39 262.46 i I
reacciona 262.46 263.31 reacciona I
dona 263.43 263.72 dóna I
puntades 263.72 264.17 puntades I
de 264.17 264.29 de I
peu 264.29 264.69 peu I
i 265.0 265.08 i I
a 265.08 265.15 a I
les 265.15 265.29 les I
ecografies 265.29 265.97 ecografies I
sembla 266.19 266.45 sembla I
que 266.45 266.56 que I
somrigui 266.56 267.13 somrigui I
quan 268.13 268.35 quan I
vaig 268.35 268.53 vaig I
pel 268.53 268.69 pel I
carrer 268.69 269.12 carrer I
la 269.45 269.58 la I
gent 269.58 269.76 gent I
em 269.76 269.89 em I
emprar 270.22 270.7 emprar I
em 270.71 270.88 em I
para 270.88 271.15 para I
per 271.15 271.39 per I
preguntar-me 271.5 272.29 preguntar-me I
com 272.33 272.53 com I
es 272.53 272.63 es I
dira 272.63 273.01 dirà I
pero 273.76 273.95 però I
els 273.95 274.09 els I
he 274.09 274.16 he I
de 274.16 274.31 de I
dir 274.31 274.52 dir I
que 274.64 274.77 que I
no 274.77 274.89 no I
sera 274.89 275.15 serà I
meu 275.15 275.44 meu I
que 275.97 276.1 que I
jo 276.1 276.24 jo I
nomes 276.24 276.54 només I
l'estic 276.54 276.85 l'estic I
gestant 276.85 277.33 gestant I
durant 277.33 277.62 durant I
nou 277.62 277.78 nou I
mesos 277.78 278.31 mesos I
i 278.52 278.61 i I
que 278.61 278.78 que I
quan 278.78 279.02 quan I
neixi 279.02 279.56 neixi I
l'haure 279.57 279.92 l'hauré I
d'entregar 279.92 280.5 d'entregar I
als 280.51 280.68 als I
seus 280.68 280.95 seus I
pares 280.95 281.46 pares I
em 282.23 282.43 em I
diuen 282.43 282.77 diuen I
que 283.04 283.15 que I
es 283.15 283.25 és I
una 283.25 283.42 una I
llastima 283.42 283.98 llàstima I
que 284.45 284.54 que I
aqui 284.54 284.77 aquí I
el 284.77 284.91 el I
gesta 284.91 285.5 gesta I
se 285.51 285.7 se I
l'hauria 285.7 286.04 l'hauria I
de 286.04 286.14 de I
quedar 286.14 286.57 quedar I
perque 286.72 287.03 perquè I
el 287.03 287.13 el I
vincle 287.13 287.56 vincle I
entre 287.6 287.94 entre I
mare 287.94 288.2 mare I
i 288.2 288.3 i I
fill 288.3 288.73 fill E
mai 289.04 289.38 mai O
s'hauria 289.39 289.81 s'hauria O
de 289.81 289.87 de O
trencar 289.87 290.31 trencar O
no 291.4 291.6 no O
negare 291.6 292.14 negaré O
que 292.57 292.68 que O
he 292.68 292.72 he O
dubtat 292.72 293.39 dubtat O
en 293.57 293.7 en O
si 293.7 293.84 si O
entregar-lo 293.84 294.55 entregar-lo O
mes 295.77 296.03 mes O
nou 296.03 296.43 nou O
tot 299.44 299.98 tot O
s'ha 300.05 300.21 s'ha O
acabat 300.21 300.75 acabat O
volia 301.44 301.81 volia O
fingir 301.81 302.32 fingir O
que 302.35 302.49 que O
res 302.49 302.71 res O
d'allo 302.71 303.03 d'allò O
havia 303.03 303.26 havia O
succeit 303.26 303.8 succeït O
que 303.98 304.12 que O
la 304.12 304.22 la B
nena 304.22 304.44 nena I
era 304.44 304.6 era I
meva 304.6 304.98 meva I
i 304.99 305.08 i I
que 305.08 305.23 que I
viuriem 305.23 305.78 viuríem I
juntes 305.78 306.43 juntes I
per 306.92 307.11 per I
una 307.11 307.28 una I
banda 307.28 307.7 banda I
em 307.73 307.88 em I
sentia 307.88 308.31 sentia I
culpable 308.31 308.97 culpable I
amb 308.97 309.12 amb I
l'obligacio 309.12 309.74 l'obligació I
que 309.74 309.87 que I
havia 309.87 310.11 havia I
contret 310.11 310.58 contret I
amb 310.59 310.77 amb I
els 310.77 310.93 els I
stein 310.94 311.48 stein I
i 311.68 311.76 i I
estava 311.76 312.08 estava I
preocupada 312.08 312.79 preocupada I
per 312.81 312.96 per I
com 312.96 313.1 com I
es 313.1 313.2 es I
sentirien 313.2 313.95 sentirien I
d'altra 314.44 314.85 d'altra I
banda 314.85 315.69 banda I
em 315.89 316.03 em I
sentia 316.03 316.42 sentia I
obligada 316.42 317.14 obligada I
amb 317.24 317.43 amb I
la 317.43 317.53 la I
nena 317.53 317.91 nena I
com 317.92 318.14 com I
qualsevol 318.14 318.65 qualsevol I
mare 318.65 319.01 mare I
ho 319.1 319.21 ho I
estaria 319.21 319.6 estaria I
amb 319.6 319.7 amb I
el 319.7 319.77 el I
seu 319.77 319.97 seu I
fill 319.97 320.3 fill I
bon 321.69 321.89 bon I
dia 321.89 322.16 dia I
